cb3475bd1b8d3ec6f8f9c7fb212c3b5e74be5f969047d901e9baac866fcc23b5,7b6b41e85d23ad4f1907c26b2d66720941a56fa407c47acd6a5b2528766941b2,64c830eb610ad2133b70305e6cf94c0c506a558e47ce6c661c7d8a903eda900b,e490dbb9565658c2ba0eea0e3fa106659fa3067fb917865a04ea7d3b63494199,136c40e8d08c9927e2ba39edd557a9ef74e54aa46e0c58d122ce29974f48f2bf,aa22d2059b89b5a2d4ee1a84613d4b459f1740b9a2b1bf2e2eba1eb4a3b69a30,0cacf60d00cdec89a4b54bce59fedc89f937c37a96d484e02e561f8497873fa2,bb2979d1d1bda4c2b2ae62f671efa06fbc4f49b8191b0b6f297a5017ff8a0277,b9eea5ee654c6e5aa51ed3288a282cc06029e64bf9bfa1c45001b6ef67b1a401,c5bc4a24a3c31863153502a9dd071958338087dec9ce1f0b983904a302cd2ba8,eb17de55b01edce13c129ccf16e39f7188c02a0451903d89d54ae0c77f34d427
"1","0","2","1013","1","1","3","1","1","通關難度1以上1次","1"
"2","0","2","1013","2","2","5","1","2","通關難度2以上1次","1"
"3","0","2","1013","3","3","5","1","3","通關難度3以上1次","1"
"4","0","2","1013","4","4","5","1","4","通關難度4以上1次","1"
"5","0","2","1013","5","5","5","1","5","通關難度5 1次","1"
"6","0","3","1013","6","0","0","1","6","累積收集10個迷宮遺物","10"
"7","0","3","1013","7","0","0","1","7","累積收集50個迷宮遺物","50"
"8","0","3","1013","8","0","0","1","8","累積收集100個迷宮遺物","100"
"9","0","4","1013","9","0","0","1","9","累積邀請10名角色","10"
"10","0","4","1013","10","0","0","1","10","累積邀請50名角色","50"
"11","0","4","1013","11","0","0","1","11","累積邀請100名角色","100"
"12","0","4","1013","12","0","0","1","12","累積邀請150名角色","150"
"13","0","5","1013","13","0","0","1","13","以始源強化解放1個節點","1"
"14","0","5","1013","14","0","0","1","14","以始源強化解放5個節點","5"
"15","0","5","1013","15","0","0","1","15","以始源強化解放10個節點","10"
"16","0","5","1013","16","0","0","1","16","以始源強化解放15個節點","15"
"17","0","5","1013","17","0","0","1","17","以始源強化解放20個節點","20"
"18","0","5","1013","18","0","0","1","18","以始源強化解放25個節點","25"
"19","0","5","1013","19","0","0","1","19","以始源強化解放30個節點","30"
"20","0","5","1013","20","0","0","1","20","以始源強化解放40個節點","40"
"21","0","2","1013","21","2","5","1","21","通關難度2以上3次（不含掃蕩）","3"
"22","0","2","1013","22","2","5","1","22","通關難度2以上5次（不含掃蕩）","5"
"23","0","2","1013","23","2","5","1","23","通關難度2以上10次（不含掃蕩）","10"
"24","0","2","1013","24","2","5","1","24","通關難度2以上12次（不含掃蕩）","12"
"25","0","2","1013","25","2","5","1","25","通關難度2以上14次（不含掃蕩）","14"
"26","0","2","1013","26","2","5","1","26","通關難度2以上16次（不含掃蕩）","16"
"27","0","2","1013","27","2","5","1","27","通關難度2以上18次（不含掃蕩）","18"
"28","0","2","1013","28","2","5","1","28","通關難度2以上20次（不含掃蕩）","20"
"29","0","6","1013","29","0","20","1","29","以累積邀請20名以上角色的狀態通關","1"
"30","0","6","1013","30","0","25","1","30","以累積邀請25名以上角色的狀態通關","1"
"31","0","6","1013","31","0","30","1","31","以累積邀請30名以上角色的狀態通關","1"
"32","0","8","1013","32","0","15","1","32","以持有15個以上迷宮遺物的狀態通關","1"
"33","0","8","1013","33","0","20","1","33","以持有20個以上迷宮遺物的狀態通關","1"
"34","0","8","1013","34","0","25","1","34","以持有25個以上迷宮遺物的狀態通關","1"
"35","1","2","1014","35","3","5","2","35","【美食殿堂】通關難度3以上1次","1"
"36","1","2","1014","36","4","5","2","36","【美食殿堂】通關難度4以上1次","1"
"37","1","2","1014","37","5","5","2","37","【美食殿堂】通關難度5 1次","1"
"38","2","2","1014","38","3","5","2","38","【破曉之星】通關難度3以上1次","1"
"39","2","2","1014","39","4","5","2","39","【破曉之星】通關難度4以上1次","1"
"40","2","2","1014","40","5","5","2","40","【破曉之星】通關難度5 1次","1"
"41","3","2","1014","41","3","5","2","41","【咲戀育幼院】通關難度3以上1次","1"
"42","3","2","1014","42","4","5","2","42","【咲戀育幼院】通關難度4以上1次","1"
"43","3","2","1014","43","5","5","2","43","【咲戀育幼院】通關難度5 1次","1"
"44","4","2","1014","44","3","5","2","44","【王宮騎士團】通關難度3以上1次","1"
"45","4","2","1014","45","4","5","2","45","【王宮騎士團】通關難度4以上1次","1"
"46","4","2","1014","46","5","5","2","46","【王宮騎士團】通關難度5 1次","1"
"47","5","2","1014","47","3","5","2","47","【拉比林斯】通關難度3以上1次","1"
"48","5","2","1014","48","4","5","2","48","【拉比林斯】通關難度4以上1次","1"
"49","5","2","1014","49","5","5","2","49","【拉比林斯】通關難度5 1次","1"
