500092f50353e1e6ebe1c0054bde5a7671d2b9bcb8f32f982fc6574b7582cf46,8deb25aaa4c1ef47b0b800dab613e76b50381686b3574557caf0fbbdaaf55e95,c5a7a90166ba5c2935e4cbc494e05a5efa96a0ad6df99701689179e6c5e72088,5d2aa396d8ee9a1de21cc6302d4fb488f8dc4582fee7ea7456f1a0d68a2a4af5,d7ef44ae5e6e87f29ff133738321a35abb9701b93bb720f87f907e4322ebad45,2cf692c38da335a56cbadb1eaddf24e7bc60845f1393e0c9d58aaf06bb6572e8,403fe5d24b65363018e86ad4cfdd0c6f8b45e365804f251f7cf0d3e9e09d2cbd,f0b3a7979ee2ee573b6991d16780b0076cc497f717c18a9b7bf394a688ce2b80,86adecd18ec2dc08b24aa00284791031086459618773411a01d8f50dcbc8af6a,87dba66ab7ca663d48f0ab13d32601461c84306b8ae38eb6b0c3b0105801ce27,4958eb4f36acc2ab64425d2c6097e8b7541330b0a27ee7fbf4e8f8e24f98c482,8d9e391ea615c86bb57904c3fbb80cc88c3fc1eee8b2e461c6a03ad93896bb39
"2","1010001","vo_10020900","1","0","0","0","vo_10020900_0001","0","0","0","1"
"1","1010002","0","1","1","0","0","0","180","0.818181818181818","0","2"
"4","1010003","0","1","1","0.818181818181818","1","0","0","0","0","3"
"1","1010004","0","1","2","0","0","0","226","0.634285714285714","0","4"
"4","1010005","0","1","2","1.03428571428571","1","0","0","0","0","5"
"1","1010006","0","1","2","0","0","0","460","1.33714285714286","226","6"
"4","1010007","0","1","2","2.13714285714286","1","0","0","0","0","7"
"2","1010008","vo_10020900","1","0","0","0","vo_10020900_0002","0","0","0","8"
"1","1010009","0","1","3","0","0","0","132","1.12948051948052","0","9"
"4","1010010","0","1","3","2.12948051948052","1","0","0","0","0","10"
"2","1010011","vo_10020900","1","0","0","0","vo_10020900_0003","0","0","0","11"
"1","1010012","0","1","3","0","0","0","271","0.545454545454545","132","12"
"4","1010013","0","1","3","1.04545454545455","1","0","0","0","0","13"
"1","1010014","0","1","3","0","0","0","700","1.71545454545455","271","14"
"4","1010015","0","1","3","2.71545454545455","1","0","0","0","0","15"
"2","1010016","vo_10020900","1","0","0","0","vo_10020900_0004","0","0","0","16"
"1","1010017","0","1","4","0","0","0","244","1.67857142857143","0","17"
"4","1010018","0","1","4","2.17857142857143","1","0","0","0","0","18"
"2","1010019","vo_10020900","1","0","0","0","vo_10020900_0005","0","0","0","19"
"1","1010020","0","1","4","0","0","0","715","1.28311688311688","244","20"
"4","1010021","0","1","4","1.98311688311688","1","0","0","0","0","21"
"1","1010022","0","1","5","0","0","0","214","1.2987012987013","0","22"
"4","1010023","0","1","5","1.9987012987013","1","0","0","0","0","23"
"1","1010024","0","1","5","0","0","0","603","2.07792207792208","214","24"
"4","1010025","0","1","5","3.07792207792208","1","0","0","0","0","25"
"2","1010026","vo_10020900","1","0","0","0","vo_10020900_0006","0","0","0","26"
"1","1010027","0","1","6","0","0","0","241","1.06363636363636","0","27"
"4","1010028","0","1","6","1.56363636363636","1","0","0","0","0","28"
"1","1010029","0","1","6","0","0","0","750","2.96","241","29"
"4","1010030","0","1","6","3.96","1","0","0","0","0","30"
"2","1010031","vo_10020900","1","0","0","0","vo_10020900_0007","0","0","0","31"
"1","1010032","0","1","7","0","0","0","85","0.386363636363636","0","32"
"4","1010033","0","1","7","0.886363636363636","1","0","0","0","0","33"
"1","1010034","0","1","7","0","0","0","750","3.54090909090909","85","34"
"4","1010035","0","1","7","4.54090909090909","1","0","0","0","0","35"
"2","1010036","vo_10020900","1","0","0","0","vo_10020900_0008","0","0","0","36"
"1","1010037","0","1","8","0","0","0","138","0.431818181818182","0","37"
"4","1010038","0","1","8","1.03181818181818","1","0","0","0","0","38"
"2","1010039","vo_10020900","1","0","0","0","vo_10020900_0009","0","0","0","39"
"1","1010040","0","1","8","0","0","0","349","0.709090909090909","138","40"
"4","1010041","0","1","8","1.30909090909091","1","0","0","0","0","41"
"2","1010042","vo_10020900","1","0","0","0","vo_10020900_0010","0","0","0","42"
"1","1010043","0","1","8","0","0","0","750","3.07662337662338","349","43"
"4","1010044","0","1","8","4.07662337662338","1","0","0","0","0","44"
"2","1010045","vo_10020900","1","0","0","0","vo_10020900_0011","0","0","0","45"
"1","1010046","0","1","9","0","0","0","242","1.43506493506493","0","46"
"4","1010047","0","1","9","2.43506493506493","1","0","0","0","0","47"
"2","1010048","vo_10020900","1","0","0","0","vo_10020900_0012","0","0","0","48"
"1","1010049","0","1","9","0","0","0","754","2.75","242","49"
"4","1010050","0","1","9","3.95","1","0","0","0","0","50"
"2","1010051","vo_10020900","1","0","0","0","vo_10020900_0013","0","0","0","51"
"1","1010052","0","1","10","0","0","0","556","1.67792207792208","313","52"
"4","1010053","0","1","10","2.27792207792208","1","0","0","0","0","53"
"1","1010054","0","1","10","0","0","0","750","0.9","556","54"
