fb7d6cbab97af082d29dd92085f97b334d4724afa09fbdb5b9b8feacfe112a46,d0e93825b517f1ce4ab1e8ecfed5b344ea7e91fec35606f9ac1e9fe611d4b3e4,ece67752e36eb3236b7adc2ed66f9691e3c80aeabc772232bdfcb405d28c40c0,7c19c7ff834a6571548ce7be00aae52b325d535dd994c203e812418fbf2e08bd
"9040001","0","11100","1"
"9050001","5","107101","2"
"9050001","5","108101","3"
"9050001","5","108301","4"
"9040002","0","11100","5"
"9040003","0","11100","6"
"9010001","0","91001","7"
"9020001","0","91001","8"
"9020001","0","91002","9"
"9040004","0","11101","10"
"9040005","0","11102","11"
