a4a08d6ba8874499c99946964b11a7a1dfbac769e36325442016908d683bc3d4,0ccef80dd38d9c9b70e1f12925259f93eec9bda35161223eff942766c5311a6f,485a3bb4799ce31dc4d2774fad20d8b0e5a8d344749f9c8a8c65dae65780acaf,1a1a076e65c262a234876e4d19c24be578e9d7368548db05032adfc45dc7fd09,62d81b9c6b579a8f3b05a7e35be9e9689bfa9b80bd7537bdd1ff397816b937fb,6e2da09074bcc25048a9e2b40aadc432fc13d009bff8cb2e471689380a6e051e,594168b35da698245136582522713828331aa1f901af14b75283be10767e180b,00849b9df2cd58d9a54773bdab7236b92f53a5c3dfcae429b1ae83cb04dd0a8a,0c1c0464d4dfe1ab2c722de2f4c85d1ce23724b19af20838cf77bf45c1d315c0,5d07111240dd6e3b362603b06e93d1ce0b05978814a29f38e5e7af484639a064,d5be661fd33badcbcb2e3737d13ff5aebd5c8e8e992784c9a897db43ab9d23fc
"0","5","1101010001","1","53","empty","10101","1","0","0","1"
"0","5","1101010002","2","56","empty","10101","1","0","0","101000"
"0","5","1101010003","3","70","empty","10101","1","0","0","101000"
"1","31","1101010004","0","0","","10101","0","0","","101000"
"1","31","1101010005","1","0","","10101","0","0","","101001"
"1","31","1101010006","2","0","","10101","0","0","","101002"
"1","31","1101010007","3","0","","10101","0","0","","101003"
"1","31","1101010008","4","0","","10101","0","0","","101004"
"1","31","1101010009","10","0","","10101","0","0","","1"
"1","31","1101010010","30","0","","10101","0","0","","3"
"","91","1101010011","0","","","10101","","","","0"
"","32","1101010012","1","","","10101","","","","0"
"","32","1101010013","1","","","10101","","","","10"
"","3","1101010014","getDish_1_in","0","","10101","0","","","2"
"","93","1101010015","0","","","10101","","","","0.2"
"","3","1101010016","getDish","0","","10101","0","","","1"
"","3","1101010017","getDish_1_B","0","","10101","0","","","2"
"","3","1101010018","getDish_1_F","0","","10101","0","","","3"
"","32","1101010019","1","","","10101","","","","1"
"","32","1101010020","1","","","10101","","","","3"
"","93","1101010021","0","","","10101","","","","7.2"
"","101","1101010022","1","","","10101","","","","1101010023"
"","35","1101010023","1","","","10101","","","","2"
"","32","1101010024","1","","","10101","","","","2"
"","35","1101010025","1","","","10101","","","","4"
"","32","1101010026","1","","","10101","","","","4"
"","32","1101010027","0","","","10101","","","","3"
"","93","1101010028","0","","","10101","","","","2.3"
"","35","1101010029","1","","","10101","","","","30"
"","32","1101010030","1","","","10101","","","","30"
"","93","1101010031","0","","","10101","","","","0.2"
"0","6","1101010032","1","1","","10101","0","1","0","1"
"0","6","1101010033","1","1","","10101","0","1","0","2"
"0","6","1101010034","1","1","","10101","0","1","0","3"
"","32","1101010035","0","","","10101","","","","0"
"","32","1101010036","0","","","10101","","","","1"
"","32","1101010037","0","","","10101","","","","2"
"","32","1101010038","0","","","10101","","","","3"
"","32","1101010039","0","","","10101","","","","4"
"","32","1101010040","0","","","10101","","","","10"
"","93","1101010041","0","","","10101","","","","0.3"
"0","111","1101010042","1","1","","10101","0.1","1","0","1"
"-325","5","1102010001","1","50","empty","10201","0.9","-205","0","2"
"-325","5","1102010002","2","58","empty","10201","0.9","-205","0","102000"
"-263","5","1102010003","100","54","idle_single","10201","0.6","1500","0","100"
"1","31","1102010004","0","0","","10201","0","0","","102000"
"1","31","1102010005","1","1500","","10201","0","-263","","102001"
"1","31","1102010006","2","0","","10201","0","0","","102002"
"1","31","1102010007","3","-132","","10201","0","-136","","102003"
"1","31","1102010008","4","0","","10201","0","0","","102004"
"1","31","1102010009","10","0","","10201","0","0","","1"
"1","31","1102010010","20","0","","10201","0","0","","2"
"1","31","1102010011","30","0","","10201","0","0","","3"
"","91","1102010012","0","","","10201","","","","0"
"","32","1102010013","1","","","10201","","","","0"
"","32","1102010014","1","","","10201","","","","10"
"","23","1102010015","se_caravan_dice_get_intro","0","","10201","","","","se_caravan"
"","3","1102010016","getDice_idle","1","","10201","0","","","1"
"1","3","1102010017","run_getDice","0","","10201","0","eat_loop","0","100"
"","32","1102010018","1","","","10201","","","","1"
"11","2","1102010019","344","-263","","10201","","2","","100"
"11","33","1102010020","344","-263","","10201","","2","","1"
"","32","1102010021","1","","","10201","","","","2"
"","93","1102010022","0","","","10201","","","","1.7"
"","3","1102010023","getDice_curious","1","","10201","0.2","","0","1"
"","21","1102010024","vo_caravan_event_002_000","0","","10201","","0","","vo_caravan"
"","93","1102010025","0","","","10201","","","","1.5"
"","23","1102010026","se_caravan_dice_get_outro_1","0","","10201","","","","se_caravan"
"","21","1102010027","vo_caravan_event_002_001","0","","10201","","0.1","","vo_caravan"
"","3","1102010028","spit_in","0","","10201","0.1","","","100"
"","3","1102010029","getDice_1","0","","10201","0","","","2"
"","3","1102010030","getDice_panic_1","0","","10201","0.1","","","1"
"","93","1102010031","0","","","10201","","","","0.5"
