bdfb6a14bbcd1ea8f3f15a19e4da31e536b81ca8d6ae0f48c94d52f71347e2f9,b7cd5db0526b6a08ccf60e54532db3065436a9e6a08579448b2274b4d6545148,dfb41b22051ebe8a16bee49509a84bc3cacf447f7037de1f5977fc358e4c9cfb,79ef6168f1a5ca99a5ab4a1d7af9ea88982c42eae81533e332e3988a5f9f253b,8bdde94dc927fcc1ee9260ff8e20074440cb0a087ba465c27137b9c7de1d9fef,f1cc913291597f6b3992760a3f29873ed44ea18ccbfdd6b20095c7f0e77f6ba1,bf404f45b843757feaa1d7e081b0256c826f64b440bd70fb5b62f86d1424e5d7,46d5cbfc06f575f5b9802f936075d85f5ed0870a3d43ffbd2444f184f896cb17
"48","2","4","1","111","1","3","5"
"96","2","4","1","121","1","3","5"
"144","2","4","1","131","1","3","5"
"192","2","4","1","141","1","3","5"
"240","2","4","1","151","1","3","5"
"84","0","0","1","211","2","0","0"
"168","0","0","1","221","2","0","0"
"252","0","0","1","231","2","0","0"
"336","0","0","1","241","2","0","0"
"420","0","0","1","251","2","0","0"
"36","0","0","3","311","5","0","0"
"72","0","0","3","321","5","0","0"
"108","0","0","3","331","5","0","0"
"144","0","0","3","341","5","0","0"
"180","0","0","3","351","5","0","0"
"84","0","0","4","411","4","0","0"
"168","0","0","4","421","4","0","0"
"252","0","0","4","431","4","0","0"
"336","0","0","4","441","4","0","0"
"420","0","0","4","451","4","0","0"
"84","0","0","2","511","4","0","0"
"168","0","0","2","521","4","0","0"
"252","0","0","2","531","4","0","0"
"336","0","0","2","541","4","0","0"
"420","0","0","2","551","4","0","0"
"84","0","0","4","611","2","0","0"
"168","0","0","4","621","2","0","0"
"252","0","0","4","631","2","0","0"
"336","0","0","4","641","2","0","0"
"420","0","0","4","651","2","0","0"
"56","0","0","5","711","1","0","0"
"112","0","0","5","721","1","0","0"
"168","0","0","5","731","1","0","0"
"224","0","0","5","741","1","0","0"
"280","0","0","5","751","1","0","0"
"1","0","0","2","811","101","0","0"
"84","0","0","3","911","2","0","0"
"168","0","0","3","921","2","0","0"
"252","0","0","3","931","2","0","0"
"336","0","0","3","941","2","0","0"
"420","0","0","3","951","2","0","0"
"1","0","0","1","1011","101","0","0"
"36","0","0","2","1111","5","0","0"
"72","0","0","2","1121","5","0","0"
"108","0","0","2","1131","5","0","0"
"144","0","0","2","1141","5","0","0"
"180","0","0","2","1151","5","0","0"
"84","0","0","5","1211","4","0","0"
"168","0","0","5","1221","4","0","0"
"252","0","0","5","1231","4","0","0"
"336","0","0","5","1241","4","0","0"
"420","0","0","5","1251","4","0","0"
"86","0","0","1","1311","2","0","0"
"172","0","0","1","1321","2","0","0"
"258","0","0","1","1331","2","0","0"
"344","0","0","1","1341","2","0","0"
"430","0","0","1","1351","2","0","0"
"44","0","0","3","1411","1","0","0"
"88","0","0","3","1421","1","0","0"
"132","0","0","3","1431","1","0","0"
"176","0","0","3","1441","1","0","0"
"220","0","0","3","1451","1","0","0"
"36","0","0","4","1511","5","0","0"
"72","0","0","4","1521","5","0","0"
"108","0","0","4","1531","5","0","0"
"144","0","0","4","1541","5","0","0"
"180","0","0","4","1551","5","0","0"
"1","0","0","5","1611","101","0","0"
"1","0","0","2","1711","100","0","0"
"84","0","0","3","1811","4","0","0"
"168","0","0","3","1821","4","0","0"
