7c3e34b2e95937700919b65fd39c0b0a46fdc6419e307cb8e8e28ffbeca9b460,e9f13b0f4987723b40ba547fdf3e38d1d9e1707a5e57cb434cb927f73b1aca59,dbaa41e4dc06c30f4930cd5075bbbda4ea039a6eb7f9347c241ae410678b3815,7e9a6af2ef762395317d0ed9f2a2039d7ce32bf7a00cdd1c62cb644177b3f13e,38b775bdb0c1a007431ebf4bab517f19d650bc269b9957bf7a165b94ab07289f,c0e83c44a240f7577b23dfb628771b90ad738d17c134dbcbbfd5def881138040,0c5b7ee47d64ff46110f2f1264107393b6607f5dae9b40302f0f7a301b621bca
"1","1004","150","100","200","250","50"
"2","1004","240","160","320","400","80"
"3","1004","150","100","200","250","50"
"5","1004","150","100","200","250","50"
"6","1004","240","160","320","400","80"
"12","1004","1","1","2","3","1"
"1","1005","150","100","200","250","50"
"3","1005","150","100","200","250","50"
"4","1005","240","160","320","400","80"
"5","1005","150","100","200","250","50"
"7","1005","240","160","320","400","80"
"13","1005","1","1","2","3","1"
"1","1010","75","50","100","125","25"
"2","1010","120","80","160","200","40"
"3","1010","75","50","100","125","25"
"5","1010","75","50","100","125","25"
"6","1010","120","80","160","200","40"
"1","1011","75","50","100","125","25"
"3","1011","75","50","100","125","25"
"4","1011","120","80","160","200","40"
"5","1011","75","50","100","125","25"
"7","1011","120","80","160","200","40"
"1","1006","300","200","400","500","100"
"2","1006","150","100","200","250","50"
"3","1006","300","200","400","500","100"
"5","1006","300","200","400","500","100"
"6","1006","150","100","200","250","50"
"12","1006","1","1","2","3","1"
"1","1007","300","200","400","500","100"
"3","1007","300","200","400","500","100"
"4","1007","150","100","200","250","50"
"5","1007","300","200","400","500","100"
"7","1007","150","100","200","250","50"
"13","1007","1","1","2","3","1"
