9709d4e36cd19791c75f61b84651299ec6db0b302c9e54212d2ec21d0823895e,68338574d2196a1c40a715bc6029bf3e967facbbc5b71fef4cd5c3a82427600c,849dfedf6bbbd5b5d83fd808443b7fd54dbfe886d1cc83c5eaaca5ec0829e36a,98a470978a4f3ccb0d16127e6e3400368e99799bce745764b5523c7db82afc68,7aaeb6708e937abdf4147c5cb1091b4652b04b599f7dd634a1ec3d2eba72c688,e76a38fc2e630c0355726742c9232073a4b6c55ceff8753eb8a5b5bf39c720d9,15d4d04eff9e1098789272694c817cdd5fb99aff6ee6e0430bad55838f248f14,10815b96b038b4a76cb4018c27d6b023dd7ca828c799b8e17470fcc371d249d1,3400348d8b464cbf2a5809dcb84f811c330ebe04a9eb42fd5b86624b65e8b39b,01b7e221df4bd227a6569108bc1d8d16b02414545504694f1ff9495d07682da3,0258206f8e67a8351dfb63bb998a87d5abe46283e9e8e3c8b1bc04d0390691c2,35b7e72fe7595dc8631867ed56ef7b297c024a8831ed90d335b299e7bfa17637
"0","4","0","1","0","5154062","0.8","1","0","515406201","0","0"
"vo_abd","2","0","2","0","5154062","0","0","vo_abd_0101","515406202","0","0"
"0","1","2","3","0","5154062","0","0","0","515406203","1","300"
"0","4","0","4","0","5154062","2.1","1","0","515406204","0","0"
"vo_abd","2","0","5","0","5154062","0","0","vo_abd_0102","515406205","0","0"
"0","1","2.05","6","0","5154062","0","0","0","515406206","2","400"
"0","4","0","7","0","5154062","3.2","1","0","515406207","0","0"
"vo_abd","2","0","8","0","5154062","0","0","vo_abd_0103","515406208","0","0"
"0","1","1","9","0","5154062","0","0","0","515406209","3","60"
"0","4","0","10","0","5154062","1.4","1","0","515406210","0","0"
"0","1","2.5","11","60","5154062","0","0","0","515406211","3","430"
"0","4","0","12","0","5154062","3.3","1","0","515406212","0","0"
"vo_abd","2","0","13","0","5154062","0","0","vo_abd_0104","515406213","0","0"
"0","1","0.2","14","0","5154062","0","0","0","515406214","4","39"
"0","4","0","15","0","5154062","0.5","1","0","515406215","0","0"
"0","1","0.2","16","39","5154062","0","0","0","515406216","4","77"
"0","4","0","17","0","5154062","0.6","1","0","515406217","0","0"
"0","1","0.8","18","77","5154062","0","0","0","515406218","4","205"
"0","4","0","19","0","5154062","1.2","1","0","515406219","0","0"
"0","1","1.8","20","205","5154062","0","0","0","515406220","4","410"
"0","4","0","21","0","5154062","2.2","1","0","515406221","0","0"
"vo_abd","2","0","22","0","5154062","0","0","vo_abd_0105","515406222","0","0"
"0","1","0.6","23","0","5154062","0","0","0","515406223","5","69"
"0","4","0","24","0","5154062","1","1","0","515406224","0","0"
"0","1","0.7","25","69","5154062","0","0","0","515406225","5","195"
"0","4","0","26","0","5154062","1.5","1","0","515406226","0","0"
"0","1","0.8","27","195","5154062","0","0","0","515406227","5","315"
"0","4","0","28","0","5154062","1","1","0","515406228","0","0"
"0","1","0.7","29","315","5154062","0","0","0","515406229","5","415"
"0","4","0","30","0","5154062","2","1","0","515406230","0","0"
"vo_abd","2","0","31","0","5154062","0","0","vo_abd_0106","515406231","0","0"
"0","1","1","32","0","5154062","0","0","0","515406232","6","190"
"0","4","0","33","0","5154062","1.3","1","0","515406233","0","0"
"0","1","1","34","190","5154062","0","0","0","515406234","6","415"
"0","4","0","35","0","5154062","2.3","1","0","515406235","0","0"
"vo_abd","2","0","36","0","5154062","0","0","vo_abd_0107","515406236","0","0"
"0","1","0.7","37","0","5154062","0","0","0","515406237","7","47"
"0","4","0","38","0","5154062","0.8","1","0","515406238","0","0"
"0","1","0.8","39","47","5154062","0","0","0","515406239","7","360"
"0","4","0","40","0","5154062","2","1","0","515406240","0","0"
"vo_abd","2","0","41","0","5154062","0","0","vo_abd_0108","515406241","0","0"
"0","1","2.63","42","0","5154062","0","0","0","515406242","8","415"
"0","4","0","43","0","5154062","2.63","1","0","515406243","0","0"
"vo_abd","2","0","44","0","5154062","0","0","vo_abd_0109","515406244","0","0"
"0","1","1","45","0","5154062","0","0","0","515406245","9","0"
"0","4","0","46","0","5154062","2","1","0","515406246","0","0"
"0","1","0.5","47","0","5154062","0","0","0","515406247","9","61"
"0","4","0","48","0","5154062","1.2","1","0","515406248","0","0"
"0","1","1.5","49","61","5154062","0","0","0","515406249","9","415"
"0","4","0","50","0","5154062","2.5","1","0","515406250","0","0"
"vo_abd","2","0","51","0","5154062","0","0","vo_abd_0110","515406251","0","0"
"0","1","0.2","52","0","5154062","0","0","0","515406252","10","28"
"0","4","0","53","0","5154062","0.6","1","0","515406253","0","0"
"0","1","1.3","54","28","5154062","0","0","0","515406254","10","400"
"0","4","0","55","0","5154062","2.3","1","0","515406255","0","0"
