0a20285eae98a15b011d6fc12b94cc0026a12cba741f3d3430f2fa5d93170382,e176b72368e85ca36904112f6e902ee495a5d64737abc8a10f0520eeb21ba50c,782ee20b8fc65316aae2dac79d0170330bd339d81ffeddafd63dcc6c9009956e,85ded95693aca9c83554d2cce288df7801afcedf331587c80567997080f88f83,94f84044d2afd7757f901d9467673a9f616c6a6426ebfc8e1716ec11388621a1,5f54e9f9c11d27cbdbc47b5bd42c2fd13edb3f6449964e3896cce93f7d949c74,66f1486a07ba66963868e7fcd690a66e8a67218296d2ccbffcd0b17f23160312
"10001","初音的禮物大作戰","10001","2","5","1","60002"
"10002","小小甜心大冒險","10002","2","5","1","60012"
"10004","危險的假期！海岸邊的美食家公主","10004","2","5","1","60032"
"10005","珠希和美冬的無人島０盧幣生活","10005","2","5","1","60042"
"10006","黑鐵的亡靈","10006","2","5","1","60052"
"10007","不給布丁就搗蛋！約定的萬聖節派對","10007","2","5","1","60062"
"10008","暮光破壞者","10008","2","5","1","60072"
"10009","忘却的頌歌","10009","2","5","1","60082"
"10010","新春破曉之星大危機！","10010","2","5","1","60092"
"10011","情人節之戰！ 正中紅心的甜蜜戰鬥","10011","2","5","1","60102"
"10012","王都的名偵探　嘆息的追緝者","10012","2","5","1","60112"
"10013","在阿斯特朗盛開的雙輪之花","10013","2","5","1","60122"
"10014","復刻初音的禮物大作戰","10014","2","5","1","60132"
"10015","將軍道中記　白翼的武士","10015","2","5","1","60142"
"10016","復刻小小甜心大冒險","10016","2","5","1","60152"
"10017","Re:從零開始聚集的異世界餐桌","10017","2","5","1","60162"
"10018","復刻吸血鬼獵人 with伊莉亞","10018","2","5","1","60172"
"10019","鈴奈的彩虹舞臺！","10019","2","5","1","60182"
"10020","復刻危險的假期！海岸邊的美食家公主","10020","2","5","1","60192"
"10021","盛夏的真步真步王國 浪花拍岸的靈魂之夏！","10021","2","5","1","60202"
"10022","珠希和美冬的無人島０盧幣生活","10022","2","5","1","60212"
"10023","森林的膽小鬼與神聖學院的問題兒童","10023","2","5","1","60222"
"10024","黑鐵的亡靈","10024","2","5","1","60232"
"10025","小小勇敢的萬聖節之夜！","10025","2","5","1","60242"
"10026","不給布丁就搗蛋！約定的萬聖節派對","10026","2","5","1","60252"
"10027","龍的探索者們","10027","2","5","1","60262"
"10028","暮光破壞者","10028","2","5","1","60272"
"10029","禮物大恐慌！蘭德索爾的聖誕老人們","10029","2","5","1","60282"
"10030","忘却的頌歌","10030","2","5","1","60292"
"10031","狂奔！　蘭德索爾的公會競速賽","10031","2","5","1","60302"
"10032","新春破曉之星大危機！","10032","2","5","1","60312"
"10033","魔法少女　兩人是Misty&Purely","10033","2","5","1","60322"
"10034","情人節之戰！ 正中紅心的甜蜜戰鬥","10034","2","5","1","60332"
"10035","星光公主　Re:M@STER！","10035","2","5","1","60342"
"10036","星光公主　Re:M@STER！","10036","2","5","1","60342"
"10037","王都的名偵探　嘆息的追緝者","10037","2","5","1","60362"
"10038","恩賜的財團與神聖學院的問題兒童","10038","2","5","1","60372"
"10039","在阿斯特朗盛開的雙輪之花","10039","2","5","1","60382"
"10040","牧場的四農士　貧窮農場奮鬥記","10040","2","5","1","60392"
"10041","將軍道中記　白翼的武士","10041","2","5","1","60402"
"10042","不可思議之國的璃乃 小小愛麗絲與希望的繪本","10042","2","5","1","60412"
"10043","鈴奈的彩虹舞臺！","10043","2","5","1","60422"
"10044","七夕劍客旅情譚 天際川流夏之戀","10044","2","5","1","60432"
"10045","盛夏的真步真步王國 浪花拍岸的靈魂之夏！","10045","2","5","1","60442"
"10046","美里的夏日聲援！　追夢的盛夏棒球隊","10046","2","5","1","60452"
"10047","森林的膽小鬼與神聖學院的問題兒童","10047","2","5","1","60462"
"10048","Happy・Change・Angels","10048","2","5","1","60472"
"10049","小小勇敢的萬聖節之夜！","10049","2","5","1","60482"
"10050","迴響！尖叫！萬聖鬼怪狂歡節","10050","2","5","1","60492"
"10051","龍的探索者們","10051","2","5","1","60502"
"10052","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","10052","2","5","1","60512"
"10053","Re:從零開始聚集的異世界餐桌","10053","2","5","1","60522"
"10054","名媛初登夢想秘境　聖誕夜的戀愛遊戲","10054","2","6","1","60532"
"10055","禮物大恐慌！蘭德索爾的聖誕老人們","10055","2","5","1","60542"
"10056","新春美食公主！　賭上關鍵一擲的少女們","10056","2","6","1","60552"
"10057","狂奔！　蘭德索爾的公會競速賽","10057","2","5","1","60562"
"10058","羈絆相連。心相繫。","10058","2","6","1","60572"
"10059","羈絆相連。心相繫。","10059","2","6","1","60572"
"10060","魔法少女　兩人是Misty&Purely","10060","2","5","1","60592"
"10061","灰姑娘課程　璀璨的日子有著蘋果的滋味","10061","2","6","1","60602"
"10062","星光公主　Re:M@STER！","10062","2","5","1","60612"
"10063","星光公主　Re:M@STER！","10063","2","5","1","60612"
"10064","鋼鐵聖女與神聖學院的問題兒童","10064","2","6","1","60632"
"10065","恩賜的財團與神聖學院的問題兒童","10065","2","5","1","60642"
"10066","祈梨ＳＯＳ！！ 踏上時空旅行的龍人族","10066","2","6","1","60652"
"10067","牧場的四農士　貧窮農場奮鬥記","10067","2","5","1","60662"
"10068","心電感應！碧與玩具朋友們","10068","2","6","1","60672"
"10069","不可思議之國的璃乃 小小愛麗絲與希望的繪本","10069","2","5","1","60682"
"10070","永不完結的夏日計畫　盛夏的雙人獨佔樂園","10070","2","6","1","60692"
