92fced3b234f6e2e58610c431008354c89b1b2b6a1ca6f902a3e493d01e7b3de,6f6195d8dbc6a7010fa9ee49757f4bea46d1be6e19815a77453b841fe8b31347,cd5d384881ed7a0175a47fb7916dfac5cd03fcc51ed05eebefd28f57da0b815c,54dcc00afbb375a8328e3492f3a9c3aacbe4d3d2365b77e438bd0073bc6f1a6b,d84a2380f70a30a83e4d6314232bb3ac4dd37537e21ecb6e08fb06cc9b863eb9
"150","0","1","1","1038"
"151","0","2","2","1038"
"152","0","3","3","1038"
"153","0","4","4","1038"
"154","0","5","5","1038"
"156","0","6","1","1039"
"157","0","7","2","1039"
"158","0","8","3","1039"
"159","0","9","4","1039"
"160","0","10","5","1039"
"162","0","11","1","1040"
"163","0","12","2","1040"
"164","0","13","3","1040"
"165","0","14","4","1040"
"166","0","15","5","1040"
"168","0","16","1","1041"
"169","0","17","2","1041"
"170","0","18","3","1041"
"171","0","19","4","1041"
"172","0","20","5","1041"
"174","0","21","1","1042"
"175","0","22","2","1042"
"176","0","23","3","1042"
"177","0","24","4","1042"
"178","0","25","5","1042"
"180","0","26","1","1043"
"181","0","27","2","1043"
"182","0","28","3","1043"
"183","0","29","4","1043"
"184","0","30","5","1043"
"186","0","31","1","1044"
"187","0","32","2","1044"
"188","0","33","3","1044"
"189","0","34","4","1044"
"190","0","35","5","1044"
"192","0","36","1","1045"
"193","0","37","2","1045"
"194","0","38","3","1045"
"195","0","39","4","1045"
"196","0","40","5","1045"
"198","0","41","1","1046"
"199","0","42","2","1046"
"200","0","43","3","1046"
"201","0","44","4","1046"
"202","0","45","5","1046"
"204","0","46","1","1047"
"205","0","47","2","1047"
"206","0","48","3","1047"
"207","0","49","4","1047"
"208","0","50","5","1047"
"210","0","51","1","1048"
"211","0","52","2","1048"
"212","0","53","3","1048"
"213","0","54","4","1048"
"214","0","55","5","1048"
"216","0","56","1","1049"
"217","0","57","2","1049"
"218","0","58","3","1049"
"219","0","59","4","1049"
"220","0","60","5","1049"
"222","0","61","1","1050"
"223","0","62","2","1050"
"224","0","63","3","1050"
"225","0","64","4","1050"
"226","0","65","5","1050"
"228","0","66","1","1051"
"229","0","67","2","1051"
"230","0","68","3","1051"
"231","0","69","4","1051"
"232","0","70","5","1051"
"234","0","71","1","1052"
"235","0","72","2","1052"
"236","0","73","3","1052"
"237","0","74","4","1052"
"238","0","75","5","1052"
"240","0","76","1","1053"
"241","0","77","2","1053"
"242","0","78","3","1053"
"243","0","79","4","1053"
"244","0","80","5","1053"
"246","0","81","1","1054"
"247","0","82","2","1054"
"248","0","83","3","1054"
"249","0","84","4","1054"
"250","0","85","5","1054"
"252","0","86","1","1055"
"253","0","87","2","1055"
"254","0","88","3","1055"
"255","0","89","4","1055"
"256","0","90","5","1055"
"258","0","91","1","1056"
"259","0","92","2","1056"
"260","0","93","3","1056"
"261","0","94","4","1056"
"262","0","95","5","1056"
"264","0","96","1","1057"
"265","0","97","2","1057"
"266","0","98","3","1057"
"267","0","99","4","1057"
"268","0","100","5","1057"
"270","0","101","1","1058"
"271","0","102","2","1058"
"272","0","103","3","1058"
"273","0","104","4","1058"
"274","0","105","5","1058"
"276","0","106","1","1059"
"277","0","107","2","1059"
"278","0","108","3","1059"
"279","0","109","4","1059"
"282","0","111","1","1060"
"283","0","112","2","1060"
"284","0","113","3","1060"
"285","0","114","4","1060"
"288","0","116","1","1061"
"289","0","117","2","1061"
"290","0","118","3","1061"
"291","0","119","4","1061"
"294","0","121","1","1063"
"295","0","122","2","1063"
"296","0","123","3","1063"
"297","0","124","4","1063"
"299","0","125","1","1064"
"300","0","126","2","1064"
"301","0","127","3","1064"
"302","0","128","4","1064"
"304","0","129","1","1065"
"305","0","130","2","1065"
"306","0","131","3","1065"
"307","0","132","4","1065"
"308","0","133","1","1066"
"310","0","134","2","1066"
"311","0","135","3","1066"
"312","0","136","4","1066"
"313","0","137","1","1067"
"315","0","138","2","1067"
"316","0","139","3","1067"
"317","0","140","4","1067"
"318","0","141","1","1068"
"320","0","142","2","1068"
"321","0","143","3","1068"
"322","0","144","4","1068"
"323","0","145","1","1069"
"325","0","146","2","1069"
"326","0","147","3","1069"
"327","0","148","4","1069"
"328","0","149","1","1070"
"330","0","150","2","1070"
"331","0","151","3","1070"
"332","0","152","4","1070"
"333","0","153","1","1071"
"335","0","154","2","1071"
"336","0","155","3","1071"
"337","0","156","4","1071"
"338","0","157","1","1072"
"340","0","158","2","1072"
"341","0","159","3","1072"
"342","0","160","4","1072"
"343","0","161","1","1073"
"345","0","162","2","1073"
"346","0","163","3","1073"
"347","0","164","4","1073"
"348","0","165","1","1074"
"350","0","166","2","1074"
"351","0","167","3","1074"
"352","0","168","4","1074"
"353","0","169","1","1075"
"355","0","170","2","1075"
"356","0","171","3","1075"
"357","0","172","4","1075"
"358","0","173","1","1076"
"360","0","174","2","1076"
"361","0","175","3","1076"
"362","0","176","4","1076"
"363","0","177","1","1077"
"365","0","178","2","1077"
"366","0","179","3","1077"
"367","0","180","4","1077"
"368","0","181","1","1078"
"370","0","182","2","1078"
"371","0","183","3","1078"
"372","0","184","4","1078"
"373","0","185","1","1079"
"375","0","186","2","1079"
"376","0","187","3","1079"
"377","0","188","4","1079"
"378","0","189","1","1080"
"380","0","190","2","1080"
"381","0","191","3","1080"
"382","0","192","4","1080"
