6dc045e97b55c132bcf484daf9ac4a117d8b7ace4fc64f597d641563baad5964,128942ea41d3d31474650713e73a8257cb3d3dfc87c9d77eaf3384f0a0f70fd0,75f9ee93e666f8e6e069388a75613515732052832153ebe972e93d500ca79428,a7468f5a2e62ffa360d46473c325cc0cf21667daed0b946c029283aa1998d678,4589d4e5a7a05e5575b6b4fc5a12517f2252769ae1ed2abb97e325d06c263634,b5ec5266d7ffc632f0b5586457f9edb65ebed66f3799afde54cb09e716516f26,95838124c06d6546ac563e4b3ee615cccf2d948250ac658ba7d758ba3759b09f,1712a4b7713742ddae5207f91817b9531ae702da3d36e47268bdd8032b64c20c,36263c069b8e7065b966599c4058fc7531b037daac55c20e208e5f65a5713d27,8d5c6998cc71bbabda15a0fd6135b9d27682929fe830f6c5c81966d24adb0bec,1519d490836017719c9bca4c3b4d835379e273213c4f5aebd6c6f01abdb5f92e,00dae87b36c1fa8a1a51046205041def0f07fbfc02abd4bc1373f98bbd360c13,1dba9b81041eb1761e846760270ec81dd325e4ee5b83eb9a76213189967395b2,627e789a6481c4de23ccc0d9a44e6422304b03e490d933f71c820842a0ba1684,0f7ba0e0e07635e6145ece141211b6cc14c86685ec60030dfa11686e82620b05,b4c789735c2c4b9c2be8d448f94c5bdc3de0a07a97e9c5d7fe5a1279023c929d,7a211ce00bd9a237b05edefd072a8fa5259fad7edecb3e211c321b18fae7ce81,3d2579c85b6a555983dec2e32bffe093534ea576b4785a3d603c3a03f028ec4a,dccfefc09ea88790deef2cecfedcd836127ca1b3bdec44ca6b5038636e16976c,9420b66ab24a8d5da2a94c6a2cea76495d2cf7f58538869401bf31150d6a442f,549dd35392781f1915ace1771efdd47b8ff759ef934ec4ae0d3c1c18dbba32e9,13997ce37e4c35ffb86d064cd3797f8f79262f9ffff8d44dc22e41d448a17343,431b04a272fa73ac02b3c3d54e3fafa0dc10c97fb273bb793df79e2ae5f4f5ca,005ddc855b29566dcb96a6ccd96cceafaab3114eec27a8d3d9acc8edb04346fd,0a540a71dacfb8dd46d5b5419580eba3101e99cce01e54d7ccf26ce89258c611,d116c75877fbbd23e657c15da9b55ac3fba3fac25b5495609e3cb12bfcfd0dbe,5249bfe2a7f35a137254f14c86cb8604b0ce5af5c120ac428f94d521350503e2,49fd0ecd0e71b9f09bcb8fca5533ea51aac155f691bfa065f9b16aadaeca1686,2c7f6faf9b8e13f9e9c07b2422c19b4c274995adddc3ce493c8ff8f9c1b99ee5,3ef9996bfb8a2cf942ce70642810dd412f0d3cddf981996f4da8e92765fde19c,cf5ad5349ac57b4e1c7f123df0f13e55af35418da3cd02d6efceee27f459a174,8d808385724395a0efcb7bde78c9a787a17cfa50ba07c875539a38f4bad9ef29,6a4d7b4f38dd91c7a21f07403a5479aaf8dddade060d2964a31d2e4d69e44898,c3a354161dadac3def477bf1643a4346ee9b76e67e96e7b8c87db1a3cb367887,eb201d50c0821ecba8d9f6f7fc88223a6caf7c8f26ace49a38e443867761ea70,eb44fad8e38572a2fe7c26e87464d413ded23447c4e38678314a78395d24c93e,c9d48a6f68ce249e82c47ceafffe7c0f1fe012fdb179c1fcf55b961e8a97f203,268fc797cb90bba4522ff3cf023daeb5a84e13600adf5cd98bed4dc634aaefdb,34daa67c3abeb7e76a6e849d28d9700450d32527cc91aab9ca9e63c1f05983f0,9ea3903ff0ada62643d04ee3c78d171d406d31a3c89003670772a5f4bd09e137,f7953d4fb699613b3466ad7f9320a784a63d04ca0505926f954a0803de44d536,d0d55ea05a327877ae58fafd3893600d97f8095a1a67abecdbd19b337ae253e0,cf7d178189b853d14fd796905e869df10b203cf26207904cc14ada1e75d56ee8,ff664c1cb9d91b5ad8c587d47d3351e642a738e6a3e1903cbe351048cf4eb167
"11","11","0","0","9","10","11","598","11","11","0","0","0","11","11","10","0","11","200100","0","30","1","11","0","0","11","1","11","82","擲岩猴","11","200000006","11","600010011","0","0","11","0","1","11","11","0","11","11"
"19","19","0","0","13","10","19","1482","19","19","0","0","0","19","19","10","0","19","200100","0","30","1","19","0","0","19","1","19","177","擲岩猴","15","200000006","19","600010019","0","0","19","0","1","19","19","0","19","19"
"21","21","0","0","15","10","21","1784","21","21","0","0","0","21","21","10","0","21","200100","0","30","1","21","0","0","21","1","21","206","擲岩猴","18","200000006","21","600010021","0","0","21","0","1","21","21","0","21","21"
"11","11","0","0","13","10","11","954","11","11","0","0","0","11","11","10","0","11","200200","0","30","1","11","0","0","11","1","11","138","氣球鳥","11","200000001","11","600020011","0","0","11","0","1","11","11","0","11","11"
"19","19","0","0","16","10","19","2090","19","19","0","0","0","19","19","10","0","19","200200","0","30","1","19","0","0","19","1","19","215","氣球鳥","14","200000001","19","600020019","0","0","19","0","1","19","19","0","19","19"
"20","20","0","0","16","10","20","2296","20","20","0","0","0","20","20","10","0","20","200200","0","30","1","20","0","0","20","1","20","223","氣球鳥","14","200000001","20","600020020","0","0","20","0","1","20","20","0","20","20"
"11","11","0","0","13","10","11","1076","11","11","0","0","0","11","11","10","0","11","200300","0","30","1","11","0","123","11","1","11","0","守門者","22","200000008","11","600030011","0","0","11","0","1","11","11","0","11","11"
"19","19","0","0","18","10","19","2828","19","19","0","0","0","19","19","10","0","19","200300","0","30","1","19","0","200","19","1","19","0","守門者","27","200000008","19","600030019","0","0","19","0","1","19","19","0","19","19"
"20","20","0","0","18","10","20","2939","20","20","0","0","0","20","20","10","0","20","200300","0","30","1","20","0","203","20","1","20","0","守門者","27","200000008","20","600030020","0","0","20","0","1","20","20","0","20","20"
"10","10","0","0","6","10","10","1702","10","10","0","0","0","10","10","10","0","10","200400","0","30","1","10","0","0","10","1","10","247","狼人","8","200000001","10","600040010","0","0","10","0","1","10","10","0","10","10"
"18","18","0","0","11","10","18","3229","18","18","0","0","0","18","18","10","0","18","200400","0","30","1","18","0","0","18","1","18","426","狼人","14","200000001","18","600040018","0","0","18","0","1","18","18","0","18","18"
"20","20","0","0","13","10","20","3804","20","20","0","0","0","20","20","10","0","20","200400","0","30","1","20","0","0","20","1","20","490","狼人","16","200000001","20","600040020","0","0","20","0","1","20","20","0","20","20"
"1","1","0","0","2","10","1","320","1","1","0","0","0","1","1","10","0","1","200500","0","30","1","1","0","0","1","1","1","40","狂野角鹿","3","200000001","1","600050001","0","0","1","0","1","1","1","0","1","1"
"9","9","0","0","8","10","9","1634","9","9","0","0","0","9","9","10","0","9","200500","0","30","1","9","0","0","9","1","9","194","狂野角鹿","10","200000001","9","600050009","0","0","9","0","1","9","9","0","9","9"
"12","12","0","0","10","10","12","1711","12","12","0","0","0","12","12","10","0","12","200500","0","30","1","12","0","0","12","1","12","231","狂野角鹿","13","200000001","12","600050012","0","0","12","0","1","12","12","0","12","12"
"16","16","0","0","12","10","16","2290","16","16","0","0","0","16","16","10","0","16","200500","0","30","1","16","0","0","16","1","16","301","狂野角鹿","16","200000001","16","600050016","0","0","16","0","1","16","16","0","16","16"
"20","20","0","0","13","10","20","3871","20","20","0","0","0","20","20","10","0","20","200500","0","30","1","20","0","0","20","1","20","446","狂野角鹿","18","200000001","20","600050020","0","0","20","0","1","20","20","0","20","20"
"1","1","0","0","2","10","1","154","1","1","0","0","0","1","1","10","0","1","200600","0","30","1","1","0","0","1","1","1","28","鼠妖","3","200000001","1","600060001","0","0","1","0","1","1","1","0","1","1"
"4","4","0","0","4","10","4","297","4","4","0","0","0","4","4","10","0","4","200600","0","30","1","4","0","0","4","1","4","49","鼠妖","5","200000001","4","600060004","0","0","4","0","1","4","4","0","4","4"
"13","13","0","0","10","10","13","699","13","13","0","0","0","13","13","10","0","13","200600","0","30","1","13","0","0","13","1","13","203","鼠妖","11","200000001","13","600060013","0","0","13","0","1","13","13","0","13","13"
"16","16","0","0","12","10","16","1026","16","16","0","0","0","16","16","10","0","16","200600","0","30","1","16","0","0","16","1","16","260","鼠妖","13","200000001","16","600060016","0","0","16","0","1","16","16","0","16","16"
"20","20","0","0","15","10","20","1462","20","20","0","0","0","20","20","10","0","20","200600","0","30","1","20","0","0","20","1","20","335","鼠妖","16","200000001","20","600060020","0","0","20","0","1","20","20","0","20","20"
"1","1","0","0","2","10","1","356","1","1","0","0","0","1","1","10","0","1","200700","0","30","1","1","0","23","1","1","1","0","木靈","3","200000006","1","600070001","0","0","1","0","1","1","1","0","1","1"
"13","13","0","0","14","10","13","1229","13","13","0","0","0","13","13","10","0","13","200700","0","30","1","13","0","235","13","1","13","0","木靈","12","200000006","13","600070013","0","0","13","0","1","13","13","0","13","13"
"22","22","0","0","17","10","22","2081","22","22","0","0","0","22","22","10","0","22","200700","0","30","1","22","0","358","22","1","22","0","木靈","14","200000006","22","600070022","0","0","22","0","1","22","22","0","22","22"
"4","4","0","0","4","10","4","409","4","4","0","0","0","4","4","10","0","4","200800","0","30","1","4","0","0","4","1","4","43","噬岩怪","6","200000006","4","600080004","0","0","4","0","1","4","4","0","4","4"
"16","16","0","0","12","10","16","1003","16","16","0","0","0","16","16","10","0","16","200800","0","30","1","16","0","0","16","1","16","163","噬岩怪","18","200000006","16","600080016","0","0","16","0","1","16","16","0","16","16"
"1","1","0","0","2","10","1","301","1","1","0","0","0","1","1","10","0","1","200900","0","30","1","1","0","0","1","1","1","28","樹精","3","200000001","1","600090001","0","0","1","0","1","1","1","0","1","1"
"13","13","0","0","14","10","13","1182","13","13","0","0","0","13","13","10","0","13","200900","0","30","1","13","0","0","13","1","13","170","樹精","15","200000001","13","600090013","0","0","13","0","1","13","13","0","13","13"
"22","22","0","0","21","10","22","2743","22","22","0","0","0","22","22","10","0","22","200900","0","30","1","22","0","0","22","1","22","298","樹精","22","200000001","22","600090022","0","0","22","0","1","22","22","0","22","22"
"23","23","0","0","21","10","23","2878","23","23","0","0","0","23","23","10","0","23","200900","0","30","1","23","0","0","23","1","23","307","樹精","22","200000001","23","600090023","0","0","23","0","1","23","23","0","23","23"
"3","3","0","0","5","10","3","665","3","3","0","0","0","3","3","10","0","3","200901","0","30","1","3","0","0","3","1","3","44","擰扭相思樹","6","200000001","3","600090103","0","0","3","0","1","3","3","0","3","3"
"14","14","0","0","12","10","14","1594","14","14","0","0","0","14","14","10","0","14","200901","0","30","1","14","0","0","14","1","14","284","擰扭相思樹","14","200000001","14","600090114","0","0","14","0","1","14","14","0","14","14"
"22","22","0","0","17","10","22","3199","22","22","0","0","0","22","22","10","0","22","200901","0","30","1","22","0","0","22","1","22","455","擰扭相思樹","20","200000001","22","600090122","0","0","22","0","1","22","22","0","22","22"
"11","11","0","0","12","10","11","769","11","11","0","0","0","11","11","10","0","11","201000","0","30","1","11","0","165","11","1","11","0","怨火之顱","10","200000010","11","600100011","0","0","11","0","1","11","11","0","11","11"
"19","19","0","0","19","10","19","1944","19","19","0","0","0","19","19","10","0","19","201000","0","30","1","19","0","285","19","1","19","0","怨火之顱","16","200000010","19","600100019","0","0","19","0","1","19","19","0","19","19"
"3","3","0","0","4","10","3","463","3","3","0","0","0","3","3","10","0","3","201100","0","30","1","3","0","0","3","1","3","29","狗頭人","5","200000001","3","600110003","0","0","3","0","1","3","3","0","3","3"
"14","14","0","0","11","10","14","1265","14","14","0","0","0","14","14","10","0","14","201100","0","30","1","14","0","0","14","1","14","162","狗頭人","12","200000001","14","600110014","0","0","14","0","1","14","14","0","14","14"
"22","22","0","0","14","10","22","2079","22","22","0","0","0","22","22","10","0","22","201100","0","30","1","22","0","0","22","1","22","251","狗頭人","16","200000001","22","600110022","0","0","22","0","1","22","22","0","22","22"
"23","23","0","0","21","10","23","2091","23","23","0","0","0","23","23","10","0","23","201100","0","30","1","23","0","0","23","1","23","266","狗頭人","23","200000001","23","600110023","0","0","23","0","1","23","23","0","23","23"
"1","1","0","0","3","10","1","231","1","1","0","0","0","1","1","10","0","1","201200","0","30","1","1","0","0","1","1","1","52","魔像","102","200000001","1","600120001","0","0","1","0","1","1","1","0","1","1"
"12","12","0","0","18","10","12","878","12","12","0","0","0","12","12","10","0","12","201200","0","30","1","12","0","0","12","1","12","192","魔像","273","200000003","12","600120012","0","0","12","0","1","12","12","0","12","12"
"22","22","0","0","33","10","22","2461","22","22","0","0","0","22","22","10","0","22","201200","0","30","1","22","0","0","22","1","22","413","魔像","300","200000003","22","600120022","0","0","22","0","1","22","22","0","22","22"
"1","1","0","0","4","10","1","479","1","1","0","0","0","1","1","10","0","1","201300","0","30","1","1","0","0","1","1","1","31","岩花","5","200000003","1","600130001","0","0","1","0","1","1","1","0","1","1"
"13","13","0","0","13","10","13","1088","13","13","0","0","0","13","13","10","0","13","201300","0","30","1","13","0","0","13","1","13","137","岩花","17","200000003","13","600130013","0","0","13","0","1","13","13","0","13","13"
"10","10","0","0","9","10","10","1033","10","10","0","0","0","10","10","10","0","10","201301","0","30","1","10","0","0","10","1","10","83","癲狂之花","10","200000009","10","600130110","0","0","10","0","1","10","10","0","10","10"
"17","17","0","0","14","10","17","2063","17","17","0","0","0","17","17","10","0","17","201301","0","30","1","17","0","0","17","1","17","155","癲狂之花","16","200000009","17","600130117","0","0","17","0","1","17","17","0","17","17"
"20","20","0","0","15","10","20","2504","20","20","0","0","0","20","20","10","0","20","201301","0","30","1","20","0","0","20","1","20","166","癲狂之花","18","200000009","20","600130120","0","0","20","0","1","20","20","0","20","20"
"10","10","0","0","10","10","10","579","10","10","0","0","0","10","10","10","0","10","201400","0","30","1","10","0","114","10","1","10","0","雷雲長老","14","200000001","10","600140010","0","0","10","0","1","10","10","0","10","10"
"17","17","0","0","14","10","17","965","17","17","0","0","0","17","17","10","0","17","201400","0","30","1","17","0","227","17","1","17","0","雷雲長老","20","200000001","17","600140017","0","0","17","0","1","17","17","0","17","17"
"22","22","0","0","19","10","22","2106","22","22","0","0","0","22","22","10","0","22","201400","0","30","1","22","0","414","22","1","22","0","雷雲長老","27","200000001","22","600140022","0","0","22","0","1","22","22","0","22","22"
"23","23","0","0","17","10","23","2420","23","23","0","0","0","23","23","10","0","23","201500","0","30","1","23","0","196","23","1","23","0","潛陸水母","14","200000001","23","600150023","0","0","23","0","1","23","23","0","23","23"
"3","3","0","0","3","10","3","520","3","3","0","0","0","3","3","10","0","3","201600","0","30","1","3","0","17","3","1","3","0","森之寧芙","6","200000001","3","600160003","0","0","3","0","1","3","3","0","3","3"
"4","4","0","0","4","10","4","579","4","4","0","0","0","4","4","10","0","4","201600","0","30","1","4","0","36","4","1","4","0","森之寧芙","6","200000001","4","600160004","0","0","4","0","1","4","4","0","4","4"
"14","14","0","0","11","10","14","2305","14","14","0","0","0","14","14","10","0","14","201600","0","30","1","14","0","198","14","1","14","0","森之寧芙","10","200000001","14","600160014","0","0","14","0","1","14","14","0","14","14"
"16","16","0","0","13","10","16","2723","16","16","0","0","0","16","16","10","0","16","201600","0","30","1","16","0","232","16","1","16","0","森之寧芙","11","200000001","16","600160016","0","0","16","0","1","16","16","0","16","16"
"4","4","0","0","3","10","4","473","4","4","0","0","0","4","4","10","0","4","202101","0","30","1","4","0","0","4","1","4","50","紅蕈菇","5","200000001","4","600210104","0","0","4","0","1","4","4","0","4","4"
"11","11","0","0","9","10","11","1101","11","11","0","0","0","11","11","10","0","11","202101","0","30","1","11","0","0","11","1","11","183","紅蕈菇","10","200000001","11","600210111","0","0","11","0","1","11","11","0","11","11"
"16","16","0","0","13","10","16","1670","16","16","0","0","0","16","16","10","0","16","202101","0","30","1","16","0","0","16","1","16","262","紅蕈菇","15","200000001","16","600210116","0","0","16","0","1","16","16","0","16","16"
"19","19","0","0","13","10","19","2023","19","19","0","0","0","19","19","10","0","19","202101","0","30","1","19","0","0","19","1","19","295","紅蕈菇","16","200000001","19","600210119","0","0","19","0","1","19","19","0","19","19"
"23","23","0","0","29","10","23","2807","23","23","0","0","0","23","23","10","0","23","202200","0","30","1","23","0","409","23","1","23","0","翼耳兔","21","200000001","23","600220023","0","0","23","0","1","23","23","0","23","23"
"1","1","0","0","6","10","1","210","1","1","0","0","0","1","1","10","0","1","202300","0","30","1","1","0","55","1","1","1","0","火焰咒士","5","200000006","1","600230001","0","0","1","0","1","1","1","0","1","1"
"13","13","0","0","16","10","13","981","13","13","0","0","0","13","13","10","0","13","202300","0","30","1","13","0","171","13","1","13","0","火焰咒士","13","200000006","13","600230013","0","0","13","0","1","13","13","0","13","13"
"18","18","0","0","17","10","18","1681","18","18","0","0","0","18","18","10","0","18","202300","0","30","1","18","0","252","18","1","18","0","火焰咒士","13","200000006","18","600230018","0","0","18","0","1","18","18","0","18","18"
"23","23","0","0","18","10","23","3490","23","23","0","0","0","23","23","10","0","23","202400","0","30","1","23","0","0","23","1","23","578","洞窟猿猴","33","200000001","23","600240023","0","0","23","0","1","23","23","0","23","23"
"10","10","0","0","14","10","10","965","10","10","0","0","0","10","10","10","0","10","202500","0","30","1","10","0","129","10","1","10","0","洞窟蝙蝠","11","200000001","10","600250010","0","0","10","0","1","10","10","0","10","10"
"17","17","0","0","23","10","17","1658","17","17","0","0","0","17","17","10","0","17","202500","0","30","1","17","0","233","17","1","17","0","洞窟蝙蝠","17","200000001","17","600250017","0","0","17","0","1","17","17","0","17","17"
"4","4","0","0","5","10","4","503","4","4","0","0","0","4","4","10","0","4","202700","0","30","1","4","0","0","4","1","4","61","寄居蟹騎士","8","200000001","4","600270004","0","0","4","0","1","4","4","0","4","4"
"16","16","0","0","16","10","16","1736","16","16","0","0","0","16","16","10","0","16","202700","0","30","1","16","0","0","16","1","16","323","寄居蟹騎士","20","200000001","16","600270016","0","0","16","0","1","16","16","0","16","16"
"23","23","0","0","19","10","23","2881","23","23","0","0","0","23","23","10","0","23","202700","0","30","1","23","0","0","23","1","23","455","寄居蟹騎士","26","200000001","23","600270023","0","0","23","0","1","23","23","0","23","23"
