516bf920d14893754cc84acf53a38e8895ce52abc420f9004451bbc755611189,abf5d700ff30deb0c218761caf9d2ffbec1cd3794150886f11cc568733c94484,65637f5ac8303200dc475ac1b78725463f27cd5d2405ffa14d7de16e96665476,a7f787983ba966a4b02a6e6958f7ca6183db39f02f8d52dbbbddc4f94e3074a6,f82e08e6f559c3ac8f0d7b8c90f2dbf1a7de79664b70941498150a7032b426c9,9558402a1e0e2cb40c24d4584f8d0df4cc61d89ed41ad0cb0d25f957726a067b,ae8a04fe056141d99f8019fc62f0237b9046222a0a0793404d11eaeb3abdc26c,169501a2da5a72b296bdbb3b7509382d82df730a0e4ea65b12fbb18d0ad9b18b,19999ac95a598b8d9974c9c4027668bbd2783c4eebf75911361d9ac2d66d863c,1498c3b33f93ba4ce7c040488ce607019fd94429b644f3c31f20d7c665073fd2,b57536664eeef581182279d6ba4c19b5215d9d81743f7dea7aab9099a799b141
"1010010001","","","","se_travel_finish_assemble","","","23","se_travel","1001","0"
"1010010002","-160","-275","travel_exdrama_r_100_run","1000001","0","1.46","1","1","1001","1"
"1010010003","-200","-575","travel_exdrama_r_100_run","1000002","0","1.46","1","1","1001","2"
"1010010004","-250","-750","travel_exdrama_r_100_run","1000003","0","1.46","1","1","1001","3"
"1010010005","-175","575","travel_exdrama_r_100_run","1000004","1","1.46","1","1","1001","4"
"1010010006","-250","750","travel_exdrama_r_100_run","1000005","1","1.46","1","1","1001","5"
"1010010007","0","1","","-100","","","2","1000001","1001","-160"
"1010010008","0","1","","-275","","","2","1000002","1001","-200"
"1010010009","0","1","","-450","","","2","1000003","1001","-250"
"1010010010","0","1","","275","","","2","1000004","1001","-175"
"1010010011","0","1","","450","","","2","1000005","1001","-250"
"1010010012","0","0","","0","","","93","1","1001","0"
"1010010013","0","","","travel_exdrama_r_100_raiseup","0","0.2","3","1000001","1001","0"
"1010010014","0","","","travel_exdrama_r_100_idle","0","0","3","1000002","1001","1"
"1010010015","0","","","travel_exdrama_r_100_idle","0","0","3","1000003","1001","1"
"1010010016","0","","","travel_exdrama_r_100_idle","0","0","3","1000004","1001","1"
"1010010017","0","","","travel_exdrama_r_100_idle","0","0","3","1000005","1001","1"
"1010010018","-160","-100","travel_exdrama_r_100_raiseup","1","0","1.46","5","1","1001","11"
"1010010019","","","","0","","","93","1","1001",""
"1010010020","0","","","","","0.12","6","1000001","1001",""
"1010010021","0","","","","","0.12","6","1000002","1001",""
"1010010022","0","","","","","0.12","6","1000003","1001",""
"1010010023","0","","","","","0.12","6","1000004","1001",""
"1010010024","0","","","","","0.12","6","1000005","1001",""
"1010010025","0","","","","","0.12","6","1","1001",""
"1010010026","","","","0","","","93","0.12","1001",""
"1010010027","","","","","","","91","0","1001",""
"1010020001","","","","se_travel_finish_assemble","","","23","se_travel","1002","0"
"1010020002","-160","-275","travel_exdrama_r_100_run","1000001","0","1.46","1","1","1002","1"
"1010020003","-200","-575","travel_exdrama_r_100_run","1000002","0","1.46","1","1","1002","2"
"1010020004","-250","-750","travel_exdrama_r_100_run","1000003","0","1.46","1","1","1002","3"
"1010020005","-175","575","travel_exdrama_r_100_run","1000004","1","1.46","1","1","1002","4"
"1010020006","-250","750","travel_exdrama_r_100_run","1000005","1","1.46","1","1","1002","5"
"1010020007","1","20","","10000","","0","31","10000","1002","-40"
"1010020008","0","1","","-100","","","2","1000001","1002","-160"
"1010020009","0","1","","-275","","","2","1000002","1002","-200"
"1010020010","0","1","","-450","","","2","1000003","1002","-250"
"1010020011","0","1","","275","","","2","1000004","1002","-175"
"1010020012","0","1","","450","","","2","1000005","1002","-250"
"1010020013","0","0","","0","","","93","1","1002","0"
"1010020014","0","","","travel_exdrama_r_100_raiseup","0","0.2","3","1000001","1002","0"
