2a5ad9307f2fbb198004fb479ff922ff38138e7be04c30378396179127b20176,799f2b9d7ea88a686f5a507cf14f1e404c3a786724a1acee37bf7e61eee976d4,4d99565bf6932f37445ea02faba8e7442dbded7b6a73599180e86b2b6d0276c3,6a3b5614d748f91ce7d119f3bfc19a1a64a9e237811a7000735fba1b4c75ba5c,066b4e2b485a7042e4fbe0de86d58269041f0dfc6af053bf84ea5754a4b6f4c2
"301","1006001","-1","1006201","1006001"
"301","1006011","-1","1006211","1006011"
"301","1007002","-1","1007202","1007002"
"301","1007011","-1","1007211","1007011"
"301","1007012","-1","1007212","1007012"
"261","1008003","-1","1008203","1008003"
"261","1018003","-1","1018203","1018003"
"261","1018011","-1","1018211","1018011"
"261","1018012","-1","1018212","1018012"
"261","1022012","-1","1022212","1022012"
"301","1026011","-1","1026211","1026011"
"261","1028003","-1","1028203","1028003"
"261","1034003","-1","1034203","1034003"
"261","1037003","-1","1037203","1037003"
"261","1038002","-1","1038202","1038002"
"261","1038003","-1","1038203","1038003"
"261","1038012","-1","1038212","1038012"
"301","1045002","-1","1045202","1045002"
"301","1045012","-1","1045212","1045012"
"261","1046003","-1","1046203","1046003"
"301","1056002","-1","1056202","1056002"
"301","1056012","-1","1056212","1056012"
"261","1057003","-1","1057203","1057003"
"261","1063003","-1","1063203","1063003"
"261","1067003","-1","1067203","1067003"
"301","1071001","-1","1071201","1071001"
"301","1071011","-1","1071211","1071011"
"261","1071012","-1","1071212","1071012"
"261","1079002","-1","1079202","1079002"
"261","1079012","-1","1079212","1079012"
"261","1082002","-1","1082202","1082002"
"261","1082012","-1","1082212","1082012"
"261","1083012","-1","1083212","1083012"
"261","1084003","-1","1084203","1084003"
"261","1084013","-1","1084213","1084013"
"261","1085012","-1","1085212","1085012"
"301","1089002","-1","1089202","1089002"
"301","1089012","-1","1089212","1089012"
"261","1091002","-1","1091202","1091002"
"261","1091012","-1","1091212","1091012"
"261","1103002","-1","1103202","1103002"
"261","1103012","-1","1103212","1103012"
"261","1106002","-1","1106202","1106002"
"261","1106012","-1","1106212","1106012"
"261","1110002","-1","1110202","1110002"
"261","1110012","-1","1110212","1110012"
"261","1114002","-1","1114202","1114002"
"261","1114012","-1","1114212","1114012"
"261","1118012","-1","1118212","1118012"
"301","1119002","-1","1119202","1119002"
"301","1119012","-1","1119212","1119012"
"261","1122001","-1","1122201","1122001"
"261","1122002","-1","1122202","1122002"
"261","1122012","-1","1122212","1122012"
"261","1124002","-1","1124202","1124002"
"261","1124012","-1","1124212","1124012"
"301","1125002","-1","1125202","1125002"
"301","1125012","-1","1125212","1125012"
"261","1126012","-1","1126212","1126012"
"261","1129002","-1","1129202","1129002"
"261","1129012","-1","1129212","1129012"
"261","1134002","-1","1134202","1134002"
"261","1134012","-1","1134212","1134012"
"261","1137012","-1","1137212","1137012"
"261","1138001","-1","1138201","1138001"
"301","1139003","-1","1139203","1139003"
"261","1141012","-1","1141212","1141012"
"261","1146002","-1","1146202","1146002"
"261","1146012","-1","1146212","1146012"
"261","1150002","-1","1150202","1150002"
"261","1150012","-1","1150212","1150012"
"261","1155003","-1","1155203","1155003"
"261","1156003","-1","1156203","1156003"
"261","1158003","-1","1158203","1158003"
"261","1158101","-1","1158201","1158101"
"261","1158111","-1","1158211","1158111"
"261","1160003","-1","1160203","1160003"
"261","1164003","-1","1164203","1164003"
"261","1166003","-1","1166203","1166003"
"261","1168003","-1","1168203","1168003"
"261","1170003","-1","1170203","1170003"
"261","1172003","-1","1172203","1172003"
"261","1176003","-1","1176203","1176003"
"261","1179003","-1","1179203","1179003"
"261","1190003","-1","1190203","1190003"
"261","1209003","-1","1209203","1209003"
"261","1211001","-1","1211201","1211001"
"261","1211002","-1","1211202","1211002"
"261","1211012","-1","1211212","1211012"
"261","1213002","-1","1213202","1213002"
"261","1215003","-1","1215203","1215003"
"261","1701003","-1","1701203","1701003"
"261","1802002","-1","1802202","1802002"
"261","1802012","-1","1802212","1802012"
"261","1807002","-1","1807202","1807002"
"261","1807012","-1","1807212","1807012"
