047652a7b0da18ec6f20740ae13787be940ad024d9b2817089575915cba28f7e,ebc48203f30d399e45f98da48d6f2282be231904b2a2824ab4743a617d7a03f5,32129a816625fd6ba2f545b6bf98223b5cd0414395349e00e75be98a1eb3b0c5,93e9ff2e05cc5d77c3b645ff2e51dbf60428e82ea9c83a64eda2acf94fcf6d78,c0c5c9b335d060e78114531917ed43f5de96491b9eb4e2e7786767149453aa3a,fc36920179b3f20281b5a01d112f5c72fa696363de1d4a1f245c7fd7366745e0,3dcc6f75e918f803fa70967c2fd7c0909071fc880724d3b73d8e1f6b72707362,4918a6a29594a98149a9de88c3d947b22520768608fd6cdb66bdac87fd3f0e55
"52001","1","1","1","【料理】骰子增加成為兩個","0","1","0"
"52002","1","2","1","【料理】骰子只會丟出「1」","0","1","0"
"52002","1","3","3","【料理】跳過下次的回合數計算","0","2","0"
"52004","1","4","1","【料理】骰子只會丟出「4」","0","1","0"
"52006","1","5","1","【料理】骰子只會丟出\n「4・5・6」","0","1","0"
"52007","1","6","1","【料理】骰子第1次只會丟出「3」，第2次只會丟出「6」","0","1","0"
"52003","1","7","1","【料理】骰子只會丟出「5」","0","1","0"
"52008","1","8","2","【料理】里程格所獲得的里程將提升200%","0","7","0"
"4","2","9","3","【事件】跳過下次的回合數計算","0","2","0"
"5","2","10","2","【事件】里程格所獲得的里程將提升100%","0","3","0"
"6","2","11","2","【事件】小遊戲所獲得的里程將提升100%","0","5","0"
"7","2","12","3","【事件】里程商店的所有商品折價20%以上","0","4","0"
"52009","1","13","1","【料理】骰子第1次只會丟出「8」，第2次只會丟出「1」","0","1","0"
"52010","1","14","2","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個","0","6","0"
"52011","1","15","1","【料理】骰子第1次只會丟出「2」，第2次只會丟出「7」","0","1","0"
"52012","1","16","1","【料理】骰子只會丟出\n「1・2・3」","0","1","0"
"52012","1","17","3","【料理】跳過下次的回合數計算","0","2","0"
"52014","1","18","1","【料理】移動時將可以跳過里程格。","0","8","0"
"52005","1","19","1","【料理】下次移動時，將多移動1格。","0","1","0"
"52014","1","20","1","【料理】下次移動時，將多移動1格。","2","1","2"
"52015","1","21","1","【料理】骰子增加成為兩個","0","1","0"
"52015","1","22","1","【料理】下次移動時，將多移動1格。","0","1","0"
"52016","1","23","1","【料理】投擲的骰子一定會丟出「6」。","0","1","0"
"52017","1","24","1","【料理】變得無法食用移動系的料理。","0","9","0"
"52018","1","25","1","【料理】投擲的骰子一定會丟出「3」。","0","1","0"
"52019","1","26","1","【料理】投擲的骰子一定會丟出「8」。","0","1","0"
"98011","2","27","3","【事件】跳過下次的回合數計算","0","2","0"
"98012","2","28","3","【事件】跳過下次的回合數計算","0","2","0"
"52020","1","29","2","【料理】移動時將可以跳過里程格。","0","10","0"
"52020","1","30","1","【料理】下次移動時，將多移動1格。","2","1","2"
"52021","1","31","2","【料理】移動時可以跳過寶物格。","0","10","0"
"52022","1","32","1","【料理】投擲的骰子丟出「5和6」的\n機率變成3倍。","0","1","0"
"52023","1","33","1","【料理】第1次投擲骰子一定會丟出「6」，第2次一定會丟出「3」","0","1","0"
"52024","1","34","1","【料理】下次移動時多前進3格","0","1","0"
"52025","1","35","2","【料理】移動時可以跳過「里程格」及「寶物格」。","0","10","0"
"52027","1","36","1","【料理】骰子只會丟出「5」","0","1","0"
"52028","1","37","1","【料理】投擲的骰子\n只會丟出「1、2」。","0","1","0"
"52029","1","38","1","【料理】投擲的骰子一定會丟出「2」。","0","1","0"
"52029","1","39","3","【料理】跳過下次的回合數計算","0","2","0"
"8","2","40","3","【事件】里程商店的所有商品折價20%以上","0","4","0"
"52030","1","41","3","【料理】將「里程格」變成「寶物格」。","0","11","0"
"52031","1","42","1","【料理】下次投擲的骰子\n會丟出「1、6、6、6、8、8」。","0","1","0"
"52032","1","43","2","【料理】移動時可以跳過料理格","0","10","0"
"52034","1","44","1","【料理】移動時可以跳過里程格","0","8","0"
"52036","1","45","1","【料理】第1回合投擲骰子一定會丟出「12」，第2、3回合一定會丟出「1」","0","1","0"
"1","3","1001","1","取得最大n里程","0","99","0"
"2","3","1002","1","重新擲1次骰子","0","99","0"
"3","3","1003","1","重新擲1次骰子_有效回合2","0","99","0"
"1001","3","11001","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","0","126501","0"
"1002","3","11002","1","【夥伴】取得最大1000里程","0","105301","0"
"1003","3","11003","1","【夥伴】取得1個料理","0","126401","0"
"1004","3","11004","1","【夥伴】重新擲1次骰子","0","100501","0"
"1005","3","11005","1","【夥伴】重新擲2次骰子","0","101301","0"
"1006","3","11006","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","0","104301","0"
"1007","3","11007","1","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","0","102701","0"
"1008","3","11008","1","【夥伴】追加投擲骰子直到數字合計為7以上","0","100901","0"
"1009","3","11009","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","0","105101","0"
"1010","3","11010","1","【夥伴】取得最大1000里程","0","101801","0"
"1011","3","11011","1","【夥伴】可以選擇使用骰子的正面或背面","0","129701","0"
"1012","3","11012","1","【夥伴】重新擲1次骰子","0","101601","0"
"1013","3","11013","1","【夥伴】重新擲2次骰子","0","105601","0"
"1014","3","11014","1","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","0","102001","0"
"1015","3","11015","1","【夥伴】追加投擲骰子直到數字合計為7以上","0","129601","0"
"1016","3","11016","1","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","0","100401","0"
"1017","3","11017","1","【夥伴】骰子擲出偶數時，多前進1格。","0","127701","0"
"1018","3","11018","1","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","0","127801","0"
"1019","3","11019","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","0","104801","0"
"1020","3","11020","1","【夥伴】重新擲2次骰子","0","104701","0"
"1021","3","11021","1","【夥伴】追加投擲骰子直到數字合計為7以上","0","105001","0"
"1022","3","11022","1","【夥伴】取得最大2000里程","0","103201","0"
"1023","3","11023","1","【夥伴】取得1張抽獎券","0","130901","0"
"1024","3","11024","1","【夥伴】取得1個料理","0","102501","0"
"1025","3","11025","1","【夥伴】可以選擇使用骰子的正面或背面","0","100801","0"
"1026","3","11026","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","0","123301","0"
"1027","3","11027","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","0","104601","0"
"1028","3","11028","1","【夥伴】重新擲2次骰子","0","118101","0"
"1029","3","11029","1","【夥伴】追加投擲骰子直到數字合計為7以上","0","103401","0"
"1030","3","11030","1","【夥伴】取得最大2000里程","0","118001","0"
"1031","3","11031","1","【夥伴】取得1張抽獎券","0","102801","0"
"1032","3","11032","1","【夥伴】取得1個料理","0","100201","0"
"1033","3","11033","1","【夥伴】骰子擲出奇數時，多前進1格。","0","101201","0"
"1034","3","11034","1","【夥伴】重新擲1次骰子","0","118201","0"
"1035","3","11035","1","【夥伴】追加投擲骰子直到數字合計為7以上","0","106101","0"
"1036","3","11036","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","0","103101","0"
"1037","3","11037","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","0","103301","0"
"1038","3","11038","1","【夥伴】取得最大2000里程","0","103601","0"
"1039","3","11039","1","【夥伴】取得1張抽獎券","0","133001","0"
"1040","3","11040","1","【夥伴】取得1個料理","0","133101","0"
"1041","3","11041","1","【夥伴】可以選擇使用骰子的正面或背面","0","106801","0"
"1042","3","11042","1","【夥伴】重新擲1次骰子","0","107101","0"
"1043","3","11043","1","【夥伴】追加投擲骰子直到數字合計為7以上","0","107001","0"
"1044","3","11044","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","0","106501","0"
"1045","3","11045","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","0","111001","0"
"1046","3","11046","1","【夥伴】取得最大2000里程","0","134901","0"
"1047","3","11047","1","【夥伴】取得1張抽獎券","0","105401","0"
"1048","3","11048","1","【夥伴】取得1個料理","0","134701","0"
