fa966bbbc6fc9eb30d99cdeba7eb5c097afbc4730df0b0fcd5a5639c454c906a,12dc069da20bff6d6e929f1449cdee821ddd6bab9b3fa69a5fbc918ec021b940,e96b63f2c50ae3eb9be73d8b42c0b658cb620f0a2fe797a83a51712ffe916d1d,33bb76db035c9afd565fad401dcdc5bad4d864e7b578b16c8ef2f70f7ded9a83,3476e2fd1c4cac7be7915f6c48a70f333bb6b83392fda597c00802a6f9d4a779,3510f64696172670f7299c1b367bba872754f4c3454dcf0545ea57aae96ee8e4,8bde7c26c3266158645168d7d2cc4785c917608cbe4792c400373068a737c918,73ee9e413e2cf754ba70c3cae728eea29884122ce5a72e3c40a2d59146d4b65a
"4000","100","400","1","1","0","440","4"
"10000","120","1000","2","2","0","1100","10"
"14000","140","1400","3","3","0","1540","12"
"20000","170","2000","4","4","0","2200","14"
"27000","200","2700","5","5","0","2970","18"
"36600","220","3600","6","6","0","4000","20"
"39700","240","3900","7","7","0","4300","20"
"42800","260","4200","8","8","0","4700","20"
"45600","280","4500","9","9","0","5000","20"
"48900","300","4800","10","10","0","5300","20"
