e2cdfb35475fb8e0b34d7d1478d1bd9ae0e6097ec19adced94ca5112878e78cb,69a6e90b60ab37e91c1c04f114be44d1d142b09cbc816d1022a81c7b410d5525,d861832ead3eac6b137fd7d7e26c4d7bc37f49387ebab37109a194c272ddbcfb,e72e296a06abb1413422f462624e394c2745e6f1f2cf3c8d1062b7fe5bedd5da,13e81d5dcc34534b11c109320f47a2aa03aaccc787909cedf794e5ddbafa8e4e,e5d8bb8c3ebc9340b4d65fb1dd5868094c28a7fc0cd048599d7b2e888ed114ba,6b2c4949d6afe864d6a376802adf901bd1305aa5d0cfa0318890a467e802c2d3,41303f6e671cd60e76ce7d79b62e679e5885c4ba7376e9d2fd21aeab61956951
"為什麼會發\n生這種事？","0","0","2030/01/01 01:00:00","2020/12/18 05:00:00","1","5023000","1"
"竟然說不出\n日安這句話","0","0","2030/01/01 01:00:00","2020/12/18 05:00:00","2","5023001","2"
"搞砸了！","0","0","2030/01/01 01:00:00","2020/12/18 05:00:00","3","5023002","3"
"優妮是\n這樣的人","0","0","2030/01/01 01:00:00","2020/12/19 05:00:00","4","5023002","4"
"克蘿依是\n這樣的人","0","0","2030/01/01 01:00:00","2020/12/19 05:00:00","5","5023002","5"
"琪愛兒是\n這樣的人","0","0","2030/01/01 01:00:00","2020/12/19 05:00:00","6","5023002","6"
"知性的\n優妮","0","0","2030/01/01 01:00:00","2020/12/20 05:00:00","7","5023003","7"
"溫柔的\n克蘿依","0","0","2030/01/01 01:00:00","2020/12/20 05:00:00","8","5023003","8"
"令人崇拜的\n琪愛兒","0","0","2030/01/01 01:00:00","2020/12/20 05:00:00","9","5023003","9"
"特別講座的\n練習","0","0","2030/01/01 01:00:00","2020/12/21 05:00:00","10","5023003","10"
"終於來了\n特別講座","0","0","2030/01/01 01:00:00","2020/12/21 05:00:00","11","5023004","11"
"真不愧是BB團的團長！","0","0","2030/01/01 01:00:00","2020/12/21 05:00:00","12","5023005","12"
"曼德拉草\n造成大混亂","0","0","2030/01/01 01:00:00","2020/12/21 05:00:00","13","5023006","13"
"最終日","0","0","2030/01/01 01:00:00","2020/12/25 16:00:00","14","5023007","14"
"","0","1","2030/01/01 01:00:00","2020/12/25 16:00:00","15","5023000","0"
"","0","1","2030/01/01 01:00:00","2020/12/25 16:00:00","16","5023000","0"
"","0","1","2030/01/01 01:00:00","2020/12/25 16:00:00","17","5023000","0"
