bbcd7ccb86e52913a107f71cbeab942f13ebe7b15e9c63cf82895c5e9316134d,56f357a9af74ef43198aca9201be790bd44772d4126ff6b0bead6a9aa3000ddb,42e7363a2a635af333780e1231fb2584be222982adb02a19590132d57e31d02b,66003ed0b54fb2e99c0d4b65b857dfc36707be0ec4a1cfd3a366c2a427fc96e3
"提升毒/猛毒造成的傷害","1","poison_damage_up","戰鬥中，大幅度提升「毒」、「猛毒」所造成的傷害。"
"提升火傷造成的傷害","2","burn_damage_up","戰鬥中，大幅度提升「火傷」所造成的傷害。"
"提升詛咒/咒術造成的傷害","3","curse_damage_up","戰鬥中，大幅度提升「詛咒」、「咒術」所造成的傷害。"
"增加麻痺的效果時間","4","paralysis_time_extension","戰鬥中，增加「麻痺」的效果時間。"
"增加凍結的效果時間","5","frozen_time_extension","戰鬥中，增加「凍結」的效果時間。"
"增加束縛的效果時間","6","bind_time_extension","戰鬥中，增加「束縛」的效果時間。"
"增加暈眩的效果時間","7","stun_time_extension","戰鬥中，增加「暈眩」的效果時間。"
"增加毒/猛毒的效果時間","8","poison_time_extension","戰鬥中，增加「毒」、「猛毒」的效果時間。"
"增加火傷的效果時間","9","burn_time_extension","戰鬥中，增加「火傷」的效果時間。"
"增加詛咒/咒術的效果時間","10","curse_time_extension","戰鬥中，增加「詛咒」、「咒術」的效果時間。"
"增加誘惑的效果時間","11","temptation_time_extension","戰鬥中，增加「誘惑」的效果時間。"
"增加混亂的效果時間","12","confusion_time_extension","戰鬥中，增加「混亂」的效果時間。"
"提升物理攻擊力","13","attack_up","戰鬥中，大幅度提升物理攻擊力。"
"提升魔法攻擊力","14","magic_str_up","戰鬥中，大幅度提升魔法攻擊力。"
"物理防禦力提升","15","defense_up","戰鬥中，大幅度提升物理防禦力。"
"魔法防禦力提升","16","magic_def_up","戰鬥中，大幅度提升魔法防禦力。"
"物理暴擊提高","17","physical_critical_up","戰鬥中，大幅度提升物理暴擊率。"
"魔法暴擊提高","18","magic_critical_up","戰鬥中，大幅度提升魔法暴擊率。"
"提升TP上升","19","energy_recovery_rate_up","戰鬥中，大幅度提升TP上升。"
"戰鬥開始時，特大幅度恢復TP","20","energy_recovery","戰鬥開始時，特大幅度恢復TP。"
"必定施加麻痺","22","paralysis_hit_absolute","戰鬥中，變成必定可施加「麻痺」的狀態。"
"必定施加凍結","23","frozen_hit_absolute","戰鬥中，變成必定可施加「凍結」的狀態。"
"必定施加束縛","24","bind_hit_absolute","戰鬥中，變成必定可施加「束縛」的狀態。"
"必定施加暈眩","25","stun_hit_absolute","戰鬥中，變成必定可施加「暈眩」的狀態。"
"必定施加毒/猛毒","26","poison_hit_absolute","戰鬥中，變成必定可施加「毒」、「猛毒」的狀態。"
"必定施加火傷","27","burn_hit_absolute","戰鬥中，變成必定可施加「火傷」的狀態。"
"必定施加詛咒/咒術","28","curse_hit_absolute","戰鬥中，變成必定可施加「詛咒」、「咒術」的狀態。"
"必定施加誘惑","29","temptation_hit_absolute","戰鬥中，變成必定可施加「誘惑」的狀態。"
"必定施加混亂","30","confusion_hit_absolute","戰鬥中，變成必定可施加「混亂」的狀態。"
