0e9c8359498e472b442adc0895a636a1092cf04f5e7c90bfabeecb8dae6fe39c,24b8c68231750955f43f0fcea6e112fd009e77b2409523101d01e202b21cb486,dba5e972fc0add903903efed0ca5df5a9641c7e4f55bef5b69ce0c3a8331e7aa,c4dcae057a3695d4e24d8304f54aeb124fa15dd01a8b6471eaa6b46f4bae8bcc,c2eeb743cc22ef84b33d70504c750a19b4eaf585e2618b62cc1419f1600ee692,d3630d3aa1f94eca68226f0d76b059eb7217dc9c7ae378443d9841db8d7b92b7,d6dce9c149ce10c87a9793449dac42c125dc9f9b0829fa5baed377dba63c2146,00a0cf78c54c086156dbd2cc6eda023a944894b28e8a7f149366034df16dcc92,bcf62aed6b297ab6ec9aa90e34f25a00ddf1e2f1ecf023b97d2dcb83243b20da
"100101","100000001","3","0","累積獲得3個★","1001","1","3","4101"
"100102","100000002","6","0","累積獲得6個★","1001","2","6","4101"
"100103","100000003","9","1","累積獲得9個★","1001","3","9","4101"
"100104","100000004","12","0","累積獲得12個★","1001","4","12","4101"
"100105","100000005","15","0","累積獲得15個★","1001","5","15","4101"
"100106","100000006","18","0","累積獲得18個★","1001","6","18","4101"
"100107","100000007","21","1","累積獲得21個★","1001","7","21","4101"
"100108","100000008","24","0","累積獲得24個★","1001","8","24","4101"
"100109","100000009","27","1","累積獲得27個★","1001","9","27","4101"
"100110","100000010","30","0","累積獲得30個★","1001","10","30","4101"
"100111","100000011","33","0","累積獲得33個★","1001","11","33","4101"
"100112","100000012","36","1","累積獲得36個★","1001","12","36","4101"
"100113","100000013","39","0","累積獲得39個★","1001","13","39","4101"
"100114","100000014","42","0","累積獲得42個★","1001","14","42","4101"
"100115","100000015","45","1","累積獲得45個★","1001","15","45","4101"
"100116","100000016","48","0","累積獲得48個★","1001","16","48","4101"
"100117","100000017","51","1","累積獲得51個★","1001","17","51","4101"
"100118","100000018","54","0","累積獲得54個★","1001","18","54","4101"
"100201","100200001","3","0","累積獲得3個★","1002","1","3","4101"
"100202","100200002","6","0","累積獲得6個★","1002","2","6","4101"
"100203","100200003","9","1","累積獲得9個★","1002","3","9","4101"
"100204","100200004","12","0","累積獲得12個★","1002","4","12","4101"
"100205","100200005","15","0","累積獲得15個★","1002","5","15","4101"
"100206","100200006","18","0","累積獲得18個★","1002","6","18","4101"
"100207","100200007","21","1","累積獲得21個★","1002","7","21","4101"
"100208","100200008","24","0","累積獲得24個★","1002","8","24","4101"
"100209","100200009","27","1","累積獲得27個★","1002","9","27","4101"
"100210","100200010","30","0","累積獲得30個★","1002","10","30","4101"
"100211","100200011","33","0","累積獲得33個★","1002","11","33","4101"
"100212","100200012","36","1","累積獲得36個★","1002","12","36","4101"
"100213","100200013","39","0","累積獲得39個★","1002","13","39","4101"
"100214","100200014","42","0","累積獲得42個★","1002","14","42","4101"
"100215","100200015","45","1","累積獲得45個★","1002","15","45","4101"
"100216","100200016","48","0","累積獲得48個★","1002","16","48","4101"
"100217","100200017","51","1","累積獲得51個★","1002","17","51","4101"
"100218","100200018","54","0","累積獲得54個★","1002","18","54","4101"
"100301","100300001","3","0","累積獲得3個★","1003","1","3","4101"
"100302","100300002","6","0","累積獲得6個★","1003","2","6","4101"
"100303","100300003","9","1","累積獲得9個★","1003","3","9","4101"
"100304","100300004","12","0","累積獲得12個★","1003","4","12","4101"
"100305","100300005","15","0","累積獲得15個★","1003","5","15","4101"
"100306","100300006","18","0","累積獲得18個★","1003","6","18","4101"
"100307","100300007","21","1","累積獲得21個★","1003","7","21","4101"
"100308","100300008","24","0","累積獲得24個★","1003","8","24","4101"
"100309","100300009","27","1","累積獲得27個★","1003","9","27","4101"
"100310","100300010","30","0","累積獲得30個★","1003","10","30","4101"
"100311","100300011","33","0","累積獲得33個★","1003","11","33","4101"
"100312","100300012","36","1","累積獲得36個★","1003","12","36","4101"
"100313","100300013","39","0","累積獲得39個★","1003","13","39","4101"
"100314","100300014","42","0","累積獲得42個★","1003","14","42","4101"
"100315","100300015","45","1","累積獲得45個★","1003","15","45","4101"
"100316","100300016","48","0","累積獲得48個★","1003","16","48","4101"
"100317","100300017","51","1","累積獲得51個★","1003","17","51","4101"
"100318","100300018","54","0","累積獲得54個★","1003","18","54","4101"
"100401","100400001","3","0","累積獲得3個★","1004","1","3","4101"
"100402","100400002","6","0","累積獲得6個★","1004","2","6","4101"
"100403","100400003","9","1","累積獲得9個★","1004","3","9","4101"
"100404","100400004","12","0","累積獲得12個★","1004","4","12","4101"
"100405","100400005","15","0","累積獲得15個★","1004","5","15","4101"
"100406","100400006","18","0","累積獲得18個★","1004","6","18","4101"
"100407","100400007","21","1","累積獲得21個★","1004","7","21","4101"
"100408","100400008","24","0","累積獲得24個★","1004","8","24","4101"
"100409","100400009","27","1","累積獲得27個★","1004","9","27","4101"
"100410","100400010","30","0","累積獲得30個★","1004","10","30","4101"
"100411","100400011","33","0","累積獲得33個★","1004","11","33","4101"
"100412","100400012","36","1","累積獲得36個★","1004","12","36","4101"
"100413","100400013","39","0","累積獲得39個★","1004","13","39","4101"
"100414","100400014","42","0","累積獲得42個★","1004","14","42","4101"
"100415","100400015","45","1","累積獲得45個★","1004","15","45","4101"
"100416","100400016","48","0","累積獲得48個★","1004","16","48","4101"
"100417","100400017","51","1","累積獲得51個★","1004","17","51","4101"
"100418","100400018","54","0","累積獲得54個★","1004","18","54","4101"
"100501","100500001","3","0","累積獲得3個★","1005","1","3","4101"
"100502","100500002","6","0","累積獲得6個★","1005","2","6","4101"
"100503","100500003","9","1","累積獲得9個★","1005","3","9","4101"
"100504","100500004","12","0","累積獲得12個★","1005","4","12","4101"
"100505","100500005","15","0","累積獲得15個★","1005","5","15","4101"
"100506","100500006","18","0","累積獲得18個★","1005","6","18","4101"
"100507","100500007","21","1","累積獲得21個★","1005","7","21","4101"
"100508","100500008","24","0","累積獲得24個★","1005","8","24","4101"
"100509","100500009","27","1","累積獲得27個★","1005","9","27","4101"
"100510","100500010","30","0","累積獲得30個★","1005","10","30","4101"
"100511","100500011","33","0","累積獲得33個★","1005","11","33","4101"
"100512","100500012","36","1","累積獲得36個★","1005","12","36","4101"
"100513","100500013","39","0","累積獲得39個★","1005","13","39","4101"
"100514","100500014","42","0","累積獲得42個★","1005","14","42","4101"
"100515","100500015","45","1","累積獲得45個★","1005","15","45","4101"
"100516","100500016","48","0","累積獲得48個★","1005","16","48","4101"
"100517","100500017","51","1","累積獲得51個★","1005","17","51","4101"
"100518","100500018","54","0","累積獲得54個★","1005","18","54","4101"
"100601","100600001","3","0","累積獲得3個★","1006","1","3","4101"
"100602","100600002","6","0","累積獲得6個★","1006","2","6","4101"
"100603","100600003","9","1","累積獲得9個★","1006","3","9","4101"
"100604","100600004","12","0","累積獲得12個★","1006","4","12","4101"
"100605","100600005","15","0","累積獲得15個★","1006","5","15","4101"
"100606","100600006","18","0","累積獲得18個★","1006","6","18","4101"
"100607","100600007","21","1","累積獲得21個★","1006","7","21","4101"
"100608","100600008","24","0","累積獲得24個★","1006","8","24","4101"
"100609","100600009","27","1","累積獲得27個★","1006","9","27","4101"
"100610","100600010","30","0","累積獲得30個★","1006","10","30","4101"
"100611","100600011","33","0","累積獲得33個★","1006","11","33","4101"
"100612","100600012","36","1","累積獲得36個★","1006","12","36","4101"
"100613","100600013","39","0","累積獲得39個★","1006","13","39","4101"
"100614","100600014","42","0","累積獲得42個★","1006","14","42","4101"
"100615","100600015","45","1","累積獲得45個★","1006","15","45","4101"
"100616","100600016","48","0","累積獲得48個★","1006","16","48","4101"
"100617","100600017","51","1","累積獲得51個★","1006","17","51","4101"
"100618","100600018","54","0","累積獲得54個★","1006","18","54","4101"
"100701","100700001","3","0","累積獲得3個★","1007","1","3","4101"
"100702","100700002","6","0","累積獲得6個★","1007","2","6","4101"
"100703","100700003","9","1","累積獲得9個★","1007","3","9","4101"
"100704","100700004","12","0","累積獲得12個★","1007","4","12","4101"
"100705","100700005","15","0","累積獲得15個★","1007","5","15","4101"
"100706","100700006","18","0","累積獲得18個★","1007","6","18","4101"
