4fdc37485ebb891cac9f21f545adb751298107fed4c5eb0beac7807b7067c3c4,5d34c46debd061527e26990fd6cc3a3df06d05b0b99c9cebb807af4576ea42d3,b27b1a7301154de0b6c6bcdf50ed0a13f98489d841a39064b8b3e58700c75b52,e2d25df5fb8b99a3681ec927f953dfd9498b3658e864d7d2b5849368882e0314,592b14e4a4104f579a87b44384dcb946b06ac96669c3381f0e878cbada31556d,15e91f844393a814df7601fe7b2e2f4787d5d4ccbf71b79da326abddcb81f1bd,805374ed026a2a19017d29e9484ee2be04a06c9232f9cdbd7c0eb146aa646c91,f412cc9058c1aa964a76b80a5e750192e1baf4f99119befde34aa62a2ec7b6a4,e29ac1d02c29d919c0e7ce781f82a7d05be3cb9451c3e96489fb1890970a393c,3cd467974e28440ff2c6bf27143b02416289d96d8657a31ef44a12f156b78c30
"萊拉耶爾","出現必有折扣的商店，最大折扣50%（1樣商品免費）","1","","1","10001","126501","","1001","0"
"莫妮卡","取得最大1000里程","2","","2","10001","105301","","1002","0"
"克蘿茜","取得{0}個料理","1","","3","1","126401","","1003","0"
"茉莉","重新擲{0}次骰子","3","重新擲{0}次骰子\n（還剩{1}次）","4","1","100501","重新擲{0}次骰子，\n若無法重擲，則獲得里程","1004","0"
"七七香","重新擲{0}次骰子","2","重新擲{0}次骰子\n（還剩{1}次）","4","2","101301","重新擲{0}次骰子，\n若無法重擲，則獲得里程","1005","0"
"真琴","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","2","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","5","4","104301","","1006","0"
"惠理子","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","3","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","5","3","102701","","1007","0"
"杏奈","追加投擲骰子\n直到數字合計為{0}以上","1","追加投擲骰子\n直到數字合計為{0}以上","6","7","100901","","1008","0"
"深月","出現必有折扣的商店，最大折扣50%（1樣商品免費）","1","","1","10001","105101","","1009","0"
"伊緒","取得最大1000里程","2","","2","10001","101801","","1010","0"
"涅妃‧涅羅","可以選擇使用骰子的\n正面或背面","2","可以選擇使用骰子的\n正面或背面","8","0","129701","","1011","0"
"鈴奈","重新擲{0}次骰子","3","重新擲{0}次骰子\n（還剩{1}次）","4","1","101601","重新擲{0}次骰子，\n若無法重擲，則獲得里程","1012","0"
"流夏","重新擲{0}次骰子","2","重新擲{0}次骰子\n（還剩{1}次）","4","2","105601","重新擲{0}次骰子，\n若無法重擲，則獲得里程","1013","0"
"美美","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","3","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","5","3","102001","","1014","0"
"安涅默涅","追加投擲骰子\n直到數字合計為{0}以上","1","追加投擲骰子\n直到數字合計為{0}以上","6","7","129601","","1015","0"
"禊","骰子擲出{0}時，\n可以讓對手休息{1}個回合","2","骰子擲出{0}時，可以讓對手休息{1}個回合","10","1","100401","","1016","1"
"琳德","骰子擲出{0}時，\n前進+{1}","3","骰子擲出{0}時，\n前進+{1}","13","2","127701","","1017","1"
"烏爾姆","骰子擲出{0}時，\n可以讓對手休息{1}個回合","2","骰子擲出{0}時，\n可以讓對手休息{1}個回合","10","1","127801","","1018","1"
"美冬","出現必有折扣的商店，最大折扣50%（1樣商品免費）","1","","1","10001","104801","","1019","0"
"純","重新擲{0}次骰子","2","重新擲{0}次骰子\n（還剩{1}次）","4","2","104701","重新擲{0}次骰子，\n若無法重擲，則獲得里程","1020","0"
"美咲","追加投擲骰子\n直到數字合計為{0}以上","1","追加投擲骰子\n直到數字合計為{0}以上","6","7","105001","","1021","0"
"秋乃","取得最大2000里程","1","","2","10002","103201","","1022","0"
"庫露露","取得{0}張抽獎券","1","","12","1","130901","","1023","0"
"鈴莓","取得{0}個料理","1","","3","1","102501","","1024","0"
