fda95f022cd37b1547df4952c17ed6fb63411b6d137dc48d30982a1247bc9820,03aa8695937f56351ce207114dd07c633867df1e304ee207a20c347805f140ff,8906b09916f261a15ea0e0d2c942a610818722f2bb19b084e5b414c1febc06d9,8f31f97f5b4cf3ee2841b4012f5e0773547e4476e6c4d771325991a5cf504e95,a2e2708704211d96565a002db2084ad74838c62b4ad8e1474e963b674f764dc7,3de58feb1513e66b30e2ccb471d624008a7238f44253b49e3b797198ec32d869,7f7a9674f0c6ac2a80b5066ba38006fd498ca9ed3b898fbaacd3c6a415f69b27,eebcdd1ea2261d00794b46347ee5e28df05d78757a0df371bb2a80bed194ea21,a6b1fd40176ab2de36e395aef23415f42219c01a0dbc1542041d3e36fe3a4af5,c48fbda622e3df7a12ec3b682e27f02c783d53949a70a81a23287b5040ab4d51,e3e8ea5887f9d15186a188b3822a021e08b516f8bc36dd71264d3222d296cc2b
"-420","1","cgg_idle_normal","101","0","1","-230","100","5","160","101001"
"375","105811","cgg_idle_def","101","1","1","-230","100","1","1.6","101002"
"490","106011","cgg_idle_def","101","1","1","-230","101","1","1.6","101003"
"1","1","","101","0","1","1","1","6","0.1","101004"
"1","1","","101","0","105811","1","1","6","0.1","101005"
"1","1","","101","0","106011","1","1","6","0.1","101006"
"","0","","101","","0.2","","","93","","101007"
"0","vo_minigame_1007_top_talk_1_001","","101","","vo_minigame_1007","","0","21","","101008"
"0","妳看，小凱留♪\n有好多慈樂之音的\n周邊喔☆","0","101","0","105811","0","4","11","0","101009"
"","cgg_idle_surprise1","","101","","1","","1","3","0.2","101010"
"cgg_talk_surprise_kira","cgg_surprise_kira","","101","0","105811","1","0","3","0.2","101011"
"","0","","101","","2.1","","","93","","101012"
"","cgg_idle_surprise3","","101","","1","","1","3","0.2","101013"
"","cgg_talk_joy1","","101","","105811","","1","3","0.2","101014"
"","","","101","","101009","","","91","","101015"
"","cgg_idle_def","","101","","105811","","1","3","0.2","101016"
"0","vo_minigame_1007_top_talk_1_002","","101","","vo_minigame_1007","","0","21","","101017"
"0","有這麼多啊……\n這種東西會讓人\n不由自主地\n想全部收齊呢。","0","101","0","106011","0","5","11","0","101018"
"","cgg_idle_reaction1","","101","","1","","1","3","0.2","101019"
"","cgg_talk_surprise1","","101","","106011","","1","3","0.2","101020"
"","0","","101","","2.1","","","93","","101021"
"","cgg_idle_nod","","101","","1","","1","3","0.2","101022"
"","cgg_talk_bitter","","101","","106011","","1","3","0.2","101023"
"","","","101","","101018","","","91","","101024"
"","0","","101","","0.5","","","93","","101025"
"","cgg_idle_normal","","101","","1","","1","3","0.2","101026"
"","cgg_idle_def","","101","","106011","","1","3","0.2","101027"
"","cgg_idle_joy2","","101","","105811","","1","3","0.2","101028"
"","10","","101","","105811","","1.4","12","0.2","101029"
"","0","","101","","3","","","93","","101030"
"","cgg_idle_def","","101","","105811","","1","3","0.2","101031"
"","cgg_talk_surprise_dere","","101","","106011","","1","3","0.2","101032"
"","8","","101","","106011","","1.4","12","0.2","101033"
"","0","","101","","3","","","93","","101034"
"","cgg_idle_def","","101","","106011","","1","3","0.2","101035"
