670a88a3d71c0c0988c254bb2c8348aa3d5578796d07542cba06c1c27ec387d5,6df9d9b14581b6e4e4d4b3d3ae0b8a507d9f6dd32bbf792e55f7f56ce45e0715,fee6fb34b83cffa7190fa94e4769285c9458a7e0fea853d827bdcd75564ed719,74444238f4a57f326914b7ce5eadaa5594140e67fb21ab77e0331b9ea3c6ca77,23b15b0ecaaf34e6ee2b3508ac7668724771027c313bd5f9b8d5478fb1379e7b,a730512e6faaea0bb52a1aae91b3a92d34f737fdb3d5334d171128c48856291c
"101011","4","60000001","1","6","10011001"
"101071","4","60000002","1","6","10011001"
"101101","4","60000003","1","6","10011001"
"101131","4","60000004","1","7","10011001"
"101161","4","60000005","1","6","10011001"
"101191","4","60000006","1","6","10011001"
"101251","4","60000007","1","7","10011001"
"101281","4","60000008","1","7","10011001"
"101371","4","60000009","1","7","10011001"
"101401","4","60000010","1","7","10011001"
"101431","4","60000011","1","7","10011001"
"101521","4","60000012","1","7","10011001"
"101551","4","60000013","1","7","10011001"
"101581","4","60000014","1","7","10011001"
"101611","4","60000015","1","7","10011001"
"102011","4","60000016","1","2","10011002"
"102013","4","60000017","1","2","10011002"
"102014","4","60000018","1","2","10011002"
"102041","4","60000019","1","2","10011002"
"102071","4","60000020","1","2","10011002"
"102101","4","60000021","1","2","10011002"
"102131","4","60000022","1","2","10011002"
"102162","4","60000023","1","2","10011002"
"102163","4","60000024","1","2","10011002"
"102191","4","60000025","1","2","10011002"
"102192","4","60000026","1","2","10011002"
"102221","4","60000027","1","2","10011002"
"102222","4","60000028","1","2","10011002"
"102251","4","60000029","1","2","10011002"
"102252","4","60000030","1","3","10011002"
"102281","4","60000031","1","3","10011002"
"102461","4","60000032","1","3","10011002"
"102551","4","60000033","1","3","10011002"
"102552","4","60000034","1","3","10011002"
"102581","4","60000035","1","3","10011002"
"102582","4","60000036","1","3","10011002"
"102611","4","60000037","1","3","10011002"
"102612","4","60000038","1","3","10011002"
"122282","4","60000039","1","3","10011002"
"122311","4","60000040","1","3","10011002"
"122312","4","60000041","1","3","10011002"
"122341","4","60000042","1","3","10011002"
"122342","4","60000043","1","3","10011002"
"122371","4","60000044","1","3","10011002"
"122372","4","60000045","1","3","10011002"
"122401","4","60000046","1","3","10011002"
"122431","4","60000047","1","3","10011002"
"122432","4","60000048","1","3","10011002"
"122491","4","60000049","1","3","10011002"
"122493","4","60000050","1","3","10011002"
"122521","4","60000051","1","3","10011002"
"122613","4","60000052","1","3","10011002"
"122614","4","60000053","1","3","10011002"
"113011","4","60000054","1","2","10011003"
"113012","4","60000055","1","2","10011003"
"113013","4","60000056","1","2","10011003"
"113071","4","60000057","1","2","10011003"
"113101","4","60000058","1","2","10011003"
"113131","4","60000059","1","2","10011003"
"113162","4","60000060","1","2","10011003"
"113191","4","60000061","1","2","10011003"
"113221","4","60000062","1","2","10011003"
"113222","4","60000063","1","2","10011003"
"113252","4","60000064","1","2","10011003"
"113283","4","60000065","1","3","10011003"
"113342","4","60000066","1","3","10011003"
"113372","4","60000067","1","3","10011003"
"113401","4","60000068","1","3","10011003"
"113431","4","60000069","1","3","10011003"
"113521","4","60000070","1","3","10011003"
"113522","4","60000071","1","3","10011003"
"113551","4","60000072","1","3","10011003"
"113552","4","60000073","1","3","10011003"
"113553","4","60000074","1","3","10011003"
"113581","4","60000075","1","3","10011003"
"113611","4","60000076","1","3","10011003"
"113614","4","60000077","1","3","10011003"
"123041","4","60000078","1","2","10011003"
"123042","4","60000079","1","2","10011003"
"123072","4","60000080","1","2","10011003"
"123132","4","60000081","1","2","10011003"
"123161","4","60000082","1","2","10011003"
"123192","4","60000083","1","2","10011003"
"123193","4","60000084","1","2","10011003"
"123251","4","60000085","1","2","10011003"
"123281","4","60000086","1","3","10011003"
"123282","4","60000087","1","3","10011003"
"123311","4","60000088","1","3","10011003"
"123341","4","60000089","1","3","10011003"
"123343","4","60000090","1","3","10011003"
"123371","4","60000091","1","3","10011003"
"123432","4","60000092","1","3","10011003"
"123461","4","60000093","1","3","10011003"
"123491","4","60000094","1","3","10011003"
"123582","4","60000095","1","3","10011003"
"123583","4","60000096","1","3","10011003"
"123612","4","60000097","1","3","10011003"
"114011","4","60000098","1","2","10011004"
"114012","4","60000099","1","2","10011004"
"114041","4","60000100","1","2","10011004"
"114072","4","60000101","1","2","10011004"
"114102","4","60000102","1","2","10011004"
"114132","4","60000103","1","2","10011004"
"114162","4","60000104","1","2","10011004"
"114191","4","60000105","1","2","10011004"
"114221","4","60000106","1","2","10011004"
"114222","4","60000107","1","2","10011004"
"114252","4","60000108","1","2","10011004"
"114281","4","60000109","1","3","10011004"
"114282","4","60000110","1","3","10011004"
"114312","4","60000111","1","3","10011004"
"114341","4","60000112","1","3","10011004"
"114371","4","60000113","1","3","10011004"
"114372","4","60000114","1","3","10011004"
"114432","4","60000115","1","3","10011004"
"114461","4","60000116","1","3","10011004"
"114522","4","60000117","1","3","10011004"
"114551","4","60000118","1","3","10011004"
"114581","4","60000119","1","3","10011004"
"114611","4","60000120","1","2","10011004"
"124042","4","60000121","1","2","10011004"
"124071","4","60000122","1","2","10011004"
"124101","4","60000123","1","2","10011004"
"124131","4","60000124","1","2","10011004"
"124161","4","60000125","1","2","10011004"
"124192","4","60000126","1","2","10011004"
"124251","4","60000127","1","2","10011004"
"124311","4","60000128","1","3","10011004"
"124342","4","60000129","1","3","10011004"
