5c9f5a9afbfc5c281bd443ec24921c19a0cfa33fd09a253f5645ff1cfe16eb9f,c2c340a8b9c2a59305eb8160d4368919256f674310d65430974d7d7737f41d5e,236dcd63c0c8e12504df44ac376ea5cd0d02b0a591676ee535aa0c70b1450744,47a26fc318557f31549972e26123f89d5cc29921fa5e4129b4065eeb56bd503b,a53306212cb7a175a2eb2131232bd4d0140a5d802559c487ca2aa3905536a15e,26cbfcaaaeba891829af3b4d9fb5fdcc023bd3b0358498d60e7e1b2e627d3ba9,8f5c62470017b08f1a2253bfbf7aa8e2ee956a716c885c9420b2e52fb3f6c0c5,e0c6671f765325036bf3bdb744b7e78ed85ec00181d14dfd7c6080e01bedac0c,b5853f0ebc69fe83402975c9d2ebf8144c27327fea524d7dde4ecc619f02eaf8,6705b850ea799a2cf1192a25abd673da886091cc09df88c04e2e27636f78f037,61da5ab63fb41b6fdfae79aab606d1952323f3d6dc8d57952b881f471fe8dff8
"111001","0","wac_215_karin_idle_normal","-345","118511","1","202","1","111","2","-273"
"111002","1","wac_215_idle_joy1","-355","105811","1","205","1","111","2","170"
"111003","1","wac_215_idle_normal_joy","-325","105911","1","202","1","111","2","50"
"111004","1","wac_215_idle_arm_crossed","-330","106011","1","203","1","111","2","300"
"111005","1","wac_215_idle_normal2","-360","106431","1","204","1","111","2","450"
"111006","","","","","131","","1","111","",""
"112001","","","","0","93","","1","112","",""
"112002","","","","wac_215_karin_talk_normal","3","1","118511","112","0.2",""
"112003","","","","vo_wac_220215_000","21","0","vo_wac_220215","112","","0"
"112004","0","0.5","1","【美食殿堂】的各位，\n謝謝你們過來！","11","10","118511","112","0","1"
"112005","","","","","91","","112004","112","",""
"112006","","","","wac_215_karin_idle_normal","3","1","118511","112","0.2",""
"112007","0.2","","1","wac_215_peko_oissu","3","0","105811","112","0.2","wac_215_talk_normal"
"112008","","","","vo_wac_220215_001","21","0","vo_wac_220215","112","","0"
"112009","0","0.5","1","花凜小姐，阿囉哈～！\n怎麼了嗎？\n居然找我們來\n蘭德索爾的這個角落。","11","10","105811","112","0","1"
"112010","","","","","91","","112009","112","",""
"112011","","","","wac_215_idle_normal","3","1","105811","112","0.2",""
"112012","","","","wac_215_karin_talk_normal","3","1","118511","112","0.2",""
"112013","","","","vo_wac_220215_002","21","0","vo_wac_220215","112","","0"
"112014","0","0.5","1","我今天有個重要的委託\n想要拜託各位。","11","10","118511","112","0","1"
"112015","","","","","91","","112014","112","",""
"112016","","","","wac_215_karin_idle_normal","3","1","118511","112","0.2",""
"112017","0","","1","wac_215_talk_arm_crossed","3","0","106011","112","0.2","wac_215_talk_arm_crossed_loop"
"112018","","","","vo_wac_220215_003","21","0","vo_wac_220215","112","","0"
"112019","0","0.5","1","重要的委託？\n妳該不會是又想\n把麻煩的事情推給我們吧……","11","10","106011","112","0","1"
"112020","","","","","91","","112019","112","",""
"112021","","","","wac_215_idle_arm_crossed","3","1","106011","112","0.2",""
"112022","","","","wac_215_karin_talk_normal","3","1","118511","112","0.2",""
"112023","","","","vo_wac_220215_004","21","0","vo_wac_220215","112","","0"
"112024","0","0.5","1","其實這次是為了發展提升景觀的\n事業，而決定著手進行在圍繞\n蘭德索爾的牆壁上畫畫，\n讓城鎮華麗起來的計畫。","11","10","118511","112","0","1"
"112025","","","","","91","","112024","112","",""
"112026","","","","wac_215_karin_idle_normal","3","1","118511","112","0.2",""
"112027","0.2","","1","wac_215_shefy_humu","3","0","106431","112","0.2","wac_215_talk_normal"
"112028","","","","vo_wac_220215_005","21","0","vo_wac_220215","112","","0"
"112029","0","0.5","1","在圍繞蘭德索爾的牆壁上畫畫？\n哦～好像會很開心呢。\n只要畫在這裡就行了嗎？","11","10","106431","112","0","1"
"112030","","","","","91","","112029","112","",""
"112031","","","","wac_215_idle_normal2_joy","3","1","106431","112","0.2",""
"112032","","","","wac_215_karin_talk_normal","3","1","118511","112","0.2",""
"112033","","","","vo_wac_220215_006","21","0","vo_wac_220215","112","","0"
"112034","0","0.5","1","是的，希望你們能從這裡開始，\n沿著蘭德索爾的牆壁繞一圈，\n用繪畫填滿整片牆。","11","10","118511","112","0","1"
"112035","","","","","91","","112034","112","",""
"112036","","","","wac_215_karin_idle_normal","3","1","118511","112","0.2",""
"112037","","","","wac_215_talk_sad","3","1","106431","112","0.2",""
"112038","","","","vo_wac_220215_007","21","0","vo_wac_220215","112","","0"
"112039","0","0.5","1","咦？要沿著蘭德索爾的牆壁……\n繞一圈？","11","10","106431","112","0","1"
"112040","","","","","91","","112039","112","",""
"112041","","","","wac_215_idle_sad","3","1","106431","112","0.2",""
"112042","","","","wac_215_karin_talk_wish","3","1","118511","112","0.2",""
"112043","","","","vo_wac_220215_008","21","0","vo_wac_220215","112","","0"
"112044","0","0.5","1","是的♪你們不覺得要是能用\n漂亮的圖畫裝飾整個蘭德索爾，\n就能讓這裡變成一座\n充滿了魅力的城鎮嗎？","11","10","118511","112","0","1"
"112045","","","","","91","","112044","112","",""
"112046","","","","wac_215_karin_idle_normal","3","1","118511","112","0.2",""
"112047","","","","wac_215_coccoro_talk_wish","3","1","105911","112","0.2",""
"112048","","","","vo_wac_220215_009","21","0","vo_wac_220215","112","","0"
"112049","0","0.5","1","這個計畫……還真是壯闊啊。\n花凜小姐。","11","10","105911","112","0","1"
"112050","","","","","91","","112049","112","",""
"112051","","","","wac_215_coccoro_idle_wish","3","1","105911","112","0.2",""
"112052","0","","1","wac_215_peko_talk_guts2","3","0","105811","112","0.2","wac_215_peko_talk_guts2_loop"
"112053","","","","vo_wac_220215_010","21","0","vo_wac_220215","112","","0"
"112054","0","0.5","1","好興奮喔！太讚了吧☆\n那就去請在王宮工作的畫家\n教我們怎麼畫畫吧♪","11","10","105811","112","0","1"
"112055","","","","","91","","112054","112","",""
"112056","","","","wac_215_peko_idle_guts2","3","1","105811","112","0.2",""
"112057","","","","0","4","","105811","112","",""
"112058","","","","0","4","","105911","112","",""
"112059","","","","wac_215_idle_joy1","3","1","105811","112","0.2",""
"112060","","","","wac_215_idle_normal","3","1","105911","112","0.2",""
"112061","","","","wac_215_idle_surprise1","3","1","106431","112","0.2",""
"112062","0.2","","1","wac_215_kyaru_anger","3","1","106011","112","0.2","wac_215_talk_anger2"
"112063","","","","vo_wac_220215_011","21","0","vo_wac_220215","112","","0"
"112064","0","0.5","1","慢著慢著慢著！！\n就要妳等一下了啊！？\n你們以為繞蘭德索爾的牆壁\n走整整一圈的距離有多遠啊！","11","10","106011","112","0","1"
"112065","","","","","91","","112064","112","",""
"112066","","","","wac_215_idle_anger2","3","1","106011","112","0.2",""
"112067","","","","wac_215_talk_sad","3","1","106011","112","0.2",""
"112068","","","","vo_wac_220215_012","21","0","vo_wac_220215","112","","0"
"112069","0","0.5","1","那可是連正常地走過去\n都會令人厭煩的距離耶？\n如果只有我們，再怎麼樣都……","11","10","106011","112","0","1"
"112070","","","","","91","","112069","112","",""
"112071","","","","wac_215_idle_sad","3","1","106011","112","0.2",""
"112072","","","","wac_215_coccoro_talk_wish2","3","1","105911","112","0.2",""
"112073","","","","vo_wac_220215_013","21","0","vo_wac_220215","112","","0"
"112074","0","0.5","1","凱留小姐，那麼，要不要\n請其他公會也來幫忙呢？\n只要和各位同心協力……","11","10","105911","112","0","1"
"112075","","","","","91","","112074","112","",""
"112076","","","","wac_215_coccoro_idle_wish2","3","1","105911","112","0.2",""
"112077","0","","1","wac_215_kyaru_talk_doya","3","0","106011","112","0.2","wac_215_kyaru_talk_doya_loop"
"112078","","","","vo_wac_220215_014","21","0","vo_wac_220215","112","","0"
"112079","0","0.5","1","可蘿仔，妳這不是超有幹勁的嗎……\n啊～受不了，拿你們沒辦法耶。\n花凜，你很擅長這種事情吧？\n就是那個叫什麼呼喚的東西。","11","10","106011","112","0","1"
"112080","","","","","91","","112079","112","",""
"112081","","","","wac_215_idle_arm_crossed","3","1","106011","112","0.2",""
"112082","","","","1","4","","105811","112","",""
"112083","","","","1","4","","105911","112","",""
"112084","","","","wac_215_idle_normal_joy","3","1","105911","112","0.2",""
"112085","","","","wac_215_idle_normal2_joy","3","1","106431","112","0.2",""
"112086","","","","wac_215_karin_talk_wish","3","1","118511","112","0.2",""
"112087","","","","vo_wac_220215_015","21","0","vo_wac_220215","112","","0"
"112088","0","0.5","1","我明白了，\n那我來彙整發給各個公會的委託書。\n公會呼喚……！","11","10","118511","112","0","1"
"112089","","","","","91","","112088","112","",""
"112090","","","","wac_215_karin_idle_normal","3","1","118511","112","0.2",""
"112091","","","","wac_215_karin_talk_normal","3","1","118511","112","0.2",""
"112092","","","","vo_wac_220215_016","21","0","vo_wac_220215","112","","0"
"112093","0","0.5","1","那在大家畫畫時，\n我就去找其他的公會囉。\n讓牆壁上充滿美麗的圖畫，\n來打造出蘭德索爾的地標景點吧！","11","10","118511","112","0","1"
"112094","","","","","91","","112093","112","",""
"112095","","","","wac_215_karin_idle_normal","3","1","118511","112","0.2",""
"112096","0.2","","1","wac_215_peko_talk_wish","3","0","105811","112","0.2","wac_215_peko_talk_wish_loop"
"112097","","","","vo_wac_220215_017","21","0","vo_wac_220215","112","","0"
"112098","0","0.5","1","我明白了！\n那我就來畫魔物料理──","11","10","105811","112","0","1"
"112099","","","","","91","","112098","112","",""
"112100","","","","wac_215_peko_idle_wish","3","1","105811","112","0.2",""
"112101","0.2","","1","wac_215_kyaru_talk_anger","3","0","106011","112","0.2","wac_215_talk_arm_crossed_loop"
"112102","","","","vo_wac_220215_018","21","0","vo_wac_220215","112","","0"
"112103","0","0.5","1","妳別畫那種噁心的東西！\n但企劃本身算還不錯吧？\n感覺好像很開心……那麼，\n就來大展身手一番吧！","11","10","106011","112","0","1"
"112104","","","","","91","","112103","112","",""
"112105","","","","wac_215_idle_arm_crossed","3","1","106011","112","0.2",""
"112106","0","","1","wac_215_cmn_eieio","3","0","105811","112","0.2","wac_215_cmn_eieio_loop"
"112107","0","","1","wac_215_cmn_eieio","3","0","106431","112","0.2","wac_215_cmn_eieio_loop"
"112108","","","","","93","","0.1","112","",""
"112109","0","","1","wac_215_cmn_eieio","3","0","105911","112","0.2","wac_215_cmn_eieio_loop"
"112110","0.2","","1","wac_215_cmn_eieio","3","0","106011","112","0.2","wac_215_cmn_eieio_loop"
"112111","","","","","93","","0.9","112","",""
"112112","0.2","","1","wac_215_handclap","3","0","118511","112","0.2","wac_215_karin_idle_normal"
"112113","","","","0","93","","2","112","",""
"112114","","","","","91","","0","112","",""
"113001","","","","wac_215_karin_idle_normal","3","1","118511","113","0.2",""
"113002","","","","wac_215_idle_joy1","3","1","105811","113","0.2",""
"113003","","","","","93","","0.1","113","",""
"113004","","","","wac_215_coccoro_idle_wish","3","1","105911","113","0.2",""
"113005","","","","wac_215_idle_arm_crossed","3","1","106011","113","0.2",""
"113006","","","","","93","","0.1","113","",""
"113007","","","","wac_215_idle_normal2_joy","3","1","106431","113","0.2",""
"113008","","","","","91","","0","113","",""
"211001","0","wac_default_11","-212.75","105811","1","202","1","211","2","-108"
"211002","0","wac_default_11","-212.75","111","5","201","1","211","2","-108"
"211003","","","1","1","31","0","1","211","1","0"
"211004","","","1","2","31","0","2","211","0","0"
"211005","","","1","11","31","0","11","211","0","0"
"211006","","","0","wac_paint_11","3","0","105811","211","0.2",""
"211007","","","0","wac_paint_11","3","0","111","211","0.2",""
"211008","","","","0","93","","0.3","211","",""
"211009","","wac_default_11","","1","32","","11","211","",""
"211010","","","","se_10035700_roller","23","0","se_10035700","211","",""
"211011","","","","","131","","1","211","",""
"212001","","","1","wac_talk_kyapi_in","3","0","105811","212","0.2","wac_talk_kyapi_loop"
"212002","","","","wac_no_items","3","1","111","212","0.2",""
"212003","","","","200","2","-340","105811","212","","0"
"212004","","","","200","2","-340","111","212","","0"
"212005","","","","0","32","","1","212","",""
"212006","","","","1","32","","2","212","",""
"212007","","","","0","32","","11","212","",""
"212008","","","","vo_wac_220216_000","21","0","vo_wac_220216","212","","0"
"212009","0","0.5","1","嘿嘿～♪畫畫，畫畫～！\n這搞不好是我有生以來\n第一次畫這麼大一幅畫！","11","10","105811","212","0","1"
"212010","","","","","91","","0","212","",""
"212011","","","","vo_wac_220216_001","21","0","vo_wac_220216","212","","0"
"212012","0","0.5","1","大家一起圍繞在餐桌邊\n當然是很幸福，\n但跟大家一起打造出一件東西……\n也太讚了吧☆","11","10","105811","212","0","1"
"212013","","","","","91","","0","212","",""
"212014","","","","0","22","","0","212","",""
"213001","","","","wac_idle_kyapi","3","1","105811","213","0.2",""
"213002","","","","wac_no_items","3","1","111","213","0.2",""
"213003","","","","200","2","-340","105811","213","","0"
"213004","","","","200","2","-340","111","213","","0"
"213005","","","","0","32","","1","213","",""
"213006","","","","1","32","","2","213","",""
"213007","","","","0","32","","11","213","",""
"213008","","","","","91","","0","213","",""
"311001","0","wac_default_01","-212.75","105911","1","202","1","311","2","-108"
"311002","0","wac_default_03","-212.75","111","5","201","1","311","2","-108"
"311003","","","1","1","31","0","1","311","1","0"
"311004","","","1","2","31","0","2","311","0","0"
"311005","","","1","11","31","0","11","311","0","0"
"311006","","","","wac_paint_01","3","0","105911","311","0.2",""
"311007","","","","wac_paint_03","3","0","111","311","0.2",""
"311008","","wac_default_11","","1","32","","11","311","",""
"311009","","","","se_10035700_brush","23","0","se_10035700","311","",""
"311010","","","","","131","","1","311","",""
"312001","","","1","wac_talk_wish_in","3","0","105911","312","0.2","wac_talk_wish_loop"
"312002","","","","wac_no_items","3","1","111","312","0.2",""
"312003","","","","200","2","-340","105911","312","","0"
"312004","","","","200","2","-340","111","312","","0"
"312005","","","","0","32","","1","312","",""
"312006","","","","1","32","","2","312","",""
"312007","","","","0","32","","11","312","",""
"312008","","","","vo_wac_220217_000","21","0","vo_wac_220217","312","","0"
"312009","0","0.5","1","呼……\n在下認為自己很擅長照顧人，\n卻對畫技沒什麼自信。\n但是──","11","10","105911","312","0","1"
"312010","","","","","91","","0","312","",""
"312011","","","","vo_wac_220217_001","21","0","vo_wac_220217","312","","0"
"312012","0","0.5","1","在下希望有朝一日，能在蘭德索爾的\n這面牆畫上主人威風凜凜的模樣……\n在下會努力的。\n請你看著在下吧，主人……♪","11","10","105911","312","0","1"
"312013","","","","","91","","0","312","",""
"312014","","","","0","22","","0","312","",""
"313001","","","","wac_idle_wish","3","1","105911","313","0.2",""
"313002","","","","wac_no_items","3","1","111","313","0.2",""
"313003","","","","200","2","-340","105911","313","","0"
"313004","","","","200","2","-340","111","313","","0"
"313005","","","","0","32","","1","313","",""
"313006","","","","1","32","","2","313","",""
"313007","","","","0","32","","11","313","",""
"313008","","","","","91","","0","313","",""
"411001","0","wac_default_01","-212.75","106011","1","202","1","411","2","-108"
"411002","0","wac_default_02","-212.75","111","5","201","1","411","2","-108"
"411003","","","1","1","31","0","1","411","1","0"
"411004","","","1","2","31","0","2","411","0","0"
"411005","","","1","11","31","0","11","411","0","0"
"411006","","","","wac_paint_01","3","0","106011","411","0.2",""
"411007","","","","wac_paint_02","3","0","111","411","0.2",""
"411008","","wac_default_11","","1","32","","11","411","",""
"411009","","","0","se_10035700_brush","23","0","se_10035700","411","0.2",""
"411010","","","","","131","","1","411","",""
"412001","","","1","wac_talk_doya_in","3","0","106011","412","0.2","wac_talk_doya_loop"
"412002","","","","wac_no_items","3","1","111","412","0.2",""
"412003","","","","200","2","-340","106011","412","","0"
"412004","","","","200","2","-340","111","412","","0"
"412005","","","","0","32","","1","412","",""
"412006","","","","1","32","","2","412","",""
"412007","","","","0","32","","11","412","",""
"412008","","","","vo_wac_220218_000","21","0","vo_wac_220218","412","","0"
"412009","0","0.5","1","哼哼哼～♪\n好，感覺很不錯呢！\n今天的部分完成了！","11","10","106011","412","0","1"
"412010","","","","","91","","0","412","",""
"412011","","","","vo_wac_220218_001","21","0","vo_wac_220218","412","","0"
"412012","0","0.5","1","總覺得開始好玩起來了。\n……我啊，該不會是有\n繪畫的才能吧♪\n好～要來盡情地畫囉！","11","10","106011","412","0","1"
"412013","","","","","91","","0","412","",""
"412014","","","","0","22","","0","412","",""
"413001","","","","wac_idle_doya","3","1","106011","413","0.2",""
"413002","","","","wac_no_items","3","1","111","413","0.2",""
"413003","","","","200","2","-340","106011","413","","0"
"413004","","","","200","2","-340","111","413","","0"
"413005","","","","0","32","","1","413","",""
"413006","","","","1","32","","2","413","",""
"413007","","","","0","32","","11","413","",""
"413008","","","","","91","","0","413","",""
"511001","0","wac_default_11","-212.75","106431","1","202","1","511","2","-108"
"511002","0","wac_default_12","-212.75","111","5","201","1","511","2","-108"
"511003","","","1","1","31","0","1","511","1","0"
"511004","","","1","2","31","0","2","511","0","0"
"511005","","","1","11","31","0","11","511","0","0"
"511006","","","","wac_paint_11","3","0","106431","511","0.2",""
"511007","","","","wac_paint_12","3","0","111","511","0.2",""
"511008","","","","0","93","","0.3","511","",""
"511009","","wac_default_11","","1","32","","11","511","",""
"511010","","","0","se_10035700_roller","23","0","se_10035700","511","0.2",""
"511011","","","","","131","","1","511","",""
"512001","","","1","wac_talk_smile_in","3","0","106431","512","0.2","wac_talk_smile_loop"
"512002","","","","wac_no_items","3","1","111","512","0.2",""
"512003","","","","200","2","-340","106431","512","","0"
"512004","","","","200","2","-340","111","512","","0"
"512005","","","","0","32","","1","512","",""
"512006","","","","1","32","","2","512","",""
"512007","","","","0","32","","11","512","",""
"512008","","","","vo_wac_220219_000","21","0","vo_wac_220219","512","","0"
"512009","0","0.5","1","雖然我沒有學過畫畫……\n但盡情地動手畫畫非常新鮮，\n很有趣呢。","11","10","106431","512","0","1"
"512010","","","","","91","","0","512","",""
"512011","","","","vo_wac_220219_001","21","0","vo_wac_220219","512","","0"
"512012","0","0.5","1","我們畫的畫居然會變成\n蘭德索爾的一部分風景，\n總覺得這就像是在作夢……！","11","10","106431","512","0","1"
"512013","","","","","91","","0","512","",""
"512014","","","","0","22","","0","512","",""
"513001","","","","wac_idle_smile","3","1","106431","513","0.2",""
"513002","","","","wac_no_items","3","1","111","513","0.2",""
"513003","","","","200","2","-340","106431","513","","0"
"513004","","","","200","2","-340","111","513","","0"
"513005","","","","0","32","","1","513","",""
"513006","","","","1","32","","2","513","",""
"513007","","","","0","32","","11","513","",""
"513008","","","","","91","","0","513","",""
"611001","0","wac_default_01","-212.75","104411","1","202","1","611","2","-108"
"611002","0","wac_default_01","-212.75","111","5","201","1","611","2","-108"
"611003","","","1","1","31","0","1","611","1","0"
"611004","","","1","2","31","0","2","611","0","0"
"611005","","","1","11","31","0","11","611","0","0"
"611006","","","","wac_paint_01","3","0","104411","611","0.2",""
"611007","","","","wac_paint_01","3","0","111","611","0.2",""
"611008","","wac_default_11","","1","32","","11","611","",""
"611009","","","0","se_10035700_brush","23","0","se_10035700","611","0.2",""
"611010","","","","","131","","1","611","",""
"612001","","","1","wac_talk_doya_in","3","0","104411","612","0.2","wac_talk_doya_loop"
"612002","","","","wac_no_items","3","1","111","612","0.2",""
