6ed6f2384f46442af2ab10f68e495d813d47054a13072b932401f89cdb465050,31bff26de7da455562372c9b94d263236279d1e83de761f3cc20bb2a3955a621,1ae2c1dcdc8e99117f8f30b787d53a574013900366d61cf2dbda8ebe1358a12e,6fa23a80b7916a947db9cdfe0eb284b25feda082bffbcbd8444e63ff181d0a7e,9728cf7fa64aa3590ac58277700a4e38bf4be347852a0cc2917c6f4342e273f3
"1","add_shadow","74001102","追加吉塔的闇影。","追加1隻闇影"
"2","add_shadow","74001103","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","追加3隻闇影"
"3","star6_shadow","74001104","望的闇影變成★6。","闇影★6化"
"4","add_shadow","74001104","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","追加3隻闇影"
"5","star6_shadow","74001105","望、吉塔、鏡華的闇影\n變成★6。","闇影★6化"
"6","add_shadow","74001105","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","追加3隻闇影"
"7","add_shadow","74001202","追加優花梨的闇影。","追加1隻闇影"
"8","add_shadow","74001203","追加優花梨、矛依未（新年）、優衣的闇影。","追加3隻闇影"
"9","star6_shadow","74001204","優花梨與優衣的闇影變成★6。","闇影★6化"
"10","add_shadow","74001204","追加優花梨、矛依未（新年）、優衣的闇影。","追加3隻闇影"
"11","star6_shadow","74001205","宮子、優花梨、真步、優衣的闇影變成★6。","闇影★6化"
"12","add_shadow","74001205","追加優花梨、矛依未（新年）、優衣的闇影。","追加3隻闇影"
"13","boss_magic_cut","74001301","戰鬥開始時，Boss怪物的魔法傷害為減少20%的狀態。","Boss魔法傷害降低"
"14","boss_magic_cut","74001302","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","Boss魔法傷害降低"
"15","add_shadow","74001302","追加靜流（夏日）的闇影。","追加1隻闇影"
"16","energy_recover","74001303","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP"
"17","boss_magic_cut","74001303","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","Boss魔法傷害降低"
"18","add_shadow","74001303","追加靜流（夏日）與克莉絲提娜的闇影。","追加2隻闇影"
"19","boss_ub_enhance","74001304","Boss怪物的必殺技會受到強化。","Boss UB強化"
"20","energy_recover","74001304","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP"
"21","boss_magic_cut","74001304","戰鬥開始時，Boss怪物的魔法傷害為減少70%的狀態。","Boss魔法傷害降低"
"22","add_shadow","74001304","追加靜流（夏日）與克莉絲提娜的闇影。","追加2隻闇影"
"23","limit_time","74001305","戰鬥時間變成60秒。","戰鬥時間限制"
"24","boss_ub_enhance","74001305","Boss怪物的必殺技會受到強化。","Boss UB強化"
"25","energy_recover","74001305","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP"
"26","boss_magic_cut","74001305","戰鬥開始時，Boss怪物的魔法傷害為減少100%的狀態。","Boss魔法傷害降低"
"27","add_shadow","74001305","追加靜流（夏日）與克莉絲提娜的闇影。","追加2隻闇影"
"28","boss_physics_cut","74001401","戰鬥開始時，Boss怪物的物理傷害為減少20%的狀態。","Boss物理傷害降低"
"29","boss_physics_cut","74001402","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","Boss物理傷害降低"
"30","add_shadow","74001402","追加空花（大江戶）的闇影。","追加1隻闇影"
"31","energy_recover","74001403","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP"
"32","boss_physics_cut","74001403","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","Boss物理傷害降低"
"33","add_shadow","74001403","追加空花（大江戶）與似似花的闇影。","追加2隻闇影"
"34","boss_ub_enhance","74001404","Boss怪物的必殺技會受到強化。","Boss UB強化"
"35","energy_recover","74001404","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP"
"36","boss_physics_cut","74001404","戰鬥開始時，Boss怪物的物理傷害為減少70%的狀態。","Boss物理傷害降低"
"37","add_shadow","74001404","追加空花（大江戶）與似似花的闇影。","追加2隻闇影"
"38","limit_time","74001405","戰鬥時間變成60秒。","戰鬥時間限制"
"39","boss_ub_enhance","74001405","Boss怪物的必殺技會受到強化。","Boss UB強化"
"40","energy_recover","74001405","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP"
