c97fb15869bd2672ee95edea59362adafa0dd65652856bc2df60a40a3e4c96bd,97740f5f99e8c7bda9a5cad2c18c080b3ea4b3851859bb4d0e7775db5d4d454f,2547e6304c546e9cccd0eb94ebd64fe4b1211c8ba8edf99c8c8114fcfbbf9cc4,48e7cd5506c7aae571a9432442cb5f7493ef509644ee871175a352fe718c3e8a,78474ca6e8a35639bda86e77a12a2b42f945addd939a53b22823a05a224dbdd9,d4546256f5260afe3270c092084607e26148f55968753eb22f315066094cc686,3a1acf1d01c080f24d858b89476dcb086c40e2b2b2c81cd78ac0e7c117cddbdd,ea45d30effc2f0657ce5944911f4d5db82efbf95246cd05a26b8554980a77c39,acd96d5b3143a79df6e4ed02a9f3e1177f3a2c185e8a362ad3754fd7d9bb4817,3a7e24a6e02a8c5a02b66d0abf10b388c51d9a732e77eadaccec0ee0db3a90aa,1dc30dd2087af4f7d6749efe4a17089c96fdbd0cb111dc21e26de16c4b66c695,111f2c268cde466d285e9171870a1932fc2dc905b446f19be85cbc77cc0c976c,04925fcebdf58b56df2c7cf89d9439737667a3876759fdd9466e7d872feae565,d8771bde6b404d33866eb6ed8af94c20903cad6bb8ea5c0e1454294f2d22a005
"0","1.7","-30","100000","0","0","30","1.5","0","0","1005001","2","10050","10"
"1","1.7","25","100000","10050101","0","-17","1.5","-40","0.03","1005001","1","10050","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","1005001","3","10050","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","1005002","2","10050","10"
"1","1.7","25","100000","10050201","0","-17","1.5","-40","0.03","1005002","1","10050","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","1005002","3","10050","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","1005003","2","10050","10"
"1","1.7","25","100000","10050301","0","-17","1.5","-40","0.03","1005003","1","10050","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","1005003","3","10050","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","1005004","2","10050","10"
"1","1.7","25","100000","10050401","0","-17","1.5","-40","0.03","1005004","1","10050","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","1005004","3","10050","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","1005005","2","10050","10"
"1","1.7","25","100000","0","0","-17","1.5","-40","0.03","1005005","1","10050","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","1005005","3","10050","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","1007701","2","10077","10"
"1","1.7","25","100000","10077101","0","-17","1.5","-40","0.03","1007701","1","10077","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","1007701","3","10077","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","1007702","2","10077","10"
"1","1.7","25","100000","10077201","0","-17","1.5","-40","0.03","1007702","1","10077","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","1007702","3","10077","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","1007703","2","10077","10"
"1","1.7","25","100000","10077301","0","-17","1.5","-40","0.03","1007703","1","10077","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","1007703","3","10077","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","1007704","2","10077","10"
"1","1.7","25","100000","10077401","0","-17","1.5","-40","0.03","1007704","1","10077","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","1007704","3","10077","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","1007705","2","10077","10"
"1","1.7","25","100000","0","0","-17","1.5","-40","0.03","1007705","1","10077","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","1007705","3","10077","10"
"1","0.84","-25","100000","10088101","0","-13","0.92","-50","0.03","1008801","1","10088","10"
"0","0.7","-25","100000","0","0","13","0.8","-50","0","1008801","2","10088","0"
"1","0.84","-25","100000","10088201","0","-13","0.92","-50","0.03","1008802","1","10088","10"
"0","0.7","-25","100000","0","0","13","0.8","-50","0","1008802","2","10088","0"
"1","0.84","-25","100000","10088301","0","-13","0.92","-50","0.03","1008803","1","10088","10"
"0","0.7","-25","100000","0","0","13","0.8","-50","0","1008803","2","10088","0"
"1","0.7","-30","100000","10088401","0","-17","0.92","-50","0.03","1008804","1","10088","10"
"0","0.6","-30","100000","0","0","30","0.8","-50","0","1008804","2","10088","0"
"1","0.7","-30","100000","0","0","-17","0.92","-50","0.03","1008805","1","10088","10"
"0","0.6","-30","100000","0","0","30","0.8","-50","0","1008805","2","10088","0"
"0","1.7","-30","100000","0","0","30","1.5","0","0","2002901","2","20029","10"
"1","1.7","25","100000","20029101","0","-17","1.5","-40","0.03","2002901","1","20029","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","2002901","3","20029","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","2002902","2","20029","10"
"1","1.7","25","100000","0","0","-17","1.5","-40","0.03","2002902","1","20029","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","2002902","3","20029","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","2002903","2","20029","10"
"1","1.7","25","100000","0","0","-17","1.5","-40","0.03","2002903","1","20029","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","2002903","3","20029","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","2002904","2","20029","10"
"1","1.7","25","100000","0","0","-17","1.5","-40","0.03","2002904","1","20029","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","2002904","3","20029","10"
"0","1.7","-30","100000","0","0","30","1.5","0","0","2002905","2","20029","10"
"1","1.7","25","100000","0","0","-17","1.5","-40","0.03","2002905","1","20029","0"
"0","1.7","-47","100000","0","0","-32","1.5","-23","0","2002905","3","20029","10"
