eca2d8e795a39e64cb502cf5e196f0a811abc8aae288f0f3876409ecd60a7c94,42bd94a3f4dae59de93d3713cb14f3e195f14d7fbfed22042375b517f3ccf4a0,f2dcfc469c1738814308d1a3bd8ce46b2ff12cf7079ed991900fa135b483fbf9,00df3a288d0d7e31a02c45fe644933456a987697f5edd8078859baad04ee3cf5,0cbe89560d8215c4c957eee4ccc7e5d694f01a3354794da6012e0926e5013290,56fe0ce881bf15a28fc4a7d63a7f3458c3133d13cd5e2795ac01a32e37f78d9f,75e7872d40779ddec76e0ae070c17a258c13f7ecbf0ce448fa4a8b6b141e8823,6fd2790184afe84d6be9443b74975b2de65c2260e6051485623a37d9285e5e2e,8feb3ffb333e47c0347495ff898948f98fbcf0d962dea06da2dcce86e8e2ff7a,90cec81f948ad38f73411f16d0b49ad667e74f9b71b56125e1f371fdf7cea602,c8e57bdc4e8af0018cad50fea2897f7a722396edde7995f0acb8f81455123d1d,d85c09a07597d267aaf3b6bcf942515b3de6180e9ccc195d9fcd8fa5c7546a53
"1","100580101","4","1005801","0","0.8","0","0","0","0","1","0"
"0","100580102","2","1005801","vo_ske","0","0","0","0","0","2","vo_ske_0101"
"0","100580103","1","1005801","0","0","0.705","1","0","94","3","0"
"1","100580104","4","1005801","0","1.549","0","0","0","0","4","0"
"0","100580105","1","1005801","0","0","1.807","1","94","362","5","0"
"1","100580106","4","1005801","0","3.027","0","0","0","0","6","0"
"0","100580107","1","1005801","0","0","1.141","2","0","263","7","0"
"1","100580108","4","1005801","0","1.9","0","0","0","0","8","0"
"0","100580109","1","1005801","0","0","1.78","2","263","400","9","0"
"1","100580110","4","1005801","0","4.544","0","0","0","0","10","0"
"0","100580111","2","1005801","vo_ske","0","0","0","0","0","11","vo_ske_0102"
"0","100580112","1","1005801","0","0","1.322","3","0","195","12","0"
"1","100580113","4","1005801","0","2.917","0","0","0","0","13","0"
"0","100580114","2","1005801","vo_ske","0","0","0","0","0","14","vo_ske_0103"
"0","100580115","1","1005801","0","0","1.932","4","0","228","15","0"
"1","100580116","4","1005801","0","2.582","0","0","0","0","16","0"
"0","100580117","1","1005801","0","0","0.996","4","228","367","17","0"
"1","100580118","4","1005801","0","3.856","0","0","0","0","18","0"
"0","100580119","2","1005801","vo_ske","0","0","0","0","0","19","vo_ske_0104"
"0","100580120","1","1005801","0","0","0.67","5","0","90","20","0"
"1","100580121","4","1005801","0","1.785","0","0","0","0","21","0"
"0","100580122","1","1005801","0","0","2.253","5","90","364","22","0"
"1","100580123","4","1005801","0","2.253","0","0","0","0","23","0"
"0","100580124","1","1005801","0","0","0.962","6","0","0","24","0"
"1","100580125","4","1005801","0","2.244","0","0","0","0","25","0"
"0","100580126","1","1005801","0","0","1.707","6","0","334","26","0"
"1","100580127","4","1005801","0","4.225","0","0","0","0","27","0"
"0","100580128","2","1005801","vo_ske","0","0","0","0","0","28","vo_ske_0105"
"0","100580129","1","1005801","0","0","1.256","7","0","227","29","0"
"1","100580130","4","1005801","0","3.119","0","0","0","0","30","0"
"0","100580131","2","1005801","vo_ske","0","0","0","0","0","31","vo_ske_0106"
"0","100580132","1","1005801","0","0","0.702","8","0","73","32","0"
"1","100580133","4","1005801","0","1.386","0","0","0","0","33","0"
"0","100580134","1","1005801","0","0","1.352","8","73","318","34","0"
"1","100580135","4","1005801","0","2.053","0","0","0","0","35","0"
"0","100580136","1","1005801","0","0","0.733","8","318","383","36","0"
"1","100580137","4","1005801","0","1.868","0","0","0","0","37","0"
"0","100580138","1","1005801","0","0","1.764","9","0","340","38","0"
"1","100580139","4","1005801","0","2.905","0","0","0","0","39","0"
"0","100580140","1","1005801","0","0","0.969","9","340","340","40","0"
"1","100580141","4","1005801","0","0.969","0","0","0","0","41","0"
"0","100580142","1","1005801","0","0","0.808","10","0","0","42","0"
"1","100580143","4","1005801","0","2.8","0","0","0","0","43","0"
"0","100580144","2","1005801","vo_ske","0","0","0","0","0","44","vo_ske_0107"
"0","100580145","1","1005801","0","0","0.25","10","0","52","45","0"
"1","100580146","4","1005801","0","0.25","0","0","0","0","46","0"
"0","100580147","1","1005801","0","0","1.817","10","52","328","47","0"
"1","100580148","4","1005801","0","3.312","0","0","0","0","48","0"
"0","100580149","1","1005801","0","0","0.666","10","328","389","49","0"
"1","100580150","4","1005801","0","1.17","0","0","0","0","50","0"
"0","100580151","1","1005801","0","0","1.616","11","0","0","51","0"
"1","100580152","4","1005801","0","4.15","0","0","0","0","52","0"
"0","100580153","2","1005801","vo_ske","0","0","0","0","0","53","vo_ske_0108"
"0","100580154","1","1005801","0","0","1.198","11","0","142","54","0"
"1","100580155","4","1005801","0","2.442","0","0","0","0","55","0"
"0","100580156","1","1005801","0","0","1.934","11","142","267","56","0"
"1","100580157","4","1005801","0","4.434","0","0","0","0","57","0"
"1","100580201","4","1005802","0","0.8","0","0","0","0","1","0"
"0","100580202","2","1005802","vo_ske","0","0","0","0","0","2","vo_ske_0201"
"0","100580203","1","1005802","0","0","1.122","1","0","202","3","0"
