b0a3e8005c533b3c209cfec90b0a033a1424004a0a688dc5759fedc923873a37,cc8ccad92944f9b8c73b61431ec45c1db8ea1333ec26cf5c060b419cb1d4cf54,210b89da7e555dee8948423a10c304bae5105619e0acddcafc84463f64964453,36ef08a027390d5e155906d3d0140bab417e48b72827e49317bf0da7b11efcb7,ec06cb49e0d44ad13a37783b647d6c7489b3c0319c62db15e88e3075dae29b69
"94002","3000000","1","100101","12"
"20004","300","2","100101","2"
"90008","1000","3","100102","2"
"25001","6","4","100103","2"
"94002","1000000","5","100104","12"
"20004","300","6","100104","2"
"90008","1000","7","100105","2"
"25001","6","8","100106","2"
"91002","40","9","100107","8"
"94002","1000000","10","100107","12"
"20004","300","11","100107","2"
"90008","1000","12","100108","2"
"41000","1","13","100109","2"
"25001","7","14","100109","2"
"94002","1000000","15","100110","12"
"20004","400","16","100110","2"
"90008","1500","17","100111","2"
"91002","40","18","100112","8"
"25001","7","19","100112","2"
"94002","1000000","20","100113","12"
"20004","400","21","100113","2"
"90008","1500","22","100114","2"
"41000","1","23","100115","2"
"25001","7","24","100115","2"
"94002","1000000","25","100116","12"
"20004","500","26","100116","2"
"91002","40","27","100117","8"
"90008","1500","28","100117","2"
"94002","2000000","29","100118","12"
"25001","8","30","100118","2"
"90008","2000","31","100118","2"
"94002","3000000","32","100201","12"
"20004","300","33","100201","2"
"90008","1000","34","100202","2"
"25001","12","35","100203","2"
"94002","1000000","36","100204","12"
"20004","300","37","100204","2"
"90008","1000","38","100205","2"
"25001","10","39","100206","2"
"91002","40","40","100207","8"
"94002","1000000","41","100207","12"
"20004","300","42","100207","2"
"90008","1000","43","100208","2"
"41000","1","44","100209","2"
"25001","10","45","100209","2"
"94002","1000000","46","100210","12"
"20004","400","47","100210","2"
"90008","1500","48","100211","2"
"91002","40","49","100212","8"
"25001","9","50","100212","2"
"94002","1000000","51","100213","12"
"20004","400","52","100213","2"
"90008","1500","53","100214","2"
"41000","1","54","100215","2"
"94002","1000000","55","100216","12"
"20004","500","56","100216","2"
"91002","40","57","100217","8"
"90008","1500","58","100217","2"
"94002","2000000","59","100218","12"
"90008","2000","60","100218","2"
"94002","3000000","61","100301","12"
"20004","300","62","100301","2"
"90008","1000","63","100302","2"
"25001","12","64","100303","2"
"94002","1000000","65","100304","12"
"20004","300","66","100304","2"
"90008","1000","67","100305","2"
"25001","10","68","100306","2"
"91002","40","69","100307","8"
"94002","1000000","70","100307","12"
"20004","300","71","100307","2"
"90008","1000","72","100308","2"
"41000","1","73","100309","2"
"25001","10","74","100309","2"
"94002","1000000","75","100310","12"
"20004","400","76","100310","2"
"90008","1500","77","100311","2"
"91002","40","78","100312","8"
"25001","9","79","100312","2"
"94002","1000000","80","100313","12"
"20004","400","81","100313","2"
"90008","1500","82","100314","2"
"41000","1","83","100315","2"
"94002","1000000","84","100316","12"
"20004","500","85","100316","2"
"91002","40","86","100317","8"
"90008","1500","87","100317","2"
"94002","2000000","88","100318","12"
"90008","2000","89","100318","2"
"94002","3000000","90","100401","12"
"20004","300","91","100401","2"
"90008","1000","92","100402","2"
"25001","12","93","100403","2"
"94002","1000000","94","100404","12"
"20004","300","95","100404","2"
"90008","1000","96","100405","2"
"25001","10","97","100406","2"
"91002","40","98","100407","8"
"94002","1000000","99","100407","12"
"20004","300","100","100407","2"
"90008","1000","101","100408","2"
"41000","1","102","100409","2"
"25001","10","103","100409","2"
"94002","1000000","104","100410","12"
"20004","400","105","100410","2"
"90008","1500","106","100411","2"
"91002","40","107","100412","8"
"25001","9","108","100412","2"
"94002","1000000","109","100413","12"
"20004","400","110","100413","2"
"90008","1500","111","100414","2"
"41000","1","112","100415","2"
"94002","1000000","113","100416","12"
"20004","500","114","100416","2"
"91002","40","115","100417","8"
"90008","1500","116","100417","2"
"94002","2000000","117","100418","12"
"90008","2000","118","100418","2"
"94002","3000000","119","100501","12"
"20004","300","120","100501","2"
"90008","1000","121","100502","2"
"25001","12","122","100503","2"
"94002","1000000","123","100504","12"
"20004","300","124","100504","2"
"90008","1000","125","100505","2"
"25001","10","126","100506","2"
"91002","40","127","100507","8"
"94002","1000000","128","100507","12"
"20004","300","129","100507","2"
"90008","1000","130","100508","2"
"41000","1","131","100509","2"
"25001","10","132","100509","2"
"94002","1000000","133","100510","12"
"20004","400","134","100510","2"
"90008","1500","135","100511","2"
"91002","40","136","100512","8"
"25001","9","137","100512","2"
"94002","1000000","138","100513","12"
"20004","400","139","100513","2"
"90008","1500","140","100514","2"
"41000","1","141","100515","2"
"94002","1000000","142","100516","12"
"20004","500","143","100516","2"
"91002","40","144","100517","8"
"90008","1500","145","100517","2"
"94002","2000000","146","100518","12"
"90008","2000","147","100518","2"
"94002","3000000","148","100601","12"
"20004","300","149","100601","2"
"90008","1000","150","100602","2"
"25001","12","151","100603","2"
"94002","1000000","152","100604","12"
"20004","300","153","100604","2"
"90008","1000","154","100605","2"
"25001","10","155","100606","2"
"91002","40","156","100607","8"
"94002","1000000","157","100607","12"
"20004","300","158","100607","2"
"90008","1000","159","100608","2"
"41000","1","160","100609","2"
"25001","10","161","100609","2"
"94002","1000000","162","100610","12"
"20004","400","163","100610","2"
"90008","1500","164","100611","2"
"91002","40","165","100612","8"
"25001","9","166","100612","2"
"94002","1000000","167","100613","12"
"20004","400","168","100613","2"
"90008","1500","169","100614","2"
"41000","1","170","100615","2"
"94002","1000000","171","100616","12"
"20004","500","172","100616","2"
"91002","40","173","100617","8"
"90008","1500","174","100617","2"
"94002","2000000","175","100618","12"
"90008","2000","176","100618","2"
"94002","3000000","177","100701","12"
"20004","300","178","100701","2"
"90008","1000","179","100702","2"
"25001","12","180","100703","2"
"94002","1000000","181","100704","12"
"20004","300","182","100704","2"
"90008","1000","183","100705","2"
"25001","10","184","100706","2"
"91002","40","185","100707","8"
"94002","1000000","186","100707","12"
"20004","300","187","100707","2"
"90008","1000","188","100708","2"
"41000","1","189","100709","2"
"25001","10","190","100709","2"
"94002","1000000","191","100710","12"
"20004","400","192","100710","2"
"90008","1500","193","100711","2"
"91002","40","194","100712","8"
"25001","9","195","100712","2"
"94002","1000000","196","100713","12"
"20004","400","197","100713","2"
"90008","1500","198","100714","2"
"41000","1","199","100715","2"
"94002","1000000","200","100716","12"
"20004","500","201","100716","2"
"91002","40","202","100717","8"
"90008","1500","203","100717","2"
"94002","2000000","204","100718","12"
"90008","2000","205","100718","2"
"94002","3000000","206","100801","12"
"20004","300","207","100801","2"
"90008","1000","208","100802","2"
"25001","12","209","100803","2"
"94002","1000000","210","100804","12"
"20004","300","211","100804","2"
"90008","1000","212","100805","2"
"25001","10","213","100806","2"
"91002","40","214","100807","8"
"94002","1000000","215","100807","12"
"20004","300","216","100807","2"
"90008","1000","217","100808","2"
"41000","1","218","100809","2"
"25001","10","219","100809","2"
"94002","1000000","220","100810","12"
