9a3c36195902d5def95e9a7fb6553d1755aa10c702051d8fba3ef45473daf88b,49342a31f426027ee8e6a8d0f73024ca85cf1a3eb9eff1496ebf8ec0393b9d44,bdb55769b6a5e8913104195669ce2012ad7d0d87abf713c77a0eed70d4866cf3,7d913f1870dceccd1e109ba6fa347e093d6b25c3cc5cd63b3eac2bdd386211cb,be399a7d792d4c6cb78cae6c1b0e89a0f829d298399e256e53797d28e93530cb,590f5e42f1bd4f87ad4294a023aebe618deffd47e29c9a22e0ee4934256e1632,24dbbd37d6bf8f9dbc5ec23f79be1a1d316ff5808bb4ee4de989cfa72a18bbf3,2266ef61e3002ad728ad3304ae2a324a7b39134da35bd15df3e0d604be162e77,6dc6d75168237ad8e1d3fb2860adba4d222dd283a52bced84e4d1c5933b18a01,01fe468c1318e1fae6f7dfb2c1da651b86b8345e344efb3ba39716075f714051,26a5c27e899ef642fd0a48bd671b1418cba5f91ac5539102b6f1896e56e62501
"1","-103","1.4","1001","idle_normal","1","1","5","100","1","-216"
"1","1","0","1002","","13","13","31","-57","","-140"
"1","1","0","1003","","14","14","31","-57","","-140"
"1","","","1004","","0","0","91","","",""
"1","1","0.2","1005","","top_luis_arm_crossed_in","1","3","0","0","top_luis_arm_crossed_idle"
"1","","","1006","","0","4","93","","",""
"1","1","0.2","1007","","top_luis_approach_in","1","3","0","0","top_luis_approach_idle"
"1","","","1008","","0","3.5","93","","",""
"1","","0.2","1009","","top_luis_thinking","1","3","1","",""
"1","","","1010","","0","3.5","93","","",""
"1","","0.2","1011","","top_luis_walk_think","1","3","1","",""
"1","0","","1012","","-495","1","2","-103","","2"
"1","","","1013","","0","2","93","","",""
"1","","","1014","","0","1","4","","",""
"1","0","","1015","","-216","1","2","-103","","2"
"1","","","1016","","0","2","93","","",""
"1","","0","1017","","top_luis_notice","1","3","1","",""
"1","","","1018","","0","1","93","","",""
"1","","0.2","1019","","top_luis_walk_jog","1","3","1","",""
"1","0","","1020","","-100","1","2","-130","","0.5"
"1","","","1021","","0","0.5","93","","",""
"1","","","1022","","1","1","4","","",""
"1","1","0.2","1023","","top_luis_sit_in","1","3","0","0","top_luis_sit_idle"
"1","","","1024","","0","0.1","93","","",""
"1","0","","1025","","-57","1","2","-140","","0.4"
"1","","","1026","","0","1","93","","",""
"1","","0.2","1027","","top_luis_experiment_failer_in","1","3","0","",""
"1","","","1028","","0","2.3","93","","",""
