784096bd99b29dd408b89842c782c72f3457124ccdd69758f74a5a05388d156f,5f51793a39b7e318f701b200249a3640f00a544e96c3a10a9d7e60bea6ae3d22,453e78e183380f5068770231b1423840dd4920122aa9bb76da34107a9d60633a,7e0ed6c8ccb1be7732a44ba7165f205aaee7c6ba65d0eac95aa0761807f87ad0,775f8f1945e929b35fc12e78c507c19a2d4d580b26254acf6ec68889bda3438a
"1","10201","2","3","1"
"2","10202","2","3","2"
"3","10203","2","3","3"
"4","10301","2","10","4"
"5","10302","2","10","5"
"6","10303","2","10","6"
"7","10304","2","10","7"
"8","10401","2","20","8"
"9","10402","2","20","9"
"10","10403","2","20","10"
"11","10404","2","20","11"
"12","10405","2","20","12"
"13","10406","2","20","13"
"14","10407","2","20","14"
"15","10408","2","20","15"
"16","10409","2","20","16"
"1","10701","1","3","17"
"2","10601","1","3","18"
"3","10602","1","3","19"
"4","10603","1","3","20"
"5","10604","1","3","21"
"6","11301","1","10","22"
"7","11302","1","10","23"
"8","11303","1","10","24"
"9","11401","1","20","25"
"10","11402","1","20","26"
"11","11403","1","20","27"
"12","11601","1","20","28"
"13","11602","1","20","29"
"14","11603","1","20","30"
"15","11604","1","20","31"
"16","11605","1","20","32"
"17","11606","1","20","33"
"18","11101","1","20","34"
"19","11102","1","20","35"
"20","11103","1","20","36"
"21","11701","1","20","37"
"22","11702","1","20","38"
"23","11703","1","20","39"
"1","10501","3","3","40"
"2","10502","3","3","41"
"3","10503","3","3","42"
"4","11201","3","10","43"
"5","10801","3","10","44"
"6","10802","3","10","45"
"7","10803","3","10","46"
"8","10804","3","10","47"
"9","10901","3","20","48"
"10","10902","3","20","49"
"11","10903","3","20","50"
"12","10904","3","20","51"
"13","11001","3","20","52"
"14","11002","3","20","53"
"15","11003","3","20","54"
"16","11501","3","20","55"
"17","11502","3","20","56"
"18","11503","3","20","57"
"19","11504","3","20","58"
"20","11505","3","20","59"
"21","11506","3","20","60"
