4a0d21b5c5e64a60f3cd5e6fed66a9b376592e18171e22c8213fe1dc51b77983,fc93f6f95aecba8c6523a85006d3721180afd4f7a7aae9c3b260456294d7590c,91281bb3ec3d53b34ae6fcb395c3c83db38cb9ec0d8eb69a1a8d83a90a826f6a,232b3d3eb42f5025635b4920163a725904bb509e0c854db07f8d4f4ddcef1701,2a9d0b1738acb51547913810ef9bb051752081b44021f09a3b4d6089726f1395,2c2b5faef5a60abf00ececb944c13fbfa937e6cf0049c23dbfd746f1d16ad303,42c7a4718a06dc23bc0fa440ea88d60ded0af8d12ce7ede145e6d63ce4221c71,3b35a4172487c17fa6d76195de092947f754d56df9f1c552de67d73a21befb44,8e424639a04c6632306b5aebf314820f63d3ddd156ba8de347bafb6c2308e4e1,6060e92dbe1edeb50b6064b82c99957c46637c777f890a511e0d64b2681f2586,1567b9f3c93b82d784f8dd782003ae5e714925d897aff0c094e0fb86b8b11b9f,9b04162cfb45133c47ac4bc91bc5d8e517f6cfca54449e677e20758397b754c3,e5c70fcb1e1743f04bb87a96c3febbf047dc2da87c5c0d5465f4d92b42f87f4c,1cc27bf3d16fc23d726c1b127b80ec7861b7ad0fa529dbd331c6bb64089a206f,173d63c5f810460278971c59b662fb065b8cfb8ac5122e10e36ab308a9a70d5e
"1","喔！\n發現那裡有正在傷腦筋的人！","1","0","春咲 日和","1","0","2","騎士先生\n我們過去幫忙吧～","1.4","0","1001","我是日向♪\n今天也要精神十足的加油喔♪","0","0"
"1","希望可以\n守護重要的人…","1","0","草野 優衣","1","0","2","哎呀，我、\n我在說些什麼呢\n啊哈哈…","1.4","0","1002","跟大家一樣\n我也必須變強一點","0","0"
"1","你所需要的注意力與感受","1","0","士條 怜","1","0","2","都可以藉稍微受到磨練喔。","1.4","0","1003","要不要試試看擊劍呢？","0","0"
"1","今天要玩些什麼呢？","1","0","穗高 禊","1","0","2","禊我啊，\n想要玩躲貓貓！","1.5","0","1004","那個，哥哥！","0","0"
"1","那個…","1","0","風宮 茜里","1","0","2","你要跟我…\n一起去嗎？","1.4","0","1006","我是風宮 茜里","0","0"
"1","我想吃布丁ー","1","0","出雲 宮子","1","0","2","我對於食物的怨念可是很恐怖的ー","1.5","0","1007","我是出雲 宮子ー","0","0"
"1","你也是因為我的美貌\n而吸引過來的吧。","1","0","虹村 雪","1","0","2","沒關係。\n被人看，也是我的命運…","1.4","0","1008","我是虹村雪。","0","0"
"1","我真正的名字是\n安妮羅潔·馮·修特帕魯！","1","0","柊 杏奈","1","0","2","人稱「疾風之冥姬」!!","1.4","0","1009","哼…你聽到了可不要後悔！","0","0"
"1","兔子先生，\n你讓我遇到命運中的王子","1","0","姫宮 真步","1","0","2","真的謝謝你了～♪","1.5","0","1010","我是真步真步王國的公主，\n真步公主","0","0"
"1","為了找尋我那離別的哥哥，\n經歷了許多世界！","1","0","衣之咲 璃乃","1","0","2","被我遇到了\n算你命大～！","1.4","0","1011","我是衣之咲璃乃！","0","0"
"1","什、什麼超能力…\n那是什麼東西呢～？","1","0","柏崎 初音","1","0","2","…拜託！\n不要跟任何人說啊～！","1.4","0","1012","我是初音，\n我還蠻強的喔。\nYeah☆","0","0"
"1","勉強算是女子高中生模特兒的時尚教主！","1","0","美波 鈴奈","1","0","2","秀才真的是\nGF（Ｇood feeling）～♪","1.4","0","1016","你好！\n我是美波鈴奈呦～♪","0","0"
"1","東京就像個遊樂園的地方啊ー","1","0","喜屋武 香織","1","0","2","可是，沖繩也是個好地方喔ー","1.4","0","1017","你好啊。\n我是喜屋武香織ー。","0","0"
"1","還是不太習慣\n被稱作為老師","1","0","支倉 伊緒","1","0","2","所以就叫我伊緒吧。","1.4","0","1018","我是支倉伊緒。","0","0"
"1","啊！哥哥～\n等一下啊～","1","0","茜 美美","1","0","2","不要放美美一個人啊～","1.5","0","1020","什麼…？\n美美，\n不懂太複雜的事情…","0","0"
"1","那個……\n咦……","1","0","栗林 胡桃","1","0","2","哇啊啊啊啊啊……","1.5","0","1021","啊…那個…我是…\n栗…林… 胡桃…","0","0"
"1","為了我，\n浪費那麼寶貴的時間，","1","0","風宮 依里","1","0","2","總之先謝謝你！","1.4","0","1022","我是風宮依里。\n啊啊啊啊啊！","0","0"
"1","哥哥要去哪裡呢？\n什麼？","1","0","北條 綾音","1","0","2","我想要去這裡ー\n快一點、快一點ー","1.5","0","1023","我是綾音！\n我跟噗吉一起跟著你吧！","0","0"
"1","雖然我還不夠成熟，\n接下來還請您多多…，","1","0","天野 鈴莓","1","0","2","不對，好像怪怪的…\n啊啊啊，對不起！","1.4","0","1025","哇…哇…，\n我叫做天野鈴莓！","0","0"
"1","你是我…命中注定的……\n另一半……","1","0","倉石 惠理子","1","0","2","我絕對不會………\n鬆開手的…!!","1.4","0","1027","……呵呵…我是\n…倉石惠理子……","0","0"
"1","如果能節省那些事情的話，\n應該可以過得更悠閒一點！","1","0","佐佐木 咲戀","1","0","2","…你不覺得嗎？？","1.4","0","1028","我是佐佐木咲戀。\n你不覺得在這個世界上，\n無謂的事情太多了嗎？","0","0"
"1","那個…\n你不認識我嗎?!","1","0","櫻井 望","1","0","2","哈哈哈，\n看來我還得努力呢～","1.4","0","1029","我是櫻井望！\n請多指教","0","0"
"1","初次見面，\n我叫做妮諾‧珠貝爾！","1","0","妮諾‧珠貝爾","1","0","2","將軍，\n跟著我一起統一天下吧！","1.4","0","1030","鏘鏘！","0","0"
"1","然後在我隔壁的，是……\n什麼，看不到嗎？","1","0","上喜 忍","1","0","2","真是奇怪呢……","1.4","0","1031","我是上喜忍。\n手上拿的骷髏，是我的父親。","0","0"
