c518d63fc74ae42f2fe2092800a36a4b49d03ae6e4b2b81fa0208e3e9c119b26,5b3211fabb0a6dfd4a812277f3abe79d7472aa95bdffe92fc30ca432c277f470,609b5eb5c1f90f91a9060119dcabd0f6470d3cbae51ec2ddbd85bf6282d92c53,32d9bf24e2e89a6466d926afd04750027754a63d75241b117bc0578fbfe5235e,ef430d737b187193223447c8a64901ba8e7480f3198d22519b14a3553f69401b,c9db0d2330fc892cfa5fb3d93f90b3957b80edc568e9168deae91294811075af
"118001","1013206","2024/04/01 16:00:00","3001","1","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。"
"118001","1013206","2024/04/01 16:00:00","3002","2","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。"
"118001","1013206","2024/04/01 16:00:00","3010","3","戰鬥開始90秒內，大幅度提升TP上升。"
"105801","1013206","2024/04/01 16:00:00","3001","4","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。"
"105801","1013206","2024/04/01 16:00:00","3004","5","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。"
"105801","1013206","2024/04/01 16:00:00","3005","6","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）"
"107501","1013206","2024/04/01 16:00:00","3001","7","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。"
"107501","1013206","2024/04/01 16:00:00","3002","8","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。"
"107501","1013206","2024/04/01 16:00:00","3010","9","戰鬥開始90秒內，大幅度提升TP上升。"
"111801","1013206","2024/04/01 16:00:00","3001","10","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。"
"111801","1013206","2024/04/01 16:00:00","3004","11","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。"
"121001","1013206","2024/04/01 16:00:00","3001","13","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。"
"121001","1013206","2024/04/01 16:00:00","3004","14","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。"
"180401","1013206","2024/04/01 16:00:00","3001","16","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。"
"180401","1013206","2024/04/01 16:00:00","3004","17","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。"
"180401","1013206","2024/04/01 16:00:00","3005","18","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）"
"127901","1013206","2024/04/01 16:00:00","3003","19","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。"
"127901","1013206","2024/04/01 16:00:00","3004","20","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。"
