a46b4a08b0f2b5aceecf64e5a9215a65fa0df268f1d09e842728b94f78c3fe90,00e1a36fc8dc5cfeba259f50d7a383a0d6fc8f3d6932b1046909fe53e8d6f33d,934ff4110bd0df472a9634e399eaab6cacd0fb0995e4e2779259097cb19a1b34,e61a9667d84a42c79f9c2c75c3a624795675499c56f7733dbce0e959e15e2008,195177324f50dc8852b90e194356bb21d5963529e854c11a820a4b4b10e3e34c,96badbc0f7bd7c57f171b796586e428ab319700a117167e7f8bfe2ba5250658f,b38a34c1f8dad75b0c66ab3880916869b5c5e7df420e2c7fa3e40a0f0d44824c,e6b3881b7d9120ac57b48fe5a01aca330640281228b9f2b34eb40eb9bd927c89,abcf6afb562d4bc190c003dc4fdaab097015b2c474010cc15b0775364c60f00a,7ecc50c71940c6ebbafed6f2ca1109c73241c8cc8d63fa45fb6e7da9b5a89fae,fbc7b9415b029fa39f13084d8f1e770e1c6a7a2bd0ba179b1d1dbc2b87f3161a,b92f374ab20e99d5739227990bfa0b274a81bcdf3dae05854326762489d84619,fa5ddec6161aa82eb905a815defd5a6d9e88a0ad4caa99c040fbdbcb8ce441a0,c92c332ecd09ce3ab36d4d5cccb7ee23b68377233e7d3ecb59e32b575d6043f8,1b6f2d63cf34f340b9f8690b407753b7fd243655bb91c551f707d4c0ac359444,d252b8dfb62be2d76810eedf1180cce97d7d9c8f10258c9331df04f59eb71435,eeb17fc10f1384e3ab25d6b0869c92642e2bef3b1a90aa36584206f9e634505d,2f9d47c3bc72ab4a47a6baa4ad3d65ad66a43e8e51d84d27c31dd6baff990a76,2c32965b3dbe819c3ce080cc62aefbfa5161ffe8e9bd4e61a48041b4e4cec441,1bac725dff116b01214ec51f07feee7ff77fe3304f741365b65ff131104655e8,989ac9c704b030fea0a9ed7256dd8f8209a8ee7e1bf50eeeaf1e4b593197c891,2905dba9c8114ef758941cb74b8d969de8e561c9c706d1fa5ddd541ca8a5de1f,d5dcede0f3b480838f31b31d8bf34fc00e63fe093a26cf2acce480b0342dbe7b,18eb6feec00b228cb8aa0e38561eaa096786a04168de88e4d802012f36bfad3b,3522520060639509f5286fda710585412f79b4a7f3ef30c994a04d67949fa972,97d8d22219db0ecc44e510e04e76bd3885a98af6c36994930e695e5bf669c508,6a3f7ce3ca75a959970afa49ced9f986d06b950f14a5b36cf94fb796acba0e46,6e8da6454d5ff2439fef1f97394ed3e10873c7f017266c6589a7f6e35879336c,e4fd2215bfc3d9af2cc1749d2f3d27edbcada0e320b6040d16005b9fc6de7879,73b452b31c7b4ea4af1dce4f8100f4685b3e223d28368b02d24d6bb78160aebc,8b1355c815d745b9031d7c41a4d8a717ad53336ae79c7ad6e0cac915f2ff5f00,49b9d0763870bef838dab31041e1419e4ae890b42a5e2e8c52334a8fd45f3db6,4a439bcafa668d8c2e1ad3c6388bbc2d6d5ae4c2b275a2d0299d428bc39b65ea,f6c9f61b4be213c28e4d87fd73d1ee42ea2088d8a5f35ccdf0ec411f327729af,092fb2eecb41edfa9db2335a1781299024db3d90d550fa6820dd26c0cdd825bc,f8a4048561af44bd3567ef6378a71080698b13819f0cc3eb799260e15a18771e,9c2972a55f5e30d55f13f08a19691a76abd91c9aab8ca67f3de397686af16eb7,935373651a14d637a4d6e24e9981cc137d695be75d47009e5f37cbaea3fbb64f,f20338bc03a7d5c570c58b70616d24c4267473a39761814988c18b34a77f77dc,33ee519c49979dca7c0e6d0d6e2de6d5b6b802a03311cfa4a6171dbe9468dc71,e6fd139d6fe2b8875d2d5e3c541b7504f01ce812e0eb08872a53b73f14638824,0ee1671c97d469314b0d0412e0502edd26003b575dea3ee5a7fa668b9c749019,6b66a49fb36d63d671585b46ecf2ba742e958614a1f64ec7580cc4cc769f5039,ad4f381048857d970b2d553491555cf97e0a1314597418a91da81d3c52935ef2
"1","0","1","1","1","10010103","0","1001105","1001","1.1","401010051","0","10010104","1","0","1","1.1","0.03","0","1","10010102","10010101","710011","401010031","401010011","0","0","1001101","100000","0","0","401010021","1","1","10010105","1001102","401010041","1001103","1.2","0","0","0","1001104","0"
"1","0","1","-1","2","10010103","0","1001110","1001","1.7","401010051","0","10010104","2","0","1.2","1.5","0.06","0","2","10010102","10010101","710011","401010031","401010011","0","0","1001106","100000","0","0","401010021","1","1.2","10010105","1001107","401010041","1001108","2","0","0","0","1001109","0"
"1","0","1","1","3","10020103","0","1002105","1002","1.1","401020051","0","10020104","1","0","1","1.1","0.03","0","1","10020102","10020101","710021","401020031","401020011","0","0","1002101","100000","0","0","401020021","1","1","10020105","1002102","401020041","1002103","1.2","0","0","0","1002104","0"
"1","0","1","-1","4","10020103","0","1002110","1002","1.7","401020101","0","10020104","2","0","1.2","1.5","0.06","0","2","10020102","10020101","710021","401020081","401020061","0","0","1002106","100000","0","0","401020071","1","1.2","10020105","1002107","401020091","1002108","2","0","0","0","1002109","0"
"1","0","1","1","5","10030103","0","1003105","1003","1.1","401030051","0","10030104","1","0","1","1.1","0.03","0","1","10030102","10030101","710031","401030031","401030011","0","0","1003101","100000","0","0","401030021","1","1","10030105","1003102","401030041","1003103","1.2","0","0","0","1003104","0"
"1","0","1","-1","6","10030103","0","1003110","1003","1.7","401030101","0","10030104","2","0","1.2","1.5","0.06","0","2","10030102","10030101","710031","401030081","401030061","0","0","1003106","100000","0","0","401030071","1","1.2","10030105","1003107","401030091","1003108","2","0","0","0","1003109","0"
"1","0","1","1","7","10040103","0","1004105","1004","1.1","401040051","0","10040104","1","0","1","1.1","0.03","0","1","10040102","10040101","710041","401040031","401040011","0","0","1004101","100000","0","0","401040021","1","1","10040105","1004102","401040041","1004103","1.2","0","0","0","1004104","0"
"1","0","1","-1","8","10040103","0","1004110","1004","1.7","401040101","0","10040104","2","0","1.2","1.5","0.06","0","2","10040102","10040101","710041","401040081","401040061","0","0","1004106","100000","0","0","401040071","1","1.2","10040105","1004107","401040091","1004108","2","0","0","0","1004109","0"
"1","0","1","1","9","10050103","0","1004105","1005","1.1","401040151","0","10050104","1","0","1","1.1","0.03","0","1","10050102","10050101","710051","401040131","401040111","0","0","1004101","100000","0","0","401040121","1","1","10050105","1004102","401040141","1004103","1.2","0","0","0","1004104","0"
"1","0","1","-1","10","10050103","0","1004110","1005","1.7","401040201","0","10050104","2","0","1.2","1.5","0.06","0","2","10050102","10050101","710051","401040181","401040161","0","0","1004106","100000","0","0","401040171","1","1.2","10050105","1004107","401040191","1004108","2","0","0","0","1004109","0"
"1","0","1","1","11","10060103","0","1004105","1006","1.3","401040251","0","10060104","1","0","1","1.3","0.03","0","1","10060102","10060101","710061","401040231","401040211","0","0","1004101","100000","0","0","401040221","1","1","10060105","1004102","401040241","1004103","1.5","0","0","0","1004104","0"
"1","0","1","-1","12","10060103","0","1004110","1006","1.8","401040301","0","10060104","2","0","1.3","1.8","0.06","0","2","10060102","10060101","710061","401040281","401040261","0","0","1004106","100000","0","0","401040271","1","1.3","10060105","1004107","401040291","1004108","2","0","0","0","1004109","0"
"1","0","1","1","13","10070103","0","1004105","1007","1.3","401040351","0","10070104","1","0","1","1.3","0.03","0","1","10070102","10070101","710071","401040331","401040311","0","0","1004101","100000","0","0","401040321","1","1","10070105","1004102","401040341","1004103","1.5","0","0","0","1004104","0"
"1","0","1","-1","14","10070103","0","1004110","1007","1.8","401040401","0","10070104","2","0","1.3","1.8","0.06","0","2","10070102","10070101","710071","401040381","401040361","0","0","1004106","100000","0","0","401040371","1","1.3","10070105","1004107","401040391","1004108","2","0","0","0","1004109","0"
"1","0","1","1","15","10080103","0","1004105","1008","1.3","401040451","0","10080104","1","0","1","1.3","0.03","0","1","10080102","10080101","710081","401040431","401040411","0","0","1004101","100000","0","0","401040421","1","1","10080105","1004102","401040441","1004103","1.5","0","0","0","1004104","0"
"1","0","1","-1","16","10080103","0","1004110","1008","1.8","401040501","0","10080104","2","0","1.3","1.8","0.06","0","2","10080102","10080101","710081","401040481","401040461","0","0","1004106","100000","0","0","401040471","1","1.3","10080105","1004107","401040491","1004108","2","0","0","0","1004109","0"
