c4e703a2149c15a2b9c39368c79255d0d6fd800633c62de95011401c420b5f98,e258e7c437604a286176964679f4eda3b373b1cd1f15fbeaf4f7c1dc4c422816,7b6691ce1d3655969d3b5254533b43ae8c2c7e6959cd9f709c4e3a51940ed151,1df26c44fecb596cfba4dcaa7d4feb259b0eb0fe1113dd560cf03c54cccac756,94a170e78dfcf41f2805f85f8c6f59371d49ecf0a0cfd1b493a92a2fa3815a3a,8740d864cd65419008fd4917f3ed7e194848786ec34dbea5a60b1dc0e21879f7,ea0056defb1e108450f505c947616a30589a016f0bf1a5a0a855a10b67ff4750,33ec6089d546538cddaf6b03d403fc64846589006c921c4cd6b09cf102427ca7,bd0abcd070cb91d241827b198e38972c7ceedb9ea599ce765e0d101d41df7758,43efa983a194b493de3c922c60ba61d79479f2340ca3a7123e2d98c9e6b3ac9d,231d7d28126bc7947c723ca33cb645fe24073c5f6111df4c20aa9b8201dd0664,809adb5af2721a7802ca6a175635a925d84ceba75fc44d1b174af4b680d4c0f8,9cef0ccb3e8a8587512152a4516a960b9208853cc50ea26696cec9685b48beb8,7026573fec1900f9c67427cda6b18badc7ca26a7f9906943632a4cf3b6d09fd0,69bac58802444b4ca8317eb42b7c35224fda7b4edd4ee52b59d32b99aa113f27,ea3dcc526241954a3e3191cd4f4194f236667b5b7b5f979fe8577065cbfb1d51,2feb4d234dbad5755789cbab3810b11eee6e42706638fabdaf797cc4a88214b4,3cb452088b545286e5579ece4462ccb6f91f2e4586907a3d72af6eb640abc369,5e2783d6d009f843ba931d158afb2fc17cf594808da9f1c8b02ef5bb671d690e
"65","0","0","0","1","100101","0","10","0","0","75","16","0","0","0","2","0","1","0"
"185","0","0","0","2","100101","0","30","0","0","125","68","0","0","0","3","0","3","0"
"420","0","0","3","4","100101","0","60","0","0","260","158","0","0","0","4","0","7","0"
"810","0","0","7","7","100101","0","100","0","0","420","293","0","0","0","5","0","12","0"
"1340","0","0","11","11","100101","0","130","0","3","630","486","0","0","0","6","0","17","0"
"1660","0","0","17","15","100101","0","155","0","6","1235","731","0","0","0","7","0","26","0"
"2290","0","9","24","15","100101","0","180","0","9","1795","1030","10","0","0","8","0","35","0"
"2540","0","23","27","16","100101","0","205","0","9","1795","1459","40","0","0","9","0","46","5"
"2740","0","37","35","16","100101","0","205","0","9","1795","1941","100","0","10","10","0","51","10"
"3100","0","37","44","16","100101","0","205","0","9","1795","2439","158","0","20","11","3","55","15"
"3470","0","37","46","18","100101","0","205","0","9","2045","2871","198","0","20","12","36","66","15"
"3720","0","37","54","18","100101","0","230","0","9","2045","3345","251","0","20","13","56","79","15"
"3880","0","37","68","20","100101","0","255","0","9","2045","3840","328","0","20","14","56","97","15"
"3880","0","37","82","20","100101","0","255","0","9","2045","4412","448","0","20","15","56","111","15"
"3880","0","37","94","20","100101","0","255","0","9","2045","5015","586","0","20","16","59","124","15"
"3930","0","37","103","20","100101","0","255","0","9","2045","5656","711","0","20","17","62","142","15"
"3980","0","37","119","20","100101","0","255","0","9","2045","6351","856","0","20","18","62","157","15"
"4075","0","37","135","20","100101","0","255","0","9","2045","7154","984","0","20","19","62","173","15"
