50d1d31cbd3a293a727daad78bf71c6d6bb9773ebec34d5488fa0d2ef473f966,f07ae5f50daaaa28be20e1fda061ec95c25f34beb2bd3e217159e2e05a91b4ba,7f7f08d63d36625df3d2fa828ba16b224d9f5532ca0fbab3fc5a6fc84a8dd79a,73ff9661cfc79f73e7e70b5df038bd52ddc0283bd962a0704fbe481edae32733,12f07693894c890321047dd6d85162428df693a1b86855d3c1557748cee2b650,158c9f3d37554ac869d68a722f7cb1be57378000398c1e09144613181ded9923,c02d589bc38e67a9f195287f33cfc8f42cc3e490c3fb856807ce9898ae18457e
"10064","20036104","0","1006401","開幕式","0","4"
"10064","20036104","0","1006402","開幕式","0","3"
"10064","20036104","0","1006403","賽跑","1006402","1"
"10064","20036104","0","1006404","賽跑","1006402","4"
"10064","20036104","0","1006405","賽跑","1006402","2"
"10064","20036104","0","1006406","騎馬戰","1006405","2"
"10064","20036104","0","1006407","騎馬戰","1006405","4"
"10064","20036106","0","1006408","午休時間","1006406","3"
"10064","20036106","0","1006409","午休時間","1006406","4"
"10064","20036106","0","1006410","各種學術文化展覽","1006408","3"
"10064","20036106","0","1006411","各種學術文化展覽","1006408","4"
"10064","20036106","0","1006412","各種學術文化展覽","1006408","1"
"10064","20036108","0","1006413","女僕咖啡廳","1006410","4"
"10064","20036108","0","1006414","女僕咖啡廳","1006410","3"
"10064","20036113","0","1006415","綜合接力賽","1006414","3"
"10064","20036113","0","1006416","綜合接力賽","1006414","4"
"10064","0","2003601","1006417","頒獎典禮","1006415","1"
"10064","0","2003601","1006418","頒獎典禮","1006415","4"
"10064","0","2003601","1006419","頒獎典禮","1006415","2"
"10064","0","2003601","1006420","閉幕式","1006419","3"
"10064","0","2003601","1006421","閉幕式","1006419","4"
"10064","0","2003601","1006422","達成動畫","1006420","4"
