c12adba6002bc093b22b19fd5e0e1a88b73a44052cf562bcd019f93d9f183c46,8627b74c98762f3a07b27f0cad1885eea0f64b357673db555f10d0d290a83ecc,5c2f7fafa21741b5f752c9f9d7bb049cd93434e4f3e43e1483d7e92feddaa9bb,908b1de0577e0a40304c4b4b62c010f11c1890d38682f39eaa3b3c8f508efa19,8aa599124deada391505016ee15b5fdec0f22a785c4c96f7d688af3dc5c78b7e,3bd96e4b9ef431c8aa3e02ee92dcdc5f82e42c0f9fcf90fe6ede6e7c3a62a24b,59507b0fd48f133186cc2bc70f6680b69da6af54e20e7c98facc76b6da7c8024,a90a3d15340feb57b696d93f62cdc6dd22e8acb2b9a94b3054c5df8692d497ac
"5001000","0","","5001","bgm_M32","1","1","1000101"
"5002000","0","","5002","bgm_M98","1","1","1000201"
"5003000","0","","5003","bgm_M106","1","1","1000301"
"5004000","0","","5004","bgm_M112","1","1","1000401"
"5005000","0","","5005","bgm_M121","1","1","1000501"
"5006000","0","","5006","bgm_M128","1","1","1000601"
"5007000","0","","5007","bgm_M135","1","1","1000701"
"5008000","0","","5008","bgm_M162","1","1","1000801"
"5009000","0","","5009","bgm_M171","1","1","1000901"
"5010000","0","","5010","bgm_M182_02","1","1","1001001"
"5011000","0","","5011","bgm_M189","1","1","1001101"
"5012000","0","","5012","bgm_M206","1","1","1001201"
"5013000","0","","5013","bgm_M215","1","1","1001301"
"5015000","0","","5015","bgm_M223","1","1","1001501"
"5017000","0","","5017","","1","1","1001701"
"5019000","0","","5019","bgm_M237","1","1","1001901"
"5021000","0","","5021","bgm_M245_02","1","1","1002101"
"5023000","0","","5023","bgm_M254","1","1","1002301"
"5025000","0","","5025","bgm_M265_Top","1","1","1002501"
"5027000","0","","5027","bgm_M273","1","1","1002701"
"5029000","0","","5029","bgm_M281","1","1","1002901"
"5031000","0","","5031","bgm_M294","1","1","1003101"
"5033000","0","","5033","bgm_M316","1","1","1003301"
"5036001","0","","5036","bgm_M341","1","1","1003601"
"5038000","0","","5038","bgm_M343","1","1","1003801"
"5040000","0","","5040","bgm_M351","1","1","1004001"
"5042000","0","","5042","bgm_M375","1","1","1004201"
"5044000","0","","5044","bgm_M380A","1","1","1004401"
"5046000","0","","5046","bgm_M393","1","1","1004601"
"5048000","0","","5048","bgm_M403","1","1","1004801"
"5050000","0","","5050","bgm_M413","1","1","1005001"
"5052000","0","","5052","bgm_M421","1","1","1005201"
"5054000","0","","5054","bgm_M426","1","1","1005401"
"5056000","0","","5056","bgm_M435","1","1","1005601"
"5058000","0","","5058","bgm_M442A","1","1","1005801"
"5061000","0","","5061","bgm_M451","1","1","1006101"
"5064000","0","","5064","bgm_M457","1","1","1006401"
"5066000","0","","5066","bgm_M467","1","1","1006601"
"5068000","0","","5068","bgm_M478_Lofi","1","1","1006801"
"5070000","0","","5070","bgm_M486","1","1","1007001"
"5072000","0","","5072","bgm_M496","1","1","1007201"
"5074000","0","","5074","bgm_M508","1","1","1007401"
"5076000","0","","5076","bgm_M520","1","1","1007601"
"5078000","0","","5078","bgm_M527","1","1","1007801"
"5080000","0","","5080","bgm_M536","1","1","1008001"
"5082000","0","","5082","bgm_M543","1","1","1008201"
"5084000","0","","5084","bgm_M552","1","1","1008401"
"5088000","0","","5088","bgm_M565","1","1","1008801"
"5090000","0","","5090","bgm_M574","1","1","1009001"
"5092000","0","","5092","bgm_M582","1","1","1009201"
"5094000","0","","5094","bgm_M595","1","1","1009401"
