40d67ec5d5615710e5947879e2efcf37c287e3b7b40cf9ff8424f736cc6299e8,eea69d6e071fc8da6ad43eaa24c22c94e552c315a74a6d9fd173cc64e376b1a2,d7acb5c10b890a970e4144e5f13a7c14feb038691f0a50ca737b639b60c4cf9d,557975570e2e8af9570661e48fb8fd4e1301e327cc4bff42e8b2dbaa398b9084,dad9befad4c294baed3e10578bed716213267ee09f02a74cd8eab709f36b96f5,8d7315f9e94d7568e7243ee821d43bf521f612fca9a3ba72d3d75bf9f40e880f,b828fb7489791a42edce2ee2f9f8ffb091e29da64a79c7d9b01a2e69b3555c65,039b92d860763a0c1c1409657a9b9e9055470ef0400366d45ab95f7a1eb87724,ba9ac7f1cf3f5043c11ad1b27ec74fdf7bd6e05800863692efec0cfd35480171,35eff5732c9ad49326ae3b40e2df1b270dcd9a16564139e2a9abbd419a41de6d,2cfeb097623a7d7eacc34b0e1118245da574a25ae7f5af7193786aab2e150821
"285001001","25021","2","1","25015","2","91002","8","8","10","31"
"285001002","25021","2","2","25015","2","91002","8","8","10","31"
"285001003","25021","2","3","25015","2","91002","8","8","10","32"
"285001004","25021","2","4","25015","2","91002","8","8","10","32"
"285001005","25021","2","5","25015","2","91002","8","8","10","33"
"285001006","25021","2","6","25015","2","91002","9","8","10","33"
"285001007","25021","2","7","25015","2","91002","9","8","10","34"
"285001008","25021","2","8","25015","2","91002","9","8","10","35"
"285001009","25021","2","9","25015","2","91002","9","8","10","35"
"285001010","25021","2","10","25015","2","91002","10","8","30","37"
"285001011","25021","2","11","25015","2","91002","10","8","10","41"
"285001012","25021","2","12","25015","2","91002","11","8","10","43"
"285001013","25021","2","13","25015","2","91002","11","8","10","46"
"285001014","25021","2","14","25015","2","91002","12","8","10","48"
"285001015","25021","2","15","25015","2","91002","12","8","10","50"
"285001016","25021","2","16","25015","2","91002","13","8","10","53"
"285001017","25021","2","17","25015","2","91002","14","8","10","55"
"285001018","25021","2","18","25015","2","91002","14","8","10","58"
"285001019","25021","2","19","25015","2","91002","15","8","10","60"
"285001020","25021","2","20","25015","2","91002","15","8","30","62"
"285001021","25021","2","21","25015","2","91002","16","8","10","68"
"285001022","25021","2","22","25015","2","91002","16","8","10","70"
"285001023","25021","2","23","25015","2","91002","16","8","10","72"
"285001024","25021","2","24","25015","2","91002","17","8","10","75"
"285001025","25021","2","25","25015","2","91002","18","8","10","77"
"285001026","25021","2","26","25015","2","91002","18","8","10","79"
"285001027","25021","2","27","25015","2","91002","19","8","10","82"
"285001028","25021","2","28","25015","2","91002","19","8","10","84"
"285001029","25021","2","29","25015","2","91002","19","8","10","86"
"285001030","25021","2","30","25015","2","91002","20","8","30","89"
"285001031","25021","2","31","25015","2","91002","20","8","10","94"
"285001032","25021","2","32","25015","2","91002","21","8","10","96"
"285001033","25021","2","33","25015","2","91002","21","8","10","99"
"285001034","25021","2","34","25015","2","91002","22","8","10","101"
"285001035","25021","2","35","25015","2","91002","22","8","10","103"
"285001036","25021","2","36","25015","2","91002","23","8","10","106"
"285001037","25021","2","37","25015","2","91002","23","8","10","108"
"285001038","25021","2","38","25015","2","91002","24","8","10","111"
"285001039","25021","2","39","25015","2","91002","25","8","10","113"
"285001040","25021","2","40","25015","2","91002","25","8","30","115"
"285001041","25021","2","41","25015","2","91002","26","8","10","121"
"285001042","25021","2","42","25015","2","91002","27","8","10","123"
"285001043","25021","2","43","25015","2","91002","28","8","10","125"
"285001044","25021","2","44","25015","2","91002","28","8","10","128"
