679c2002d6b5952c894c746f99d3275fdc8cb3441a8f34a70ee227fcc7c5e1d8,06e9c2c3ab93b4970844e527a5fa275508f9c8cb899a27f21987f4dccdea6ace,c8046ea1b1e2518273e0139d6770f1f85351d4abaf9d9ea7cceb15b1b770434b,a2d09b3390cad670b722b76c656badf83dda09d2eb7862e1e37a77d3639b8540,89d908dcbc22d04efc93e792dd2c3d3495cedf257c624aca68ba2215422d9ffd,b48548a6ef28ce8b3a77e1ee7091983aa56e0cb5d1a005e3532cc293d894fb00,67b1c89f03bb524087caf5a9e7da5e08aa0f06d3af41fca5d124bfdea0d2431a,d8be5a81b31370cb2fb07c0f5d03eb8af657542cae309fabad3f10c9eabe7f6b,923cb6001a71a572b1cf9b2c71252f8e0b27d18e1488721209cb97c2dd983727,8c979d66aba4308d694381e94ab60566fd8735e091cc84a4dc8741a5716c5aea,d50b7096c3e6e85ada2b406e9b410a08b5e02c21ffb9e950160ed0611f124bbb,63637235a3b91e064f37491a69756f1e489332cfa11f201c2472ffbd93a9a53d,4041ddcd4f239c87ae0155a6d4c96bc92a5f69aa01a1994602658a97b1a3e2a6,708255ae150805d73112c4f4be545c958d46065e8fc2bce4c933e123d473625b,0fde06517b9a703b3d2f6c180694a4da007a6bf14e20a0d5e55a617f7bc28b80,d53b4941e0dfc55eae877c901ee35c953b2693e425f80bdde3119f3626c481ef
"0","0","0","0","1","15","0","0","12","20000","0","收集 15 種布丁","1","0","0","94002"
"0","0","0","0","2","30","0","0","12","30000","0","收集 30 種布丁","1","0","0","94002"
"0","0","0","0","3","40","0","0","8","50","0","收集 40 種布丁","1","0","0","91002"
"0","0","0","0","4","50","0","0","12","50000","0","收集 50 種布丁","1","0","0","94002"
"0","0","0","0","5","55","0","0","8","50","0","收集 55 種布丁","1","0","0","91002"
"0","0","0","0","6","60","0","0","12","100000","0","收集 60 種布丁","1","0","0","94002"
"91002","8","100","0","7","66","0","0","15","1","0","收集所有 66 種布丁","1","0","0","11001164"
"0","0","0","0","8","25","0","0","12","50000","0","完成 25％ 布丁筆記本","2","0","0","94002"
"0","0","0","0","9","50","0","0","8","50","0","完成 50％ 布丁筆記本","2","0","0","91002"
"0","0","0","0","10","75","0","0","12","100000","0","完成 75％ 布丁筆記本","2","0","0","94002"
"11001165","15","1","100","11","100","8","0","16","1","91002","完成 100％ 布丁筆記本","2","0","0","9000100"
