e8d9647ab155d214d19ab46e4fc314360addb5b4dd8b5d89394ac0a949400193,1065485a0fc1631b090607ad6d49376a8bc64f5216cc1b9a304cf784c6a6d1c2,1c41d763dfac5eafce556f4340ac8b83dfca8855dff21a0a73b4caeb9bf3d6a7,40273514123c73612929cef51236c4181a4221e1e6043717ae5536134787b393,61c631e0efe6695036818b37b9705234697b7e6d91c528cec042f7f2970d6677,c94bd65102a2037e006fe881bbf2c2f39469e1e1272310ee28cd2e332c34bc53,07f783f27db3d4c0deb68d7b97fc89d1ba91726e5899382ef4cf16206f1126df
"1","1","0","1","0","1","1"
"4","2","0","1","0","1","2"
"5","1","12","1","0","1","3"
"2","2","0","1","0","1","4"
"8","1","0","1","0","2","5"
"1","1","0","2","0","1","1"
"1","2","0","2","0","1","2"
"6","1","0","2","0","1","3"
"1","2","0","2","0","1","4"
"1","3","0","2","0","1","5"
"3","1","11","2","0","3","6"
"1","2","0","2","0","1","7"
"3","1","0","2","0","1","8"
"1","1","0","2","0","2","9"
"1","1","0","3","0","1","1"
"10","2","0","3","0","1","2"
"11","1","0","3","0","1","3"
"5","2","0","3","0","1","4"
"6","3","0","3","0","1","5"
"3","3","0","3","0","1","6"
"3","4","9","3","0","2","7"
"7","4","0","3","0","1","8"
"1","4","0","3","0","1","9"
"9","1","8","3","0","3","10"
"4","2","0","3","0","1","11"
"1","1","0","3","0","1","12"
"3","4","0","3","0","1","13"
"3","3","11","3","0","2","14"
"4","1","10","4","0","1","1"
"12","1","12","4","0","1","2"
"1","2","10","4","0","1","3"
"11","1","4","4","0","1","4"
"1","2","0","4","0","1","5"
"4","1","13","4","0","1","6"
"2","2","6","4","0","1","7"
"8","1","0","4","0","1","8"
"8","2","10","4","0","1","9"
"1","1","10","5","0","1","1"
"11","2","5","5","0","1","2"
"1","1","7","5","0","1","3"
"5","2","12","5","0","1","4"
"1","1","11","5","0","1","5"
"3","2","4","5","0","1","6"
"5","2","12","5","0","1","7"
"2","1","6","5","0","1","8"
"11","2","4","5","0","1","9"
"8","1","8","5","0","1","10"
"4","1","10","5","0","1","11"
"5","2","10","5","0","1","12"
"8","1","7","6","0","1","1"
"4","2","10","6","0","1","2"
"1","1","11","6","0","1","3"
"8","2","8","6","0","1","4"
"11","1","6","6","0","1","5"
"2","1","7","6","0","2","6"
"5","1","4","6","0","1","7"
"4","2","10","6","0","1","8"
"10","1","13","6","0","2","9"
"8","1","7","7","0","1","1"
"12","2","10","7","0","1","2"
"4","2","12","7","0","1","3"
"11","1","7","7","0","1","4"
"1","1","10","7","0","1","5"
"5","2","12","7","0","1","6"
"5","2","11","7","0","1","7"
"8","2","10","7","0","1","8"
"2","1","8","7","0","1","9"
"8","1","7","7","0","1","10"
"4","2","9","7","0","1","11"
"1","1","10","8","0","2","1"
"12","2","10","8","0","1","2"
"12","1","5","8","0","1","3"
"5","1","12","8","0","1","4"
"1","2","10","8","0","1","5"
"5","1","12","8","0","1","6"
"5","1","12","8","0","1","7"
"1","2","10","8","0","1","8"
"8","2","9","8","0","1","9"
"4","1","9","8","0","2","10"
"4","1","8","9","0","1","1"
"5","1","10","9","0","1","2"
"4","2","7","9","0","1","3"
"6","2","8","9","0","1","4"
"1","1","10","9","0","1","5"
"11","1","11","9","0","1","6"
"1","1","6","9","0","1","7"
"5","2","8","9","0","1","8"
"8","2","7","9","0","1","9"
"4","1","6","9","0","1","10"
"11","2","10","10","0","1","1"
"1","1","7","10","0","1","2"
"8","1","8","10","0","2","3"
"5","2","9","10","0","1","4"
"10","1","8","10","0","1","5"
"1","1","7","10","0","2","6"
"2","1","6","10","0","2","7"
"11","1","10","10","0","1","8"
"8","2","10","10","0","1","9"
"9","1","8","11","0","1","1"
"5","2","0","11","0","1","2"
"6","2","12","11","0","1","3"
"1","1","5","11","0","1","4"
