102071ff9fd000d78a3a790cf28fbe55fe370524233e73af2288bfd2de4d6145,f66fa1bbf41594ee4968f6f26d875c24507464493953e89e2439b28fd13066a1,bf11319ca76e231c27cd01c57aaa14f323c2139b2786bd4af7f63280a069f243,76df65d101f090425e4785eb97c0b6dbb6180688fa7690c60908c68b37b50103,4c3be26172df0d64f137675484cb08e4d85c3b17da3ebb5ec342e928a992ceb8
"-7","1","-4.5","990001","30010001"
"12","1","-21.5","990001","30010003"
"-3","1","-21.5","990001","30010004"
"-5.8","1","-21.6","1","30010007"
"-4.4","1","-21.6","1","30010008"
"-16.7","1","-8.6","1","30010029"
"-7","1","-13","1","30010038"
"-5.5","1","2.9","990002","30010047"
"-8.9","1","-17.6","1","30010055"
"-6.6","1","-19","1","30010056"
"-5","1","-18.4","1","30010060"
"0.6","1","-20.4","3","30010061"
"-3.9","1","-17.2","3","30010062"
"-4.1","1","-14.9","1","30010063"
"2.2","1","-17","1","30010066"
"2.2","1","-18.5","1","30010068"
"2.2","1","-15.4","1","30010070"
"-9.6","1","-21.7","3","30010071"
"-11.9","1","-21.6","1","30010073"
"-12","1","-20","3","30010074"
"-1.9","1","-21.7","3","30010077"
"-4.9","1","-13.8","3","30010079"
"-17","1","-3.6","2","30010081"
"-15","1","-4.7","2","30010083"
"-13.9","1","-16.8","3","30010085"
"-7.1","1","-11.5","3","30010089"
"-8.1","1","-8.7","2","30010091"
"-5.7","1","-8.7","2","30010094"
"-16.3","1","-4.7","2","30010100"
"-13.8","1","-0.2","2","30010104"
"-13.9","1","2.3","2","30010106"
"-15.2","1","1","2","30010107"
"-16.6","1","2.1","2","30010109"
"-16.5","1","-0.1","2","30010110"
"-20","1","-2","2","30010112"
"-20","1","-0.8","2","30010113"
"-20","1","2","2","30010115"
"-20","1","3.7","2","30010116"
"-19.9","1","0.6","3","30010117"
"-18.2","1","-2.9","3","30010119"
"-19.5","1","-3","3","30010120"
"-15","1","-2.5","991002","30010125"
"-16.7","1","-2.5","991001","30010126"
"-8.5","1","-21.4","991001","30010130"
"-18.4","1","4.8","3","30010134"
"-17","1","5.8","3","30010136"
"-17.1","1","6.9","2","30010137"
"-17","1","8","3","30010138"
"-17","1","9.5","2","30010139"
"-13.5","1","5.3","2","30010145"
"-12.1","1","5.3","2","30010146"
"-15.5","1","8.7","3","30010147"
"-14.3","1","8.8","2","30010148"
"-13","1","8.8","3","30010149"
"-12.3","1","10.2","2","30010150"
"-10.8","1","8.4","2","30010152"
"-10.7","1","10.2","2","30010155"
"-6.2","1","-16.1","1","30010156"
"-7.3","1","6.8","2","30010160"
"-6.4","1","7.9","3","30010161"
"-6","1","6.4","1","30010162"
"-6","1","2","3","30010163"
"-6","1","4.6","1","30010164"
"-2.8","1","3","1","30010166"
"-2.2","1","5.3","1","30010168"
"-0.5","1","5.3","3","30010169"
"-4.9","1","-12.2","1","30010170"
"-4.9","1","-10.9","3","30010171"
"-3.8","1","8","1","30010173"
"-2.6","1","8.7","2","30010174"
"-1.5","1","8","1","30010175"
"-0.3","1","8.7","2","30010176"
"0.9","1","7.9","1","30010177"
"-1.9","1","3.3","2","30010178"
"-1.6","1","-0.8","2","30010181"
"1","1","0.4","1","30010182"
"2.4","1","0.4","2","30010183"
"3.6","1","0.4","1","30010184"
"6.4","1","1.3","1","30010186"
"8","1","1.3","3","30010187"
"9.5","1","1.3","1","30010188"
"5.4","1","4.9","2","30010189"
"6.4","1","5.8","1","30010190"
"7.5","1","4.9","2","30010191"
"8.6","1","5.8","2","30010192"
"3.8","1","5.7","1","30010193"
"11.1","1","0.4","3","30010194"
"14","1","0.2","2","30010195"
"15","1","1.4","3","30010196"
"14.1","1","2.4","2","30010197"
"15.1","1","3.5","1","30010198"
"14","1","4.3","2","30010199"
"12","1","6.3","1","30010200"
"10.3","1","6.3","2","30010201"
"12.1","1","-2.8","1","30010202"
"9.1","1","-1.7","3","30010203"
"9","1","-3","1","30010204"
"9","1","-4.7","3","30010205"
"15.9","1","-1.7","2","30010206"
"16.8","1","-3.2","2","30010207"
"15.8","1","-4.5","2","30010208"
"13.1","1","-2.8","3","30010209"
"10.2","1","-8.8","1","30010210"
"10.1","1","-7.5","2","30010211"
"10","1","-5.9","1","30010212"
"15.1","1","-8.7","3","30010213"
"16.2","1","-7.6","3","30010214"
"15.3","1","-6.3","3","30010215"
"15.9","1","-10.4","1","30010216"
"16.9","1","-11.6","3","30010217"
"15.9","1","-13","1","30010218"
"11.1","1","-11.6","2","30010219"
"11.1","1","-10.1","3","30010220"
"13.9","1","-14.3","3","30010221"
"15","1","-15.5","1","30010222"
"14.3","1","-17.3","3","30010223"
"15","1","-18.4","1","30010224"
"11.1","1","-17.8","1","30010225"
"11.1","1","-18.9","3","30010226"
"11","1","-21.6","1","30010227"
"9.7","1","-21.6","2","30010228"
"8.5","1","-21.6","1","30010229"
"7","1","-21.6","1","30010230"
"5.5","1","-21.7","3","30010231"
"4","1","-21.7","1","30010232"
"2.2","1","-20.4","3","30010233"
"6","1","-19.3","2","30010234"
"5.3","1","-18.2","2","30010235"
"6","1","-16.8","2","30010236"
"2.2","1","-11.8","1","30010237"
"7","1","-9.5","1","30010238"
"5.9","1","-9","3","30010239"
"4.9","1","-9.5","1","30010240"
"2.1","1","-10.3","3","30010241"
"2.1","1","-8.5","1","30010242"
"0.6","1","-18.7","1","30010243"
"5.2","1","-13.4","3","30010244"
"4","1","-12.6","3","30010245"
"-16.6","1","6","991004","30010246"
"-15.1","1","5.5","991002","30010247"
"12.3","1","-2.5","991002","30010251"
"11.7","1","-2.5","991001","30010252"
"12.2","1","-7.5","991002","30010253"
"11.8","1","-7.5","991001","30010254"
"11.4","1","-13.2","991001","30010255"
"12.7","1","-13.7","991003","30010256"
"6.5","1","-21.5","991001","30010257"
"6.8","1","-12.6","991002","30010259"
"5.2","1","-12.6","991001","30010260"
"-1.5","1","-11.5","991002","30010261"
"-2.5","1","-11.5","991001","30010262"
"6.4","1","-20.2","991004","30010263"
"-1.8","1","-16.6","991002","30010264"
"-2.2","1","-16.6","991001","30010265"
"-9.3","1","8.5","2","30010267"
"-12","1","-18.6","1","30010268"
"-10.1","1","-17.6","991002","30010269"
"-11.7","1","-17.7","991001","30010270"
"-14.3","1","-12.6","991003","30010271"
"-14.3","1","-11.2","991004","30010272"
"-13.9","1","-15.4","3","30010274"
"-13.8","1","-14.1","3","30010275"
"-12.2","1","-8.1","991003","30010276"
"-12.2","1","-7.7","991004","30010277"
"-15.3","1","-8.6","1","30010278"
"-19.9","1","-11.9","1","30010279"
"-19.9","1","-10.7","3","30010280"
"-19.9","1","-9.2","1","30010281"
"-19.9","1","-8","3","30010282"
"-18.6","1","-13.4","1","30010283"
"-16.2","1","-13.6","1","30010284"
"-14.9","1","-13.7","3","30010285"
"-12.9","1","-9.6","3","30010286"
"-11.7","1","-9.6","2","30010287"
"-10.4","1","-9.6","2","30010288"
"-7","1","-8.8","1","30010289"
"-1","1","-3.6","2","30010290"
"-1","1","-5","2","30010291"
"1.8","1","2.5","991002","30010292"
"0.5","1","2.5","991003","30010293"
"10.5","2","-22.7","2","30020001"
"9","2","-23","2","30020004"
"6","2","-23","2","30020005"
"7.5","2","-22.7","2","30020006"
"6.3","2","-19.1","991001","30020008"
"7.8","2","-19.1","991002","30020009"
"5.5","2","-21.5","2","30020010"
"13.5","2","-22.7","1","30020011"
"15","2","-23.5","3","30020012"
"17.1","2","-22.5","990001","30020013"
"16.3","2","-22.7","1","30020014"
"18.4","2","-22.7","3","30020015"
"19.7","2","-23.5","1","30020016"
"21.3","2","-22.7","3","30020017"
"10.5","2","-20","2","30020018"
"12.5","2","-19.8","1","30020019"
"15","2","-19.8","1","30020020"
"15","2","-15","1","30020024"
"18.6","2","-17.8","1","30020027"
"17.5","2","-19.8","1","30020029"
"15","2","-17","1","30020030"
"16","2","-16.4","3","30020031"
"4","2","-20.3","2","30020032"
"3.5","2","-18.9","2","30020033"
"4","2","-17.5","2","30020034"
"9","2","-15.7","2","30020035"
"-2","2","-23.8","2","30020043"
"-4","2","-23.8","2","30020044"
"-5","2","-23","1","30020045"
"-4","2","-19","2","30020047"
"-4","2","-17","2","30020048"
"-1.3","2","-15.7","1","30020050"
"-1.7","2","-13.4","2","30020051"
"-3.5","2","-13.5","2","30020052"
"-7","2","-13.1","2","30020053"
"-9.2","2","-13.6","2","30020054"
"-9","2","-14.9","2","30020055"
"-7","2","-21.1","1","30020056"
"-8.8","2","-22.7","1","30020062"
"-12","2","-22.7","1","30020063"
"-5","2","-21.1","3","30020065"
"-7","2","-23","3","30020066"
"-10.5","2","-23.2","3","30020067"
"-10","2","-16","2","30020068"
"-12","2","-15.3","2","30020069"
"-13.5","2","-18.1","2","30020070"
"-13.5","2","-16.4","2","30020071"
"-14.5","2","-22.7","3","30020072"
"-17.1","2","-22.7","3","30020073"
"-8.2","2","-19","991004","30020074"
"-16","2","-22.5","990001","30020076"
"-19.5","2","-22.7","1","30020077"
"-21.5","2","-22.7","1","30020078"
"-23.5","2","-22","3","30020079"
"-23.5","2","-20.2","3","30020080"
"-25","2","-18.8","1","30020083"
"-25","2","-17.6","3","30020084"
"-25","2","-16","3","30020085"
"-25","2","-14","1","30020086"
"-19.7","2","-16.1","2","30020087"
