4bc708afb4c9aef22beb795ea0f354a69f2e272cbb2c3aa8e2b1ac9d2e4bb64a,59ca8074674259fcfa4139fb0899ccb079b0ec7cf674816871bb72bd5a94f350,5290ce96e25b2bf7fe628feff69f8cdff12b3215794ab8168f5264c8b8d2b28b,9630711475688ab75c8a6b48b40be7c1d27574d6a093e655cb57aa2dba71c565,ba37dcf4b60e0b237d71ad59728b2f2d2bc17691780a2d2bffca60f4f15c0cab,83526303baf6e839ecfd156b330e42c599693bfd60d60cb6a246488eb72668e9,748a3c07946ed3456305e6831567c78350fc55b545d65e1bcbea34bcda1f81d4,208dc1f76dd7ba0cb647e201576c96f93345c2778e6529b476fed747c1e5cf80,1791e97cb862e96a701fe2f95559b2f486165c8eba8052d7cb4823b9cc491f2c,de830c89d7a7a5b22ce48bf34fc5ebbec8f7480cb68e300bd9b183a63828228d,8de9f135e6fa3e3db5ad6181d92debcb86510d1bb2573221617dab62c6c7bcfa,134de67f7f2e80ee42624850225d8b00e31f5846bca3130499a7dcf9392474ab
"2","1","0","0","10","0","103","10140101","10140","游泳圈游泳（黃）","107511","0"
"2","1","0","0","15","0","102","10140102","10140","游泳圈游泳（藍）","107611","0"
"1","1","0","0","10","0","103","10140103","10140","游泳圈游泳（黃）","107711","0"
"2","1","0","0","10","0","102","10140106","10140","游泳圈游泳（藍）","108011","0"
"2","1","0","0","10","0","101","10140107","10140","游泳圈游泳（粉）","110011","0"
"1","1","0","0","10","0","101","10140108","10140","游泳圈游泳（粉）","110111","0"
"1","1","0","0","3","0","103","10140109","10140","游泳圈游泳（黃）","110311","0"
"2","1","0","0","10","0","102","10140110","10140","游泳圈游泳（藍）","110411","0"
"2","1","0","0","10","0","102","10140111","10140","游泳圈游泳（藍）","110511","0"
"2","1","0","0","50","0","101","10140112","10140","游泳圈游泳（粉）","110611","0"
"1","1","0","0","5","0","102","10140113","10140","游泳圈游泳（藍）","113111","0"
"1","1","0","0","5","0","102","10140114","10140","游泳圈游泳（藍）","113211","0"
"1","1","0","0","5","0","102","10140115","10140","游泳圈游泳（藍）","113311","0"
"2","1","0","0","10","0","102","10140116","10140","游泳圈游泳（藍）","113411","0"
"2","1","0","0","10","0","102","10140117","10140","游泳圈游泳（藍）","113511","0"
"2","1","0","0","10","0","102","10140118","10140","游泳圈游泳（藍）","113611","0"
"1","1","0","0","5","0","102","10140119","10140","游泳圈游泳（藍）","115711","0"
"2","1","0","0","10","0","101","10140120","10140","游泳圈游泳（粉）","117011","0"
"2","1","0","0","10","0","102","10140121","10140","游泳圈游泳（藍）","117111","0"
"2","1","0","0","10","0","102","10140122","10140","游泳圈游泳（藍）","117211","0"
"2","1","0","0","10","0","102","10140123","10140","游泳圈游泳（藍）","117311","0"
"2","1","0","0","10","0","101","10140124","10140","游泳圈游泳（粉）","117411","0"
"2","1","0","0","10","0","103","10140125","10140","游泳圈游泳（黃）","122411","0"
"1","1","0","0","5","0","102","10140126","10140","游泳圈游泳（藍）","122511","0"
"2","1","0","0","10","0","101","10140127","10140","游泳圈游泳（粉）","122611","0"
"1","1","0","0","10","0","102","10140128","10140","游泳圈游泳（藍）","122711","0"
"1","1","0","0","10","0","103","10140129","10140","游泳圈游泳（黃）","122811","0"
"1","1","0","0","10","0","101","10140130","10140","游泳圈游泳（粉）","122911","0"
"1","1","0","0","5","0","101","10140132","10140","游泳圈游泳（粉）","126711","0"
"2","1","0","0","10","0","103","10140133","10140","游泳圈游泳（黃）","126811","0"
"2","1","0","0","30","0","102","10140134","10140","游泳圈游泳（藍）","126911","0"
"1","1","0","0","5","0","101","10140135","10140","游泳圈游泳（粉）","127011","0"
"2","1","0","0","10","0","102","10140136","10140","游泳圈游泳（藍）","127111","0"
"2","1","0","0","10","0","103","10140138","10140","游泳圈游泳（黃）","129411","0"
"2","1","0","0","10","0","101","10140139","10140","游泳圈游泳（粉）","129511","0"
"2","1","0","0","10","0","151","10140151","10140","踢水","107511","0"
"2","1","0","0","10","0","151","10140152","10140","踢水","107611","0"
"1","1","0","0","10","0","151","10140153","10140","踢水","107711","0"
"2","1","0","0","10","0","151","10140156","10140","踢水","108011","0"
"2","1","0","0","10","0","151","10140157","10140","踢水","110011","0"
"1","1","0","0","3","0","151","10140159","10140","踢水","110311","0"
"2","1","0","0","10","0","151","10140160","10140","踢水","110411","0"
"2","1","0","0","10","0","151","10140161","10140","踢水","110511","0"
"1","1","0","0","5","0","151","10140163","10140","踢水","113111","0"
"1","1","0","0","5","0","151","10140164","10140","踢水","113211","0"
"1","1","0","0","5","0","151","10140165","10140","踢水","113311","0"
"2","1","0","0","10","0","151","10140166","10140","踢水","113411","0"
"2","1","0","0","10","0","151","10140167","10140","踢水","113511","0"
"2","1","0","0","10","0","151","10140168","10140","踢水","113611","0"
"1","1","0","0","5","0","151","10140169","10140","踢水","115711","0"
"2","1","0","0","10","0","151","10140170","10140","踢水","117011","0"
"2","1","0","0","10","0","151","10140171","10140","踢水","117111","0"
"2","1","0","0","10","0","151","10140172","10140","踢水","117211","0"
"2","1","0","0","10","0","151","10140173","10140","踢水","117311","0"
"2","1","0","0","10","0","151","10140174","10140","踢水","117411","0"
"2","1","0","0","10","0","151","10140175","10140","踢水","122411","0"
