3b50b33664cd6add1510c180377dc97ca92f064f1fa326cde300ded597b9afa5,74bc0c10dc6b79e01d6e5a75136e43ebbc8d599231bcb29311e1eddfbe3abcf4,cfb84e4e49622c2f9ec9adf892bd969d40a4d568028ca44a794fd63de66e6c8b,3fe2c40dd2826248b434e64dd2e9c8de06923e2a7c51aac0cc772803b13eeee3,0a0a45bcf93e8e4a5d964a18120c881cb87ff651cdc904d40eb8d76c93a71cfc,87435072a58ddb3412775edc4339febdbb451bcaca5d5e463108990491c2bc30,46231a1c3e5ec191cc22662c3069d2a805a04311ef202b446b1bb00d2726fdcd,fbcb6f5563e19ca5cecc02257318165d993b5bc3d2ee64fe760360c03ca89b1a,49698b168c21491e070c824b59a36263d0061525da22cdf0a9dd6ec3fb4168ea,4e097b7c97ddbcd28167462c3d6a7c03cfa76526cf3bf63b8f7c579c460445f0,2bb80566ea3b45d95020e7f3634030f10e52f48e1ebd39493609ad93865ed93e,f97acc39e44bf4f8b73aabf94cf73f4a5c1a14baad1dd89656bbd56d3a9118c6,c1f5464014d4a039240f553ee00c1cf556cd65dee744fa88f69e3de5d65775c5,549e06be1341bfa06e95f2efe65ab4d0f68dbd64e30c77db9e3aacb6294a39ee
"11001010","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001001","101","1","1001","201"
"11002012","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001002","101","1","1001","201"
"11003012","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001003","101","1","1001","201"
"11004013","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001004","101","1","1001","201"
"11005013","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001005","101","1","1001","201"
"11006014","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001006","101","1","1001","201"
"11007014","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001007","101","1","1001","201"
"11008015","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001008","101","1","1001","201"
"11009015","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001009","101","1","1001","201"
"11010017","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001010","101","1","1001","201"
"11011017","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001011","101","1","1001","201"
"11012017","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001012","101","1","1001","201"
"11013017","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001013","101","1","1001","201"
"11014014","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001014","101","1","1001","201"
"11015014","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001015","101","1","1001","201"
"11016014","2030/04/01 14:59:59","2015/04/01 15:00:00","0","402001","","0","0","0","51001016","101","1","1001","201"
