e9bc375b048310eb4a84f499c9c15135272d27b231f861e4302e6e39022bf673,4640337bc1174b3887041833d5130eb4c41507dda007a69b9530729d7318df84,b6c82a452c86495fe1d07c678359bcf13c08197f4375e02de123e19d0aa4f817,64b395a46e4169315912eaed9486827e2608d2591ab2c7dcbeaf413e76cf9eeb,e3eede2e39ed8147952bce650dffd1ada0f5e7a0d53001d5a8b4544c321bf6ca,4d96e107575d20235e67ce6f3e4e2ca3b232f0d244a909789ee051e7a531f442,d4bb224b63588ac405519a7dfa1f932a677efc2ba23cd4fe8ada7a1ee651b4b9,a1f5bf40783bce5bc764239fee5c0935df37825af0ef4ea6a5e1027bd0939bf1,6e3f5267973291b02f8d865245fa3bf1fac47223a1ba8dbdb1e51685f6a084cb
"10","30000","12000","90001","10000","1","0","1","90043"
"20","30000","24000","90002","10000","2","0","2","90047"
"20","30000","24000","90002","10000","3","0","3","90047"
"20","30000","24000","90002","10000","4","0","4","90047"
"20","30000","24000","90002","10000","5","0","5","90047"
"20","30000","24000","90002","10000","6","0","6","90047"
"20","30000","24000","90002","10000","7","0","7","90047"
"20","30000","24000","90002","10000","8","0","8","90047"
"20","30000","24000","90002","10000","9","0","9","90047"
"20","30000","24000","90002","10000","10","0","10","90047"
"40","30000","48000","90003","10000","11","90011","11","90051"
"40","30000","48000","90003","10000","12","90011","12","90051"
"40","30000","48000","90003","10000","13","90011","13","90051"
"40","30000","48000","90003","10000","14","90011","14","90051"
"40","30000","48000","90003","10000","15","90011","15","90051"
"40","30000","48000","90003","10000","16","90011","16","90051"
"40","30000","48000","90003","10000","17","90011","17","90051"
"40","30000","48000","90003","10000","18","90011","18","90051"
"40","30000","48000","90003","10000","19","90011","19","90051"
"40","30000","48000","90003","10000","20","90011","20","90051"
"60","30000","72000","90004","10000","21","90015","21","90055"
"60","30000","72000","90004","10000","22","90015","22","90055"
"60","30000","72000","90004","10000","23","90015","23","90055"
"60","30000","72000","90004","10000","24","90015","24","90055"
"60","30000","72000","90004","10000","25","90015","25","90055"
"60","30000","72000","90004","10000","26","90015","26","90055"
"60","30000","72000","90004","10000","27","90015","27","90055"
"60","30000","72000","90004","10000","28","90015","28","90055"
"60","30000","72000","90004","10000","29","90015","29","90055"
"60","30000","72000","90004","10000","30","90015","30","90055"
"80","30000","96000","90005","10000","31","90015","31","90059"
"80","30000","96000","90005","10000","32","90015","32","90059"
"80","30000","96000","90005","10000","33","90015","33","90059"
"80","30000","96000","90005","10000","34","90015","34","90059"
"80","30000","96000","90005","10000","35","90015","35","90059"
"80","30000","96000","90005","10000","36","90015","36","90059"
"80","30000","96000","90005","10000","37","90015","37","90059"
"80","30000","96000","90005","10000","38","90015","38","90059"
"80","30000","96000","90005","10000","39","90015","39","90059"
"80","30000","96000","90005","10000","40","90015","40","90059"
"120","30000","144000","90005","10000","41","90017","41","90063"
"120","30000","144000","90005","10000","42","90017","42","90063"
"120","30000","144000","90005","10000","43","90017","43","90063"
"120","30000","144000","90005","10000","44","90017","44","90063"
"120","30000","144000","90005","10000","45","90017","45","90063"
"120","30000","144000","90005","10000","46","90017","46","90063"
"120","30000","144000","90005","10000","47","90017","47","90063"
"120","30000","144000","90005","10000","48","90017","48","90063"
"120","30000","144000","90005","10000","49","90017","49","90063"
"120","30000","144000","90005","10000","50","90017","50","90063"
"150","30000","180000","90006","10000","51","90019","51","90067"
"150","30000","180000","90006","10000","52","90019","52","90067"
"150","30000","180000","90006","10000","53","90019","53","90067"
"150","30000","180000","90006","10000","54","90019","54","90067"
"150","30000","180000","90006","10000","55","90019","55","90067"
"150","30000","180000","90006","10000","56","90019","56","90067"
"150","30000","180000","90006","10000","57","90019","57","90067"
"150","30000","180000","90006","10000","58","90019","58","90067"
"150","30000","180000","90006","10000","59","90019","59","90067"
"150","30000","180000","90006","10000","60","90019","60","90067"
"180","30000","216000","90007","10000","61","90021","61","90071"
"180","30000","216000","90007","10000","62","90021","62","90071"
"180","30000","216000","90007","10000","63","90021","63","90071"
"180","30000","216000","90007","10000","64","90021","64","90071"
"180","30000","216000","90007","10000","65","90021","65","90071"
"180","30000","216000","90007","10000","66","90021","66","90071"
"180","30000","216000","90007","10000","67","90021","67","90071"
"180","30000","216000","90007","10000","68","90021","68","90071"
"180","30000","216000","90007","10000","69","90021","69","90071"
"180","30000","216000","90007","10000","70","90021","70","90071"
