2793a84f68bda326380b2d10509d30a8238e975a2d5abba32c7f1ffcc8269264,84e3e877ad742d4abdac6f5a92b2ccbcbe8ec1cbc91b62b4765023a4ed57c376,ece6495979cff180099fe5e3705d8be663f18039b91abff9f4a84b4d7bdf0af2,6f83c2c37ec3d7480c65bac37b297ac2237a745686c8bb5c474553155532f567,f4956be620cba867f2f51ba9182e30aad91f62ed0ee410831af1d38cc0e24d8d,6037d6c58065740d7ed76018031bfb5335d055a64f12ec14d5b8abb35ca5d4fe,1c090cb2f9d5175d35a0d990ddad4d7a98a93e92fe29ea9115fdad184e284ee3,e20517565f94e66011b2c66cd3599f36af6bd7ac3cba68ef46fa4b74fcf1dd0a,d64efb7c81fbec63c3aed13e27e100f6857325360cb75d19ec1cd57834549fc1
"93001","100","1","2018/01/01 05:00:00","2030/12/31 23:59:59","-1","18001001","1","6"
"93001","100","1","2018/01/01 05:00:00","2030/12/31 23:59:59","-1","18001002","2","6"
"0","30","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","11001001","3","5"
"94002","30000","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","11001001","4","12"
"91002","10","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","11001001","5","8"
"0","40","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","11003001","6","5"
"20002","2","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","11003001","7","2"
"91002","10","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","11003001","8","8"
"0","20","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","13002001","9","5"
"0","20","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","18004001","10","5"
"0","25","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","16006001","11","5"
"0","25","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","16007001","12","5"
"22001","3","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","16007001","13","2"
"0","30","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","11004001","14","5"
"20002","2","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","11004001","15","2"
"90007","500","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","11004001","16","2"
"0","40","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","11005001","17","5"
"94002","30000","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","11005001","18","12"
"90007","500","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","11005001","19","2"
"0","30","1","2018/01/01 05:00:00","2030/12/31 23:59:59","-1","11006001","20","5"
"20003","2","1","2018/01/01 05:00:00","2030/12/31 23:59:59","-1","11006001","21","2"
"0","30","1","2018/01/01 05:00:00","2023/04/17 04:59:59","-1","15004001","22","5"
"90007","100","1","2018/01/01 05:00:00","2023/04/17 04:59:59","-1","15004001","23","2"
"0","40","1","2018/01/01 05:00:00","2021/02/09 04:59:59","-1","14001001","24","5"
