6e1859e7f0ed550114d0b2b7ae2ae4eb1cbfe58bf83a826bed8368a30688b990,f90e84b45e373a062e56ea5c96bf48c5b1b3fe2823cce3f483ec683313f1f805,dc64cb1c7122862ea6fe03a8828b36b4bd69972d06d9ee93ab188f8829836c65,bc051852d6ffad4812c880ea5dda3f1ec09aeaeb6d018b688e53e013d23115c6,3e6e783dcdc84726cdb8bab128b8ca4ae77017ee2b70272b1ceee736517e0d6b,b45731ff8ee70859023d5f997feb72e181d096a80ad92b05ad851adefb0a9384,ef7febfad0d7b7c9371fcbf9a47658d7655c712f97e1f87cc4962581f6bab486,3ae733cc6662de38cd2a1d09150166e937d5f1bae81d5389402cb1cbac73f5d2
"短時間內，展開障礙物護盾！","0","3","2001","101","短時間內，展開障礙物護盾　　　　（TP上升率：大）","0","0"
"中時間內，小幅度提升速度與跳躍力！","5","5","3","102","中時間內，小幅度提升速度與　　　跳躍力（TP上升率：小）","5","0"
"短時間內，中幅度提升速度！","0","4","1","103","短時間內，中幅度提升速度　　　　（TP上升率：中）","6","0"
"中時間內，展開障礙物護盾！","0","5","2001","104","中時間內，展開障礙物護盾　　　　（TP上升率：小）","0","0"
"中時間內，小幅度提升速度！","0","6","1","105","中時間內，小幅度提升速度　　　　（TP上升率：小）","3","0"
"中時間內，對戰對手小幅度減速！","0","6","1001","106","中時間內，對戰對手小幅度減速　　（TP上升率：大）","4","0"
"中時間內，特大幅度提升速度與跳躍力！","16","5","3","107","中時間內，特大幅度提升速度與　　跳躍力（TP上升率：小）","17","0"
"回合內，中幅度提升速度！","0","40","1","108","回合內，中幅度提升速度　　　　　（TP上升率：小）","8","0"
"短時間內，特大幅度提升速度！","0","4","1","109","短時間內，特大幅度提升速度　　　（TP上升率：特小）","30","0"
"回合內，對戰對手大幅度減速！","0","40","1001","110","回合內，對戰對手中幅度減速　　　（TP上升率：小）","10","0"
"極短時間內，展開障礙物護盾！","0","1","2001","111","極短時間內，展開障礙物護盾　　　（TP上升率：大）","0","0"
"短時間內，最前方對戰對手大幅度減速！","0","4","1004","112","短時間內，最前方對戰對手　　　　大幅度減速（TP上升率：小）","15","0"
"中時間內，小幅度提升速度！","0","6","1","113","中時間內，小幅度提升速度　　　　（TP上升率：大）","5","0"
"中時間內，小幅度提升跳躍力！","0","5","2","114","中時間內，小幅度提升跳躍力　　　（TP上升率：大）","5","0"
"長時間內，以護盾防止能力降低！","0","7","2002","115","長時間內，以護盾防止能力降低　　（TP上升率：特大）","0","0"
"累積時，小幅度提升速度！","0","25","1","116","累積時，小幅度提升速度　　　　　（TP上升率：特大）","3","0"
"累積時，對戰對手小幅度減速！","0","25","1001","117","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","3","0"
"長時間內，特大幅度提升速度與跳躍力！","20","7","3","118","長時間內，特大幅度提升速度與　　跳躍力（TP上升率：中）","30","0"
"短時間內，最前方對戰對手大幅度減速！","0","4","1004","119","短時間內，最前方的對戰對手　　　大幅度減速（TP上升率：中）","15","0"
"長時間內，以護盾防止能力降低！","0","7","2002","120","長時間內，以護盾防止能力降低　　（TP上升率：大）","0","0"
"長時間內，特大幅度提升跳躍力！","0","12","2","121","長時間內，特大幅度提升跳躍力　　（TP上升率：中）","30","0"
"累積時，最前方的對戰對手大幅度減速！","0","30","1004","122","累積時，最前方的對戰對手　　　　大幅度減速（TP上升率：中）","15","0"
"短時間大幅度加速後，極短時間減速！","2","4","4","123","短時間大幅度加速後，減速　　　　（TP上升率：大）","11","8"
"長時間內，中幅度提升速度！","0","8","1","124","長時間內，中幅度提升速度　　　　（TP上升率：大）","9","0"
"短時間內，展開障礙物護盾！","0","4","2001","125","短時間內，展開障礙物護盾　　　　（TP上升率：中）","0","0"
"累積時，對戰對手小幅度減速！","0","30","1001","126","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","3","0"
"長時間內，特大幅度提升速度！","0","10","1","127","長時間內，特大幅度提升速度　　　（TP上升率：特小）","22","0"
"中時間內，特大幅度提升跳躍力！","0","4","2","128","短時間內，特大幅度提升跳躍力　　（TP上升率：大）","30","0"
"短時間內，對戰對手特大幅度減速！","0","3","1001","129","短時間內，對戰對手特大幅度減速　（TP上升率：大）","20","0"
"短時間內，特大幅度提升速度！","0","4","1","130","短時間內，特大幅度提升速度　　　（TP上升率：大）","30","0"
