2fea79f1d06adc701cc47ca63d9f53fa628fd4e44daa68a1cfeff1d370a9d85a,e8809f31c4d62c86fb54240630eaa7b8b7c7d9e301215b1925fa419241f41faf,a14021c3eeef2b2afd5ab7301c4a96b4fc4956f92ea4c2374bb43c45c4df1194,ca30eec5dc4331dc05587584ce0d08e66d0cbeaebef4906c200ffdb65ce6ae05,70e580ccd09fc2f82dad577f490b9407d7ecc1a0ea7dce147d4004521fbc1040,36618597d8ee5e14263f589da09d399d81e8d5687da71a2ddedf8abefbcf503b,037704800796d908c13bf794a5dc1e8d405f0c9f4d442b9c4c02ea0cc7408721,7f7c834370dd93fea12ef9cb9b99853a6fd929cb6987180b4b5c3719d099743e,1b5fdf663d66921619648d8434d681c470b4facb160b6491c608c9700ec01bb6,7db93414e2eee8608fc303b2a1f83f28c168f42e134dbc9bf156076dd4f91a4e,2322237dd92cba53acf9ac57526976677f69c56926623d8e831a976f432ec88f
"mhp_sit_idle","0","1","1.7","0","1002011","100","100211","1","1002011001","0"
"","","3","0.2","","1002011","1","mhp_sit_talk_memory","100211","1002011002",""
"","","21","","0","1002011","0","vo_mhp_0401","vo_mhp","1002011003",""
"0","0","11","0","0","1002011","5","好久沒見到\n深月小姐了，\n我有點期待♪","100211","1002011004","0"
"","","91","","","1002011","","","0","1002011005",""
"","","3","0.2","","1002011","1","mhp_sit_idle_memory","100211","1002011006",""
"mhp_sit_idle","0","1","1.7","0","1002012","100","100211","1","1002012001","0"
"","","3","0.2","","1002012","1","mhp_sit_talk_sad","100211","1002012002",""
"","","21","","0","1002012","0","vo_mhp_0402","vo_mhp","1002012003",""
"0","0","11","0","0","1002012","5","唉……如果是什麼\n不好的病，\n我該怎麼辦……","100211","1002012004","0"
"","","91","","","1002012","","","0","1002012005",""
"","","3","0.2","","1002012","1","mhp_sit_idle_sad","100211","1002012006",""
"mhp_sit_idle","0","1","1.7","0","1002013","100","100211","1","1002013001","0"
"","","3","0.2","","1002013","1","mhp_yui_sit_talk_wish","100211","1002013002",""
"","","21","","0","1002013","0","vo_mhp_0403","vo_mhp","1002013003",""
"0","0","11","0","0","1002013","4","診察結果終於……\n我、我緊張到\n心跳加快了……！","100211","1002013004","0"
"","","91","","","1002013","","","0","1002013005",""
"","","3","0.2","","1002013","1","mhp_sit_idle_sad","100211","1002013006",""
"mhp_idle_normal","-240","1","1.7","-1000","1007401","100","100211","1","1007401001","0"
"mhp_sit_idle","-220","1","1.7","185","1007401","100","117531","1","1007401002","1"
"mhp_sit_idle","-200","1","1.7","365","1007401","100","117631","1","1007401003","1"
"","0.85","31","1","-154","1007401","-240","1","1","1007401004",""
"","0.85","31","0","-18","1007401","-230","123","23","1007401005",""
"NoItem","-220","5","1.7","-200","1007401","110","11","1","1007401006","0"
"NoItem","-220","5","1.7","-200","1007401","105","12","1","1007401007","0"
"NoItem","-220","5","1.7","185","1007401","110","21","1","1007401008","1"
"NoItem","-220","5","1.7","185","1007401","105","22","1","1007401009","1"
"","0","6","0","1","1007401","1","1","11","1007401010","0"
"","0","6","0","1","1007401","1","1","12","1007401011","0"
"","0","6","0","1","1007401","1","1","21","1007401012","0"
"","0","6","0","1","1007401","1","1","22","1007401013","0"
"NoItem","-220","5","1.7","-1000","1007401","110","31","1","1007401014","0"
"","","91","","","1007401","","","0","1007401015",""
"","","3","0.2","","1007401","1","mhp_sit_talk_normal","117531","1007401016",""
"","","21","","0","1007401","0","vo_mhp_4001","vo_mhp_1007401","1007401017",""
"0.5","0","11","0","0","1007401","7","下一位請進～","117531","1007401018","0"
"","","91","","","1007401","","","0","1007401019",""
"","","3","0.2","","1007401","1","mhp_sit_idle","117531","1007401020",""
"","","3","0.2","","1007401","1","mhp_anna_walk_sad","100211","1007401021",""
"","0","2","","4","1007401","-220","-200","100211","1007401022",""
"","","3","0.2","","1007401","1","NoItem","31","1007401023",""
"","0","2","","4","1007401","-220","-200","31","1007401024",""
"","","91","","","1007401","","","0","1007401025",""
"","1","3","0.2","mhp_sit_idle_sad","1007401","0","mhp_sit_in_sad","100211","1007401026","0.2"
"","","93","","","1007401","","","1","1007401027",""
"","","3","0.2","","1007401","1","mhp_sit_talk_sad","100211","1007401028",""
"","","21","","0","1007401","0","vo_mhp_4002","vo_mhp_1007401","1007401029",""
"0.5","0","11","0","1","1007401","7","那、那個……久疏問候，好久不見。","100211","1007401030","0"
"","","91","","","1007401","","","0","1007401031",""
"","","3","0.2","","1007401","1","mhp_sit_idle_sad","100211","1007401032",""
"","","3","0.2","","1007401","1","mhp_sit_talk_normal","117531","1007401033",""
"","","21","","0","1007401","0","vo_mhp_4003","vo_mhp_1007401","1007401034",""
"0.5","0","11","0","1","1007401","6","好久不見，優衣。\n上次見面是在大家\n一起去大江戶町的那時候呢。","117531","1007401035","0"
"","","91","","","1007401","","","0","1007401036",""
"","","3","0.2","","1007401","1","mhp_sit_idle","117531","1007401037",""
"","","3","0.2","","1007401","1","mhp_sit_talk_memory","100211","1007401038",""
"","","3","0","","1007401","1","mhp_yui_sit_talk_memory","31","1007401039",""
