70ba4702380c532f34dc27e5ff7ba1e3d3e3b0afa21cd5d613484e11c90178ed,4cb58e5e0647c62dd6fe26daadf18a2635942a84794324c1688ddabc5cc816e7,6214e1963996be9e05029c28adcf2ffaabb49f327c2a60dbf72e3c2d49754dfd,269f4207b2e9aeb66b6b6f6919bfffc3c8d439a4af798042ad1d7b223dcd4b88,c87d77cf9efd950b6e411c94e667563c88ec418ff721fa8aec0c5da20ce0c6a5,a7343ae2495c69bef8607bc4ae9090d30c89bb7de9d0a984b2b38d30a028583b,8dee347ce41c251f44fb82cd53f2dbf0d493dab24bc8d04aded45c515a2b7eb0
"0.8","300900","0","31001","100721","0.8","-10"
"0.7","302300","0","31002","100722","0.7","-40"
"0.8","302400","0","31003","100261","0.8","-40"
"0.9","302500","0","31004","100283","0.9","-20"
"0.9","301700","0","31005","101611","0.9","-10"
"0.7","310100","0","31006","102174","0.7","-40"
"0.3","399800","-80","31007","102751","0.3","-60"
"0.9","314901","-20","31008","103001","0.9","20"
"0.7","318405","30","31009","103232","0.7","-110"
"1","320100","0","31010","103371","1","-10"
