484ee0a0057bea2888746c328f594230ebbea449a7b99098c64f302c417ba6d9,b56578f060309e99f39e593f2216bf397287a2271a6dc797701979174e38c1ab,443817d0e7251f716cfd89c6fb1de7f38020a018558c675bb7f11bce84c4863f,9d995e3033df8b65a0f534d81ab220049c952aea075d22ecd49c097193617587,6e1b034b5b418f8fc801c969f6a97b96fb7945be750c3bf8463d0d23cdb06a13,87302f60593970b605be578f5dad3667a6075fa1e17ec18d47240484f15e4109
"6","60000001","1","4","101011","10011001"
"6","60000002","1","4","101071","10011001"
"6","60000003","1","4","101101","10011001"
"7","60000004","1","4","101131","10011001"
"6","60000005","1","4","101161","10011001"
"6","60000006","1","4","101191","10011001"
"7","60000007","1","4","101251","10011001"
"7","60000008","1","4","101281","10011001"
"7","60000009","1","4","101371","10011001"
"7","60000010","1","4","101401","10011001"
"7","60000011","1","4","101431","10011001"
"7","60000012","1","4","101521","10011001"
"7","60000013","1","4","101551","10011001"
"7","60000014","1","4","101581","10011001"
"7","60000015","1","4","101611","10011001"
"2","60000016","1","4","102011","10011002"
"2","60000017","1","4","102013","10011002"
"2","60000018","1","4","102014","10011002"
"2","60000019","1","4","102041","10011002"
"2","60000020","1","4","102071","10011002"
"2","60000021","1","4","102101","10011002"
"2","60000022","1","4","102131","10011002"
"2","60000023","1","4","102162","10011002"
"2","60000024","1","4","102163","10011002"
"2","60000025","1","4","102191","10011002"
"2","60000026","1","4","102192","10011002"
"2","60000027","1","4","102221","10011002"
"2","60000028","1","4","102222","10011002"
"2","60000029","1","4","102251","10011002"
"3","60000030","1","4","102252","10011002"
"3","60000031","1","4","102281","10011002"
"3","60000032","1","4","102461","10011002"
"3","60000033","1","4","102551","10011002"
"3","60000034","1","4","102552","10011002"
"3","60000035","1","4","102581","10011002"
"3","60000036","1","4","102582","10011002"
"3","60000037","1","4","102611","10011002"
"3","60000038","1","4","102612","10011002"
"3","60000039","1","4","122282","10011002"
"3","60000040","1","4","122311","10011002"
"3","60000041","1","4","122312","10011002"
