1d09420c7a07291e47feeb2a854424207ff7f1344ebde98543b3d7074bebad00,e0d1b322b5c3e2ae64b349b0cdb62ab0077b8b34eac16320fce9f40bb228a69a,77f365216bd3cca7c4d7df3e20499f143734132d456e1a3fc9c80c71aa5e22fd,d250881ed7b734a5c6059009bbf82a52989f472213dd5f5eef0f403a633ab7ec,810ed15699f0b3da175df37eea72357e4c7987231909db20a791422290ea2624,cc1a65a504fe6d5212e43c53fe342fa728d920c36d96d22b40fde34afbd1ce61,5e4876744acae6b69742b6d5e69d7377c7fecd8e543445602582033a0f634655
"0","1","1","1","1","0","1"
"0","2","1","4","2","0","1"
"12","1","1","5","3","0","1"
"0","2","1","2","4","0","1"
"0","1","2","8","5","0","1"
"0","1","1","1","1","0","2"
"0","2","1","1","2","0","2"
"0","1","1","6","3","0","2"
"0","2","1","1","4","0","2"
"0","3","1","1","5","0","2"
"11","1","3","3","6","0","2"
"0","2","1","1","7","0","2"
"0","1","1","3","8","0","2"
"0","1","2","1","9","0","2"
"0","1","1","1","1","0","3"
"0","2","1","10","2","0","3"
"0","1","1","11","3","0","3"
"0","2","1","5","4","0","3"
"0","3","1","6","5","0","3"
"0","3","1","3","6","0","3"
"9","4","2","3","7","0","3"
"0","4","1","7","8","0","3"
"0","4","1","1","9","0","3"
"8","1","3","9","10","0","3"
"0","2","1","4","11","0","3"
"0","1","1","1","12","0","3"
"0","4","1","3","13","0","3"
"11","3","2","3","14","0","3"
"10","1","1","4","1","0","4"
"12","1","1","12","2","0","4"
"10","2","1","1","3","0","4"
"4","1","1","11","4","0","4"
"0","2","1","1","5","0","4"
"13","1","1","4","6","0","4"
"6","2","1","2","7","0","4"
"0","1","1","8","8","0","4"
"10","2","1","8","9","0","4"
"10","1","1","1","1","0","5"
"5","2","1","11","2","0","5"
"7","1","1","1","3","0","5"
"12","2","1","5","4","0","5"
"11","1","1","1","5","0","5"
"4","2","1","3","6","0","5"
"12","2","1","5","7","0","5"
"6","1","1","2","8","0","5"
"4","2","1","11","9","0","5"
"8","1","1","8","10","0","5"
"10","1","1","4","11","0","5"
"10","2","1","5","12","0","5"
"7","1","1","8","1","0","6"
"10","2","1","4","2","0","6"
"11","1","1","1","3","0","6"
"8","2","1","8","4","0","6"
"6","1","1","11","5","0","6"
"7","1","2","2","6","0","6"
"4","1","1","5","7","0","6"
"10","2","1","4","8","0","6"
"13","1","2","10","9","0","6"
"7","1","1","8","1","0","7"
"10","2","1","12","2","0","7"
"12","2","1","4","3","0","7"
"7","1","1","11","4","0","7"
"10","1","1","1","5","0","7"
"12","2","1","5","6","0","7"
"11","2","1","5","7","0","7"
"10","2","1","8","8","0","7"
"8","1","1","2","9","0","7"
"7","1","1","8","10","0","7"
"9","2","1","4","11","0","7"
"10","1","2","1","1","0","8"
