573afad7fbd2f571e3ee06a9092a42afb8bad8064c0148417a4355bd443d48c5,a153a74a42d97abda4fe172b6be62133b72af3cfa22edc4b3ee40bfe46f9fe35,f1653714b18fdae7c011d23fcfda4dc1eabd07e3914aa62b8ded609bbaf2e13e,2f98f3d06db1166948977cf8abbd7b9a2c3899d6a61c434598292533aa410d7e,c0b17cf031921a94a659e153c459deacd880f444fc5346255476baa0deebeae0,b23d297c16469a95b115570a9df247146d12ac7c4728a0b8e0088c96e9a73635,a4360681778f8e167dd9928de78884b74b4f8eaa5b32e9bff0abb0698b2ea8a6,f6cb643d318268d64368686eb0f68404f621d43ed4249a95f3844b83a00788f0,370fa39d6c00199338b5204638697fbd3c547675a5d71d2b6c5e6085b2524864,710e2e5b2ad9d7b2f94c8dda6d08a04d7b5dcb9cf704ed7491e08abc71ad9675,e91e2f1866797ab6f32c461498fa8f94fad7fd980cf193f499a5689feb601f73,2ce7f942326df3b2fd35518541980f1c6e55d45ad090aa479dfb0ba449250334
"105901","1","2024/10/01 16:00:00","1","大蜂蜜雲霄飛車1","105801","10146","5146061","106001","20","8","91002"
"0","1","2024/10/02 16:00:00","1","大蜂蜜雲霄飛車2","100901","10146","5146062","0","20","8","91002"
"0","1","2024/10/04 16:00:00","1","大蜂蜜雲霄飛車3","106601","10146","5146063","0","20","8","91002"
"131501","2","2024/10/02 16:00:00","1","漂浮之花摩天輪1","105801","10146","5146064","0","20","8","91002"
"131001","2","2024/10/04 16:00:00","1","漂浮之花摩天輪2","130901","10146","5146065","0","20","8","91002"
"0","2","2024/10/03 16:00:00","1","漂浮之花摩天輪3","104001","10146","5146066","0","20","8","91002"
"106601","3","2024/10/01 16:00:00","1","莓果糖咖啡杯1","106501","10146","5146067","0","20","8","91002"
"106001","3","2024/10/03 16:00:00","1","莓果糖咖啡杯2","105801","10146","5146068","0","20","8","91002"
"131401","3","2024/10/02 16:00:00","1","莓果糖咖啡杯3","131301","10146","5146069","0","20","8","91002"
"0","4","2024/10/03 16:00:00","1","潛入3D世界1","102101","10146","5146070","0","20","8","91002"
"0","4","2024/10/01 16:00:00","1","潛入3D世界2","130901","10146","5146071","0","20","8","91002"
"0","0","2024/10/01 16:00:00","2","表演者介紹：植物羊","0","10146","5146072","0","20","8","91002"
"0","0","2024/10/01 16:00:00","2","表演者介紹：啾二＆啾三","0","10146","5146073","0","20","8","91002"
"0","0","2024/10/01 16:00:00","2","表演者介紹：玩具王","0","10146","5146074","0","20","8","91002"
"0","0","2024/10/01 16:00:00","2","表演者介紹：招財貓","0","10146","5146075","0","20","8","91002"
"0","0","2024/10/01 16:00:00","3","魔物遊行","0","10146","5146901","0","1","15","11001313"
