eda8c55a1f5f26a3d367c077e133fc8d7404d75a72edc26cace512d4e5ec1019,d1fb7b13a99554aa21c88049abbb5c6601c03bdd2b80ff999f4cb9e6ecbb112f,4ed395dd2716fa302ca98056ce0e66010964f3c540ef37864fa43a3f7129c879,c549f3f3bbf3b488d0b9547c7d254feeb306e72222f2bd884d2ebc20a46a848d,707be3716a9d8b314330ed0c6c568400361a484271d221b9704acc48556e0975,4f21a2bc92c879a6773f279465a80abbb0a9f9d5586009bfdb7aada7aa7c45a8,bafd7771958e6dd57d4b8ea2a550e699591d3837181a466a833309023c6baa41,5604d13bd0040bdc663ce8a3906d3cf109583d1ad1c651cd41b6a0d4ed741fc1
"4","2","200","1","5","104","3","111"
"4","2","2","1","5","14","3","211"
"4","2","2","1","5","103","3","311"
"4","2","2","1","5","102","3","411"
"4","2","200","1","5","104","3","511"
"4","2","250","1","5","1","3","611"
"4","2","3","1","5","101","3","711"
"4","2","3","1","5","100","3","811"
"4","2","200","1","5","104","3","911"
"4","2","250","1","5","1","3","1011"
"4","2","250","1","5","3","3","1111"
"4","2","250","1","5","5","3","1112"
"4","2","150","1","5","6","3","1211"
"4","2","150","1","5","7","3","1212"
"4","2","200","1","5","104","3","1311"
"4","2","2","1","5","103","3","1411"
"4","2","2","1","5","102","3","1511"
"4","2","250","1","5","1","3","1611"
"4","2","200","1","5","104","3","1711"
"4","2","500","1","5","2","3","1811"
"4","2","500","1","5","4","3","1812"
"4","2","3","1","5","101","3","1911"
"4","2","3","1","5","100","3","2011"
"4","2","200","1","5","104","3","2111"
"4","2","250","1","5","1","3","2211"
"4","2","3","1","5","100","3","2311"
"4","2","3","1","5","101","3","2411"
"4","2","200","1","5","104","3","2511"
"4","2","500","1","5","2","3","2611"
"4","2","500","1","5","4","3","2612"
"4","2","150","1","5","6","3","2711"
"4","2","150","1","5","7","3","2712"
"4","2","500","1","5","2","3","2811"
"4","2","500","1","5","4","3","2812"
"4","2","200","1","5","104","3","2911"
"4","2","250","1","5","3","3","3011"
"4","2","250","1","5","5","3","3012"
"4","2","3","1","5","100","3","3111"
"4","2","3","1","5","101","3","3211"
"4","2","200","1","5","104","3","3311"
"4","2","2","1","5","100","3","3411"
"4","2","200","1","5","104","3","3511"
"4","2","1","1","5","103","3","3611"
"4","2","1","1","5","102","3","3711"
"4","2","250","1","5","2","3","3811"
"4","2","250","1","5","4","3","3812"
"4","2","1","1","5","102","3","3911"
"4","2","200","1","5","104","3","4011"
"4","2","2","1","5","100","3","4111"
"4","2","150","1","5","6","3","4211"
"4","2","150","1","5","7","3","4212"
"4","2","200","1","5","104","3","4311"
"4","2","1","1","5","103","3","4411"
"4","2","200","1","5","104","3","4511"
"4","2","2","1","5","101","3","4611"
"4","2","1","1","5","102","3","4711"
"4","2","200","1","5","104","3","4811"
"4","2","1","1","5","103","3","4911"
"4","2","200","1","5","104","3","5011"
"4","2","2","1","5","101","3","5111"
"4","2","1","1","5","102","3","5211"
"4","2","200","1","5","104","3","5311"
"4","2","150","1","5","6","3","5411"
"4","2","150","1","5","7","3","5412"
"4","2","1","1","5","103","3","5511"
"4","2","200","1","5","104","3","5611"
"4","2","2","1","5","100","3","5711"
"4","2","2","1","5","101","3","5811"
"4","2","1","1","5","103","3","5911"
"4","2","200","1","5","104","3","6011"
"4","2","1","1","5","102","3","6111"
"4","2","250","1","5","2","3","6211"
"4","2","250","1","5","4","3","6212"
"4","2","200","1","5","104","3","6311"
"4","2","1","1","5","103","3","6411"
"4","2","1","1","5","102","3","6511"
"4","2","200","1","5","104","3","6611"
"4","2","150","1","5","6","3","6711"
"4","2","150","1","5","7","3","6712"
"4","2","1","1","5","102","3","6811"
"4","2","200","1","5","104","3","6911"
"4","2","1","1","5","103","3","7011"
"4","2","2","1","5","101","3","7111"
"4","2","2","1","5","100","3","7211"
"4","2","200","1","5","104","3","7311"
"4","2","1","1","5","103","3","7411"
"4","2","1","1","5","102","3","7511"
"4","2","250","1","5","2","3","7611"
"4","2","250","1","5","4","3","7612"
"4","2","200","1","5","104","3","7711"
"4","2","2","1","5","101","3","7811"
"4","2","2","1","5","100","3","7911"
"4","2","200","1","5","104","3","8011"
"4","2","150","1","5","6","3","8111"
"4","2","150","1","5","7","3","8112"
"4","2","2","1","5","101","3","8211"
"4","2","250","1","5","2","3","8311"
"4","2","250","1","5","4","3","8312"
"4","2","1","1","5","103","3","8411"
"4","2","200","1","5","104","3","8511"
"4","2","2","1","5","100","3","8611"
"4","2","1","1","5","102","3","8711"
"4","2","1","1","5","103","3","8811"
"4","2","200","1","5","104","3","8911"
"4","2","1","1","5","102","3","9011"
"4","2","200","1","5","104","3","9111"
"4","2","250","1","5","2","3","9211"
"4","2","250","1","5","4","3","9212"
"4","2","200","1","5","104","3","9311"
"4","2","1","1","5","102","3","9411"
"4","2","1","1","5","103","3","9511"
"4","2","200","1","5","104","3","9611"
"4","2","200","1","5","104","3","9711"
"4","2","2","1","5","101","3","9811"
"4","2","200","1","5","104","3","9911"
"4","2","1","1","5","102","3","10011"
"4","2","1","1","5","103","3","10111"
"4","2","200","1","5","104","3","10211"
"4","2","250","1","5","2","3","10311"
"4","2","250","1","5","4","3","10312"
"4","2","2","1","5","100","3","10411"
"4","2","200","1","5","104","3","10511"
"4","2","1","1","5","103","3","10611"
"4","2","200","1","5","104","3","10711"
"4","2","1","1","5","103","3","10811"
"4","2","2","1","5","100","3","10911"
"4","2","200","1","5","104","3","11011"
"4","2","2","1","5","101","3","11111"
"4","2","200","1","5","104","3","11211"
"4","2","1","1","5","102","3","11311"
"4","2","200","1","5","104","3","11411"
"4","2","1","1","5","103","3","11511"
"4","2","200","1","5","104","3","11611"
"4","2","1","1","5","102","3","11711"
"4","2","200","1","5","104","3","11811"
"4","2","150","1","5","6","3","11911"
"4","2","150","1","5","7","3","11912"
"4","2","200","1","5","104","3","12011"
"4","2","1","1","5","102","3","12111"
"4","2","1","1","5","103","3","12211"
"4","2","2","1","5","100","3","12311"
"4","2","1","1","5","102","3","12411"
"4","2","200","1","5","104","3","12511"
"4","2","2","1","5","101","3","12611"
