65d725c88d4628303005583fd0811aeb78a7ca8d575a380455b56e6cde3b7d7e,8525ac04a7a6695953f7b48e9c89dcc21e47b664ba6b08416490c13c4366cbcf,918732cedd5e7c88a1e7daaf101add5d8f9115f11cec2b0496c04e6793687274,ee9d4bffe79e29b4a4cae54927229fedd389fdafce6ae6e5c3f8deea3dd577c0,0f80a4a35d9d825fc602e2d1b7820d67cfa2b408e66b92f001f3b22ebc944367,794083b815fd8d8590ef259a42acf483431d1ed0605687c6cdb8aacae8ea8f80,a6501665fffdf81bc22845b7071e1b5056009f2f8b5ae929092a4e685132e5c4,37f42f7c187599b7ee8bdccc62255043570387ca3a630d68c180498a1eee183d,54945d4533f7f7e1bfc46ae622ce530951de6bf329a87e058226ed02d27d6601,38f8a899a578d7758da51f2a3cbaa6084100fce098f585e06e8e31d2e506da4f,20dec54a825d1e7f888b6bb362b8b730186a0a568d9fe00fcd3d4370601bc5a0,ae0ffc4c9b33b13b2a5703976ac01679250fe593a694314486d3fe743ef3645f,2c84315fde2e05b6fe6d8ae26d95bc1f984beb48156770b4725bf0b8e4877d79,ff6641a022e4614fde522d7cbe7e09bbbef4241510de18cab380d793169ba39a,9123034424c19f96478e875241fe2affcf09868f19a38f2e6bbba10b87bc5050,5b7266bbbe5cabbf26b7d015e6874adff0e47c006762603c41ac6e1b7a26213a,c814f3c6e1694da139f7aead48489acac091091700c5390fbab1ab9283da08aa,21834574cdfe0fd7d45a391f0c5b370e9c3bb76fa175a06c09c8f96d47fad620,16b61dd95f55735133ea8e10e2c230052bf33eb697c054ab0fc599902d4b80da,a20f911971dd45a576d32559060faa2b4f7a8740b46767dc22098d371dde49eb,3ced10b76d262a5b144ffd19adfc03ac9698088b7945bd7a71fd5024c5b1e8e9
"8","1","5000","2","0","0","0","31043","90006","91002","30","1","2","1","5000","0","1001","30","0","0","0"
"8","31","4500","2","0","0","0","31043","90006","91002","25","2","2","1","4500","0","1001","100","0","0","0"
"8","101","4000","2","0","0","0","31043","90006","91002","20","3","2","1","4000","0","1001","300","0","0","0"
"8","301","3500","2","0","0","0","31043","90006","91002","18","4","2","1","3500","0","1001","1000","0","0","0"
"8","1001","3000","2","0","0","0","31043","90006","91002","16","5","2","1","3000","0","1001","2000","0","0","0"
"8","2001","2000","2","0","0","0","31043","90006","91002","14","6","2","1","2000","0","1001","5000","0","0","0"
"8","5001","1500","2","0","0","0","31043","90006","91002","12","7","2","1","1500","0","1001","10000","0","0","0"
"8","10001","1000","2","0","0","0","31043","90006","91002","10","8","2","1","1000","0","1001","20000","0","0","0"
"8","20001","500","2","0","0","0","31043","90006","91002","5","9","2","1","500","0","1001","-1","0","0","0"
"8","1","5000","2","0","0","0","31022","90006","91002","30","10","2","1","20000","0","1002","1","0","0","0"
"8","2","5000","2","0","0","0","31022","90006","91002","30","11","2","1","15000","0","1002","2","0","0","0"
"8","3","5000","2","0","0","0","31022","90006","91002","30","12","2","1","12000","0","1002","3","0","0","0"
"8","4","5000","2","0","0","0","31022","90006","91002","30","13","2","1","10000","0","1002","20","0","0","0"
"8","21","4500","2","0","0","0","31022","90006","91002","25","14","2","1","8000","0","1002","50","0","0","0"
"8","51","4500","2","0","0","0","31022","90006","91002","25","15","2","1","6000","0","1002","100","0","0","0"
"8","101","4000","2","0","0","0","31022","90006","91002","20","16","2","1","4000","0","1002","250","0","0","0"
"8","251","3500","2","0","0","0","31022","90006","91002","18","17","2","1","3500","0","1002","500","0","0","0"
"8","501","3000","2","0","0","0","31022","90006","91002","16","18","2","1","3000","0","1002","1000","0","0","0"
"8","1001","2500","2","0","0","0","31022","90006","91002","14","19","2","1","2500","0","1002","2000","0","0","0"
"8","2001","2000","2","0","0","0","31022","90006","91002","12","20","2","1","2000","0","1002","3000","0","0","0"
