0ce98d349def67a98ba8604de2f55de68899efd2e1a0720d8a9c764c407b8ed0,74cbb960878eb9dec6272d606c34c809ec6b5a1759c87d87fb121ab8109ab8e8,aeaea2129ece2a7bf6238bd13f4a0d53a67f1398709cd2fd23e16ba30d48afa4,bfe4a8b348e5a5d56784e4ae42a786ae54982e0fa7d3f49f776e6ee90974bf28,e162c6e897439c629e5e815905f311a3dea9d64ef5104839b78735ed7fc541a0,9ae6c14821325edf907c1bb5f4a79d4f30c8afe72729d3157339e770677e68ce,7887859df03d2e9554cb9453e7ce0dca26d11d18735cd861df40e646fc382417,5b6b031e24ae3852f4c13be038f55654cdbcb628af8e43015164606af02ce200,a720e178b57c18e4946dc8be23d6cbb42c0a3f82f0a4dabe23611485c56a1d57,82ae0923ba3c2fe061fc71e521abf9a730ae6c70d346739a87fad6f7312333ad,4881273620226e1335c74e6402e407b12a49731fbb0cc8d4337ae58ad6dcde87,e6d10834eb9cf35f6f01b1ed07cfc11e6a82c7cd955140a4213fe36f49b34431
"1","1010001","0","0","0","0","3","1","1","4","0","0"
"2","1010002","0","0","0","0","0","0","1","2","vo_minigame_1005_nikki01_000","vo_minigame_1005"
"3","1010003","1","202","1.418","0","0","0","1","1","0","0"
"4","1010004","0","0","0","0","1","1.858","1","4","0","0"
"5","1010005","2","316","2.536","0","0","0","1","1","0","0"
"6","1010006","0","0","0","0","1","3.484","1","4","0","0"
"7","1010007","0","0","0","0","0","0","1","2","vo_minigame_1005_nikki01_001","vo_minigame_1005"
"8","1010008","3","183","1.131","0","0","0","1","1","0","0"
"9","1010009","0","0","0","0","1","1.407","1","4","0","0"
"10","1010010","3","318","1.043","183","0","0","1","1","0","0"
"11","1010011","0","0","0","0","1","1.719","1","4","0","0"
"12","1010012","3","389","0.69","318","0","0","1","1","0","0"
"13","1010013","0","0","0","0","1","0.69","1","4","0","0"
"14","1010014","4","244","1.694","0","0","0","1","1","0","0"
"15","1010015","0","0","0","0","1","2.204","1","4","0","0"
"16","1010016","4","384","1.298","244","0","0","1","1","0","0"
"17","1010017","0","0","0","0","1","1.298","1","4","0","0"
"18","1010018","5","67","1.118","0","0","0","1","1","0","0"
"19","1010019","0","0","0","0","1","1.199","1","4","0","0"
"20","1010020","5","103","0.958","67","0","0","1","1","0","0"
"21","1010021","0","0","0","0","1","1.269","1","4","0","0"
"22","1010022","5","394","1.373","103","0","0","1","1","0","0"
"23","1010023","0","0","0","0","1","1.373","1","4","0","0"
"24","1010024","6","0","0.193","0","0","0","1","1","0","0"
"25","1010025","0","0","0","0","1","0.552","1","4","0","0"
"26","1010026","6","368","2.64","0","0","0","1","1","0","0"
"27","1010027","0","0","0","0","1","3.195","1","4","0","0"
"28","1010028","7","64","0.599","0","0","0","1","1","0","0"
"29","1010029","0","0","0","0","1","0.929","1","4","0","0"
"30","1010030","7","315","1.302","64","0","0","1","1","0","0"
"31","1010031","0","0","0","0","1","2.395","1","4","0","0"
"32","1010032","0","0","0","0","0","0","1","2","vo_minigame_1005_nikki01_002","vo_minigame_1005"
"33","1010033","8","345","2.09","0","0","0","1","1","0","0"
"34","1010034","0","0","0","0","1","2.512","1","4","0","0"
"35","1010035","9","63","0.868","0","0","0","1","1","0","0"
