d958ebcc9ef341032cabdb9546e40608e4fc159416683ab87ed9a591af3eea9e,ba7a705ee76aea97b3c7474838fbeea8201d736ad20bfd85accbf16be954aaaf,33ba314d53514ff65cdda7dd92dab58eb44c68da65e374740baff69ddba269a3,9d9a6c24f576e9a412b14f5c6595ec58e9f3578e30d224efec623d0250938f15,383585c57af47d83ac69e8ff4eb38dbea42bb09352188220d73e47a81baae9bd,1e60b26c5d3f763dbb58fe95b47d9c12261de49b2a52614f7904056e8f010e8b
"2","0","10201","2","102010201","5201009"
"3","0","10201","2","102010202","5201010"
"502510","0","10201","3","102010301","0"
"501220","0","10202","2","102020201","0"
"501201","0","10202","3","102020301","0"
"500801","0","10203","2","102030201","0"
"500031","0","10203","3","102030301","0"
"502360","0","10204","2","102040201","0"
"500030","0","10204","3","102040301","0"
"502170","0","10205","2","102050201","0"
"502080","0","10205","3","102050301","0"
"501030","0","10206","2","102060201","0"
"500160","0","10206","3","102060301","0"
"500690","0","10207","2","102070201","0"
"500163","0","10207","3","102070301","0"
