19e5b2bb7a9c5090c6bef8b52e6e470a8d2cccda39c9bc06124e088855e28ff3,d00adb7ac439cc66786bdd5c028205cfdaa8cf0d2a641cb7ff24624253860893,4bf05fbcfd2ac96e7e8cee10e5a7003bb0c0eb0ff1761a1635d740d5bda0e6eb,5633ce379c3fe456c7e5fc18fb9d78517cb19260ce8ba514b3b7512360da2ded,3bc8cbe28c356e8dcd04e0b8e24cf31a2bbea4d9681b6cc2f36cd84a9871ce0a
"97501","97501","1","1","1"
"97502","97502","3","2","2"
"97503","97503","1","1","3"
"97504","97504","1","1","4"
"97505","97505","1","1","5"
"97506","97506","3","2","6"
"97507","97507","3","2","7"
"97508","97508","3","2","8"
"97509","97509","1","1","9"
"97510","97510","1","1","10"
"97511","97511","3","2","11"
"97512","97512","3","2","12"
"97513","97513","3","2","13"
"97514","97514","3","2","14"
"97515","97515","1","1","15"
"97516","97516","3","2","16"
"97517","97517","3","2","17"
"97518","97518","3","2","18"
"97519","97519","3","2","19"
"97520","97520","3","2","20"
"99657","97521","1","1","21"
"99668","97522","1","1","22"
"99686","97523","1","1","23"
"99696","97524","1","1","24"
"99711","97525","1","1","25"
