1f03eee69ab36e9fab00085ccdebd040dd27847e11f9def9c70515c1c7671290,619df022b83319a8003773fe6daa30f22352a408622a7412fbc70d2292e2a736,a608cda6aa24d7ee54ca2989d9e6423c9cf79fdb522863f943dc0e7253ce745e
"1","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ"
"2","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理攻擊力"
"3","[3C404E]所有角色的普通攻擊強化能力提升[-][FFBB00,CE4F00]20[-][3C404E][-]","全角色 強化普通攻擊"
"4","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法攻擊力"
"5","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理防禦力"
"6","[3C404E]所有角色的恢復強化能力提升[-][FFBB00,CE4F00]10[-][3C404E][-]","全角色 強化恢復"
"7","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法防禦力"
"8","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理暴擊率"
"9","[3C404E]所有角色的狀態異常命中能力提升[-][FFBB00,CE4F00]20[-][3C404E][-]","全角色 強化狀態異常命中"
"10","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法暴擊率"
"11","[3C404E]挑戰開始時，可以多持有[-][FFBB00,CE4F00]1000[-][3C404E]始源盧幣出發[-]","增加挑戰開始時的始源盧幣"
"12","[3C404E]所有角色的物理暴擊傷害提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理暴擊傷害"
"13","[3C404E]所有角色的增益強化能力提升[-][FFBB00,CE4F00]10[-][3C404E]（※目標的強化效果與職階專精共通）[-]","全角色 強化增益"
"14","[3C404E]所有角色的魔法暴擊傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化魔法暴擊傷害"
"15","[3C404E]所有角色物理造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化物理造成的傷害"
"16","[3C404E]所有角色的減益強化能力提升[-][FFBB00,CE4F00]10[-][3C404E]（※目標的弱化效果與職階專精共通）[-]","全角色 強化減益"
"17","[3C404E]所有角色魔法造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化魔法造成的傷害"
"18","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ"
"19","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","強化屬性獎勵"
"20","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ"
"21","[3C404E]挑戰中，陳列於商店的道具價格[-][FFBB00,CE4F00]25％OFF[-][3C404E]（僅使用「始源盧幣」購買的商店有效）[-]","始源盧幣商店折扣"
"22","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理攻擊力"
"23","[3C404E]所有角色的普通攻擊強化能力提升[-][FFBB00,CE4F00]30[-][3C404E][-]","全角色 強化普通攻擊"
"24","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法攻擊力"
"25","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理防禦力"
"26","[3C404E]所有角色的恢復強化能力提升[-][FFBB00,CE4F00]15[-][3C404E][-]","全角色 強化恢復"
