2e2c6aa581d501ccf84f6aa6e6d65855fd192daa1ec9b63cc6fb25d74d9a1195,36e27263f3608644ccef8a423e5668d58f7604310ba5ba07075d3cf18a465979,e53cb4982cb5fd8cef7f75475d7a456c533cb4529cfd9faaada48b5a64ad81e8,9f0664190e4a28a60d2f33d6ee492477f218fea2e9bde30a7f4771f10ee57e7d,722a214732e37f50faa41e921d6d3a5a1faa9380f238b52e2eee7d07166d0124
"8000000","1001","94002","1","12"
"40","1001","90005","2","2"
"8000000","1002","94002","3","12"
"50","1002","90005","4","2"
"8000000","1003","94002","5","12"
"60","1003","90005","6","2"
"8000000","1004","94002","7","12"
"70","1004","90005","8","2"
"150","1005","91002","9","8"
"8000000","1005","94002","10","12"
"80","1005","90005","11","2"
"8000000","1006","94002","12","12"
"90","1006","90005","13","2"
"300","1007","91002","14","8"
"8000000","1007","94002","15","12"
"100","1007","90005","16","2"
"8000000","2001","94002","17","12"
"8000000","2002","94002","18","12"
"8000000","2003","94002","19","12"
"8000000","2004","94002","20","12"
"8000000","2005","94002","21","12"
"8000000","2006","94002","22","12"
"8000000","2007","94002","23","12"
"8000000","2008","94002","24","12"
"8000000","2009","94002","25","12"
"8000000","2010","94002","26","12"
"8000000","7001","94002","27","12"
"5","7001","90005","28","2"
"8000000","7002","94002","29","12"
"5","7002","90005","30","2"
"8000000","7003","94002","31","12"
"5","7003","90005","32","2"
"8000000","7004","94002","33","12"
"10","7004","90005","34","2"
"8000000","7005","94002","35","12"
"10","7005","90005","36","2"
"8000000","7006","94002","37","12"
"10","7006","90005","38","2"
"8000000","7007","94002","39","12"
"15","7007","90005","40","2"
"8000000","7008","94002","41","12"
"15","7008","90005","42","2"
"8000000","7009","94002","43","12"
"15","7009","90005","44","2"
"8000000","7010","94002","45","12"
"20","7010","90005","46","2"
"8000000","7011","94002","47","12"
"20","7011","90005","48","2"
"8000000","7012","94002","49","12"
"20","7012","90005","50","2"
"8000000","7013","94002","51","12"
"25","7013","90005","52","2"
"8000000","7014","94002","53","12"
"25","7014","90005","54","2"
"8000000","7015","94002","55","12"
"25","7015","90005","56","2"
"8000000","7016","94002","57","12"
"30","7016","90005","58","2"
"8000000","7017","94002","59","12"
"30","7017","90005","60","2"
"8000000","7018","94002","61","12"
"30","7018","90005","62","2"
"8000000","7019","94002","63","12"
"35","7019","90005","64","2"
"8000000","7020","94002","65","12"
"35","7020","90005","66","2"
"8000000","7021","94002","67","12"
"35","7021","90005","68","2"
"8000000","7022","94002","69","12"
"40","7022","90005","70","2"
"8000000","8001","94002","71","12"
"1000","8001","90008","72","2"
"8000000","8002","94002","73","12"
"1250","8002","90008","74","2"
"8000000","8003","94002","75","12"
"1500","8003","90008","76","2"
"8000000","8004","94002","77","12"
"1750","8004","90008","78","2"
"8000000","8005","94002","79","12"
"2000","8005","90008","80","2"
"8000000","8006","94002","81","12"
"2250","8006","90008","82","2"
"8000000","8007","94002","83","12"
"2500","8007","90008","84","2"
