1d13db7104145686f6773ba0ea5659309c34e22c93d9add72ff589d3f1c16128,4addda2068634009dfdfff2f0addeb17e0dedfd0610bf146fc88f1250539967c,3d7e7fa07e85d1dc6a0e1607fc1313ac06d33ff256b6ca6f19c21805cbf41ddf,eb0cd6beb1632cc49b76a173af5569f071be3cb2bdcfd710ec39132063306f16,84054bacf5a5777577567ea741f2a557f48243a948715dd1957a1d8ee82b99f0,c26b230c5d4add8f9be3d519bb779ce78a52f22be16b67b753e0ca56120e3637,8e41450cc5cf65124eed1ee78a46c49ff46ba246e40580ccf8e61cbcc7389bda
"810010011","810100105","1","810100103","810100104","810100101","810100102"
"810010021","810100205","2","810100203","810100204","810100201","810100202"
"810010031","810100305","3","810100303","810100304","810100301","810100302"
"810010041","810100405","4","810100403","810100404","810100401","810100402"
"810010051","810100505","5","810100503","810100504","810100501","810100502"
"810010061","810100605","6","810100603","810100604","810100601","810100602"
"810010071","810100705","7","810100703","810100704","810100701","810100702"
"810010081","810100805","8","810100803","810100804","810100801","810100802"
"810010091","810100905","9","810100903","810100904","810100901","810100902"
"810010101","0","10","0","0","810101001","0"
"810010111","810101105","11","810101103","810101104","810101101","810101102"
"810010121","810101205","12","810101203","810101204","810101201","810101202"
"810010131","810101305","13","810101303","810101304","810101301","810101302"
"810010141","810101405","14","810101403","810101404","810101401","810101402"
"810010151","810101505","15","810101503","810101504","810101501","810101502"
"810010161","810101605","16","810101603","810101604","810101601","810101602"
"810010171","810101705","17","810101703","810101704","810101701","810101702"
"810010181","810101805","18","810101803","810101804","810101801","810101802"
"810010191","810101905","19","810101903","810101904","810101901","810101902"
"810010201","0","20","0","0","810102001","0"
"810010211","810102105","21","810102103","810102104","810102101","810102102"
"810010221","810102205","22","810102203","810102204","810102201","810102202"
"810010231","810102305","23","810102303","810102304","810102301","810102302"
"810010241","810102405","24","810102403","810102404","810102401","810102402"
"810010251","810102505","25","810102503","810102504","810102501","810102502"
"810010261","810102605","26","810102603","810102604","810102601","810102602"
"810010271","810102705","27","810102703","810102704","810102701","810102702"
"810010281","810102805","28","810102803","810102804","810102801","810102802"
"810010291","810102905","29","810102903","810102904","810102901","810102902"
"810010301","0","30","0","0","810103001","0"
"810010311","810103105","31","810103103","810103104","810103101","810103102"
"810010321","810103205","32","810103203","810103204","810103201","810103202"
"810010331","810103305","33","810103303","810103304","810103301","810103302"
