80a746d33f574a6d7e950c40c924303e4f23993d0438629adbe8cb23ddcdc7fd,54a526ce3e2d7729a5d1bd2b3ce2ac6eb5e803d6a6179384ae446084f1041700,9619c78adebf97dc36a5c3c93f3ffdca8d49d2439632260788f09e59fc38e534,ab12c3dda31be870d149fb97eea787cc8b6ec2ac176005acb6fed03cffc1e3c3,02ba69e2e9a156d53023f17c83491f73a36a64e0d80139c722b4438a7a9fe8bb,85bdec6aa9eb21cbbe7cd96930dce6c43162a58019977f1af12d7c42fa150293
"11101","vo_caravan_105801_start_001","1","1","vo_caravan","1"
"11102","vo_caravan_105801_start_002","1","1","vo_caravan","1"
"12101","vo_caravan_105901_start_001","1","1","vo_caravan","2"
"12102","vo_caravan_105901_start_002","1","1","vo_caravan","2"
"13101","vo_caravan_106001_start_001","1","1","vo_caravan","3"
"13102","vo_caravan_106001_start_002","1","1","vo_caravan","3"
"14101","vo_caravan_106401_start_001","1","1","vo_caravan","4"
"14102","vo_caravan_106401_start_002","1","1","vo_caravan","4"
"21101","vo_caravan_105801_dice_001","2","1","vo_caravan","1"
"21102","vo_caravan_105801_dice_002","2","1","vo_caravan","1"
"22101","vo_caravan_105901_dice_001","2","1","vo_caravan","2"
"22102","vo_caravan_105901_dice_002","2","1","vo_caravan","2"
"23101","vo_caravan_106001_dice_001","2","1","vo_caravan","3"
"23102","vo_caravan_106001_dice_002","2","1","vo_caravan","3"
"24101","vo_caravan_106401_dice_001","2","1","vo_caravan","4"
"24102","vo_caravan_106401_dice_002","2","1","vo_caravan","4"
"31101","vo_caravan_105801_slot_001","3","1","vo_caravan","1"
"32101","vo_caravan_105901_slot_001","3","1","vo_caravan","2"
"33101","vo_caravan_106001_slot_001","3","1","vo_caravan","3"
"34101","vo_caravan_106401_slot_001","3","1","vo_caravan","4"
"41101","vo_caravan_105801_dish_001","4","1","vo_caravan","1"
"41102","vo_caravan_105801_dish_002","4","1","vo_caravan","1"
"42101","vo_caravan_105901_dish_001","4","1","vo_caravan","2"
"42102","vo_caravan_105901_dish_002","4","1","vo_caravan","2"
"42201","se_caravan_food_peko","4","2","se_caravan","1"
"42202","se_caravan_food_coccoro","4","2","se_caravan","2"
"42203","se_caravan_food_kyaru","4","2","se_caravan","3"
"42204","se_caravan_food_coccoro","4","2","se_caravan","4"
"42205","se_caravan_food_onigiri","4","2","se_caravan","100"
"43101","vo_caravan_106001_dish_001","4","1","vo_caravan","3"
"43102","vo_caravan_106001_dish_002","4","1","vo_caravan","3"
"44101","vo_caravan_106401_dish_001","4","1","vo_caravan","4"
"44102","vo_caravan_106401_dish_002","4","1","vo_caravan","4"
"45101","vo_caravan_onigiri_dish_001","4","1","vo_caravan","100"
"61101","vo_caravan_105801_goal_001","6","1","vo_caravan","0"
"61201","vo_caravan_105801_win_001","61","1","vo_caravan","0"
"61301","vo_caravan_105801_lose_001","62","1","vo_caravan","0"
"62101","vo_caravan_105901_goal_001","6","1","vo_caravan","0"
"62201","vo_caravan_105901_win_001","61","1","vo_caravan","0"
"62301","vo_caravan_105901_lose_001","62","1","vo_caravan","0"
"63101","vo_caravan_106001_goal_001","6","1","vo_caravan","0"
"63201","vo_caravan_106001_win_001","61","1","vo_caravan","0"
"63301","vo_caravan_106001_lose_001","62","1","vo_caravan","0"
"64101","vo_caravan_118501_goal_001","6","1","vo_caravan","0"
"65101","vo_caravan_106401_goal_001","6","1","vo_caravan","0"
"65201","vo_caravan_106401_win_001","61","1","vo_caravan","0"
"65301","vo_caravan_106401_lose_001","62","1","vo_caravan","0"
"71101","vo_caravan_105801_appraise_001","7","1","vo_caravan","0"
"72101","vo_caravan_105901_appraise_001","7","1","vo_caravan","0"
"73101","vo_caravan_106001_appraise_001","7","1","vo_caravan","0"
"74101","vo_caravan_106401_appraise_001","7","1","vo_caravan","0"
"81101","vo_caravan_105801_result_001","8","1","vo_caravan","0"
"82101","vo_caravan_105901_result_001","8","1","vo_caravan","0"
"83101","vo_caravan_106001_result_001","8","1","vo_caravan","0"
"84101","vo_caravan_106401_result_001","8","1","vo_caravan","0"
"211101","vo_caravan_319700_dice_001","2","1","vo_caravan","11"
"211102","vo_caravan_319700_dice_002","2","1","vo_caravan","11"
"212101","vo_caravan_319800_dice_001","2","1","vo_caravan","12"
"212102","vo_caravan_319800_dice_002","2","1","vo_caravan","12"
"213101","vo_caravan_319900_dice_001","2","1","vo_caravan","13"
"213102","vo_caravan_319900_dice_002","2","1","vo_caravan","13"
