6cce163dc54ff5cac43863e01b3aa8567d75449ab1590975ade31537eefeb75d,6e09355e4ce259dfa6104399a2b592e3fc0f35c4988e6b678e30f50a5573cd14,4e1ff26946347ffe8eaa67e4a85057882bff2f8349145b55fc1db7da0b69d0fa,1ff5a83e6e011e18af5f56d5b5f3a875050f360b3201a6690044001c5c7ab315,3d7beac330a05433cf8b7fcea0f55262c845c13d952028dab5fa50355f70639f,18f420582384d22531a03b6ee525571c384093b082d00a07e1486b2526c476f9,8b3f53772c19a9938c3c6719fc51dfb3e1b43fc54e6a9f171e3cc59ebe9d35a7,be79e65f593feabc23b596f4edd859966d85145af34ab42c6e28b8a72d3fc4f4,f36075f3957fe8df9516ccdec2ea83240aab9f12fe21cc0be32684cb7ed4424b,17629ed91650885ec43c6bed5b46ef453e6689b9379aa753ace8fc1bdf5ea562,da50d0318526e3db82ea245e49230c7f94a55e41ec293a00a8110f6c3048576e,581822c2d1c40ea6d02f48ec1407bd3b939f73bd54b796d8259d30f6b77c2465,ad6b57ae636574dabf8ae4180990950b82db7279508139ffb0e5b373af341720,ec05c7e268c89e2052b831683fcc690707c34cec43bb88a27c4f7c52813c9c78,be7860606cf0e62ac58c212a631ad7201e8c4e322055390e47068ff688eedb60
"0","0","0","0","110690103","0","101691011","1","0","101691001","0","0","0","0","0"
"0","0","0","0","110700103","0","101701011","1","0","101701001","0","0","0","0","0"
"0","0","0","0","110710103","0","101711011","1","0","101711001","0","0","0","0","0"
"16","0","0","0","610132007","0","610132504","1","0","102311001","0","0","0","61013201","0"
"16","0","0","0","610132008","0","610132504","1","0","102311002","0","0","0","61013201","0"
"16","0","0","0","610132009","0","610132504","1","0","102311003","0","0","0","61013201","0"
"16","0","0","0","610134007","0","610134504","1","0","102312001","0","0","0","61013401","0"
"16","0","0","0","610134008","0","610134504","1","0","102312002","0","0","0","61013401","0"
"16","0","0","0","610134009","0","610134504","1","0","102312003","0","0","0","61013401","0"
"16","0","0","0","610136004","0","610136404","1","0","102401001","0","0","0","61013601","0"
"16","0","0","0","610136005","0","610136405","1","0","102401002","0","0","0","61013601","0"
"16","0","0","0","610136006","0","610136406","1","0","102401003","0","0","0","61013601","0"
"16","0","0","0","610136007","0","610136504","1","0","102401004","0","0","0","61013601","0"
"16","0","0","0","610136008","0","610136505","1","0","102401005","0","0","0","61013601","0"
"16","0","0","0","610136009","0","610136506","1","0","102401006","0","0","0","61013601","0"
