391a4faad63be9ecff512aa205af9055d4fccb57c0ecb042fb30c89d5d5d68ee,c864e6b28dea437e7099e541900fe6fd67462b9a19192080ae66c593da4296d7,d3c495aaff69ebaddbf8b208a7183a4a5dc103d64fca23cbe2c16c01ad8bf3c8,2e06eddeac7334d1b4fa38a1fee6ab1c3e2bfc433858cc8ecadb4d286a0a5e89,fb5f08615fee4f551785d61a8babb705cc8017d5d39d3afd778efb264b9269dd,ca2595780f71d0e083e158e10c62f886c979d1d1a0bee7385db873574b7d4790,c305199bca10e7c0825926af28b68971fcb5746dbe20dfb8c86e0c2887e453bd,0a72c0d14ebe6dfc394a878c4a3f9bc599af629ec72f6a3b1e2ac1c875918948,11c61b788bf0cb589ae7a37e8ae26864687586488324b1c7f1ba2b3300455dc6,6bfb106254b66c65e9d74162fb0394ee25e838c462777dffad4e5496a84ec814,38edfa51dcb9d8cb289f8d158a9920702de2de956909507762ae3e144835a8fd
"23001","1","","","2","0","0","11","0","30000","30"
"90007","2","","","2","0","0","12","0","30000","2000"
"20003","3","","","2","0","0","13","0","30000","20"
"91002","4","","","8","0","0","14","0","30000","50"
"94002","5","","","12","0","0","15","0","30000","50000"
"91002","6","","","8","0","0","16","0","30000","50"
"90007","7","","","2","0","0","17","0","30000","3000"
"20003","8","","","2","0","0","18","0","30000","20"
"91002","9","","","8","0","0","19","0","30000","80"
"24001","10","","","2","0","0","20","0","30000","1"
"91002","11","","","8","0","0","21","0","30000","80"
"22002","12","","","2","0","0","22","0","30000","20"
"20003","13","","","2","0","0","23","0","30000","20"
"91002","14","","","8","0","0","24","0","30000","100"
"24001","15","","","2","0","0","25","0","30000","1"
"91002","1","今天是紀念日，要慶祝才行呢！\n燒肉、壽司、披薩、蛋糕～☆\n能和你一起開派對，\n我好幸福～♪","貪吃佩可","8","0","1","27","107501","40001","150"
"91002","2","能夠在今天迎來這個紀念日，\n全拜主人的器量所賜。\n真不愧是主人呢。\n真了不起真了不起♪","可可蘿","8","0","1","28","107601","40001","150"
"91002","3","你還挺能幹的嘛！\n我有點…還蠻…非、非常\n對你刮目相看了呢。\n我就誇誇你吧♪","凱留","8","0","1","29","107801","40001","150"
"91002","4","對您和我來說，\n今天是個特別的日子。\n因為有了您的支持，\n我才能夠如此努力！","鈴莓","8","0","1","30","107701","40001","150"
