ee3d69dbd54bc3c60432a8e1cfe647dd22fe556256d5f5828e8fa0d1841919b2,3c236d072b31d83b86a30a16ebf5f4ad0868e01218271b8b578b95da463ddc0f,83aaea29af1b1a670639dc7b749337332c00a287d23e67730e2ad2ff9b8316de,bc5defc47519fe3f6ee223fa17608a0b5d913cf5819d7e5e87eaa4e55f083727,a6a4810df5a746d6c7a25e414391add2954156c6619fd5371e5e91f2b0c93ba9,6e4d0748d601726959c7e8652ee921c4d096eeef5d28a8a2f31c470d2a0a8f54
"2146041","211","212","1","803100263","3001"
"2146042","211","212","1","803100263","3002"
"2146043","211","212","1","803100263","3003"
"2146044","211","212","1","803100263","3004"
"2147041","213","212","1","803100272","3006"
"2147042","213","212","1","803100272","3007"
"2145039","202","313","1","803100253","30011"
"2145040","105","302","0","803100253","30012"
"2145069","204","311","1","803100256","30021"
"2145070","205","312","1","803100256","30022"
"2145099","212","310","1","803100259","30031"
"2145100","107","301","0","803100259","30032"
"2146039","110","307","0","803100262","30041"
"2146040","105","302","0","803100262","30042"
"2146081","203","314","1","803100267","30051"
"2147019","205","312","1","803100269","30061"
"2147020","106","303","0","803100269","30062"
"2147039","202","313","1","803100271","30071"
"2147040","212","310","1","803100271","30072"
"2145011","104","100","0","803100251","300101"
"2145012","104","100","0","803100251","300102"
"2145013","105","102","0","803100251","300103"
"2145014","104","100","0","803100251","300104"
"2145015","105","102","0","803100251","300105"
"2145016","106","103","0","803100251","300106"
"2145017","105","102","0","803100251","300107"
"2145018","106","103","0","803100251","300108"
"2145019","204","111","1","803100251","300109"
"2145020","104","100","0","803100251","300110"
"2145021","104","100","0","803100252","300111"
"2145022","105","102","0","803100252","300112"
"2145023","104","100","0","803100252","300113"
"2145024","105","102","0","803100252","300114"
"2145025","106","103","0","803100252","300115"
"2145026","105","102","0","803100252","300116"
"2145027","106","103","0","803100252","300117"
"2145028","204","111","1","803100252","300118"
"2145029","104","100","0","803100252","300119"
"2145030","104","100","0","803100252","300120"
"2145031","105","102","0","803100253","300121"
"2145032","104","100","0","803100253","300122"
"2145033","105","102","0","803100253","300123"
"2145034","208","112","1","803100253","300124"
"2145035","212","110","1","803100253","300125"
"2145036","104","100","0","803100253","300126"
"2145037","105","102","0","803100253","300127"
"2145038","106","103","0","803100253","300128"
"2145041","107","101","0","803100254","300201"
"2145042","107","101","0","803100254","300202"
"2145043","105","102","0","803100254","300203"
"2145044","106","103","0","803100254","300204"
"2145045","202","113","1","803100254","300205"
"2145046","203","114","1","803100254","300206"
"2145047","107","101","0","803100254","300207"
"2145048","202","113","1","803100254","300208"
"2145049","203","114","1","803100254","300209"
"2145050","107","101","0","803100254","300210"
"2145051","107","101","0","803100255","300211"
"2145052","105","102","0","803100255","300212"
"2145053","106","103","0","803100255","300213"
"2145054","202","113","1","803100255","300214"
"2145055","203","114","1","803100255","300215"
"2145056","107","101","0","803100255","300216"
"2145057","202","113","1","803100255","300217"
"2145058","203","114","1","803100255","300218"
"2145059","107","101","0","803100255","300219"
"2145060","107","101","0","803100255","300220"
"2145061","105","102","0","803100256","300221"
"2145062","106","103","0","803100256","300222"
"2145063","107","101","0","803100256","300223"
"2145064","208","112","1","803100256","300224"
"2145065","212","110","1","803100256","300225"
"2145066","105","102","0","803100256","300226"
"2145067","106","103","0","803100256","300227"
"2145068","107","101","0","803100256","300228"
"2145071","104","100","0","803100257","300301"
"2145072","107","101","0","803100257","300302"
"2145073","107","101","0","803100257","300303"
"2145074","202","113","1","803100257","300304"
"2145075","203","114","1","803100257","300305"
"2145076","104","100","0","803100257","300306"
"2145077","107","101","0","803100257","300307"
"2145078","204","111","1","803100257","300308"
"2145079","205","112","1","803100257","300309"
"2145080","104","100","0","803100257","300310"
"2145081","107","101","0","803100258","300311"
"2145082","107","101","0","803100258","300312"
"2145083","202","113","1","803100258","300313"
"2145084","203","114","1","803100258","300314"
"2145085","104","100","0","803100258","300315"
"2145086","107","101","0","803100258","300316"
"2145087","204","111","1","803100258","300317"
"2145088","205","112","1","803100258","300318"
"2145089","104","100","0","803100258","300319"
"2145090","107","101","0","803100258","300320"
"2145091","104","100","0","803100259","300321"
"2145092","107","101","0","803100259","300322"
"2145093","202","113","1","803100259","300323"
"2145094","208","112","1","803100259","300324"
"2145095","104","100","0","803100259","300325"
"2145096","107","101","0","803100259","300326"
"2145097","204","111","1","803100259","300327"
"2145098","205","112","1","803100259","300328"
"2146011","105","102","0","803100260","300401"
"2146012","105","102","0","803100260","300402"
"2146013","202","113","1","803100260","300403"
"2146014","203","114","1","803100260","300404"
"2146015","105","102","0","803100260","300405"
"2146016","202","113","1","803100260","300406"
"2146017","203","114","1","803100260","300407"
"2146018","105","102","0","803100260","300408"
"2146019","105","102","0","803100260","300409"
"2146020","105","102","0","803100260","300410"
"2146021","105","102","0","803100261","300411"
"2146022","202","113","1","803100261","300412"
"2146023","203","114","1","803100261","300413"
"2146024","105","102","0","803100261","300414"
"2146025","202","113","1","803100261","300415"
"2146026","203","114","1","803100261","300416"
"2146027","105","102","0","803100261","300417"
"2146028","105","102","0","803100261","300418"
"2146029","202","113","1","803100261","300419"
"2146030","202","113","1","803100261","300420"
"2146031","202","113","1","803100262","300421"
"2146032","203","114","1","803100262","300422"
"2146033","105","102","0","803100262","300423"
"2146034","208","112","1","803100262","300424"
"2146035","212","110","1","803100262","300425"
"2146036","202","113","1","803100262","300426"
"2146037","202","113","1","803100262","300427"
"2146038","105","102","0","803100262","300428"
"2146051","104","100","0","803100264","300501"
"2146052","104","100","0","803100264","300502"
"2146053","104","100","0","803100264","300503"
"2146054","104","100","0","803100264","300504"
"2146055","105","102","0","803100264","300505"
"2146056","106","103","0","803100264","300506"
"2146057","104","100","0","803100264","300507"
"2146058","104","100","0","803100264","300508"
"2146059","105","102","0","803100264","300509"
"2146060","106","103","0","803100264","300510"
"2146061","104","100","0","803100265","300511"
"2146062","104","100","0","803100265","300512"
"2146063","104","100","0","803100265","300513"
"2146064","104","100","0","803100265","300514"
"2146065","105","102","0","803100265","300515"
"2146066","106","103","0","803100265","300516"
"2146067","104","100","0","803100265","300517"
"2146068","104","100","0","803100265","300518"
"2146069","105","102","0","803100265","300519"
"2146070","106","103","0","803100265","300520"
"2146071","104","100","0","803100266","300521"
"2146072","104","100","0","803100266","300522"
"2146073","202","113","1","803100266","300523"
"2146074","203","114","1","803100266","300524"
"2146075","104","100","0","803100266","300525"
"2146076","208","112","1","803100266","300526"
"2146077","212","110","1","803100266","300527"
"2146078","202","113","1","803100266","300528"
"2146079","203","114","1","803100266","300529"
"2146080","104","100","0","803100266","300530"
"2146091","203","114","1","803100268","300601"
"2146092","202","113","1","803100268","300602"
"2146093","105","102","0","803100268","300603"
"2146094","203","114","1","803100268","300604"
"2146095","106","103","0","803100268","300605"
