f053414e123fda10f71a8be0ed20ab9b01a270cf7de692a905808a8a9278c9ce,abb291ff21796c847b1a4d23f514585c9ffca16e74497f05106177e9dcb7d714,b81ef1afee3eb7c125f4f5d457c3a569e0844aa466543505e7cf0d7ea5d3a877,2651805e6c44cf2e4b41101da1323112e85a59cd2cf5c5970d9af15da6df1826,4e2f20306c55f5a5418525306f989680f6b27afddd96f57ee7dec04ea1d0fb58,404ea14c3c0e4c98a5b5ac6d2b9af72d5e9823c5339b9298335ad4d5b09c3c98,48c1611a613a1ef44037261b73971ae0476df95e14a1598f6e274f4359e1f23f,9a15ef77cf37830253e9861c5de38f7c2be24099ec7a4d857e0207857e3650ed,20a7e8088726208ccf07ac2a042ccf90b9513045bd60a833fbc7c326f0dcb3c8,590bf60f567b95d886a8822d02b4bbbad59b25c1c0f951822f185c61388c6a9f,0cf37df91799813817d3a24d98a0ccfcc56934c60b1de7c6446bc50a300104d7
"100","0","1010001","-496","105831","-157","1","1.3","1","1","01_uek_cmn_idol_def_N"
"110","0","1010002","-355","105931","-178","1","1.3","1","1","01_uek_cmn_idol_def_N"
"100","1","1010003","410","112631","-124","1","1.3","1","1","01_uek_cmn_idol_def_N"
"110","1","1010004","389","112531","-258","1","1.3","1","1","01_uek_cmn_idol_def_N"
"120","0","1010005","-415","106031","-234","1","1.3","1","1","01_uek_cmn_idol_def_N"
"120","1","1010006","262","112431","-235","1","1.3","1","1","01_uek_cmn_idol_def_N"
"0","0.2","1010007","01_uek_cmn_pose03","01_uek_01_peko","1","1","0","3","105831",""
"0","0.2","1010008","01_uek_talk_normal","01_uek_01_kokkoro","1","1","0","3","105931",""
"0","0.2","1010009","01_uek_cmn_pose02","01_uek_01_kyaru","1","1","0","3","106031",""
"0","0.2","1010010","01_uek_cmn_pose03","01_uek_01_mio","1","1","0","3","112631",""
"0","0.2","1010011","01_uek_cmn_pose02","01_uek_01_rin","1","1","0","3","112531",""
"0","0.2","1010012","01_uek_cmn_pose01","01_uek_01_uduki","1","1","0","3","112431",""
"","","1010013","","","","1","","93","3",""
"1","","1010014","","01_uek_cmn_pose03","0","1","0.2","3","112631",""
"1","","1010015","","01_uek_cmn_pose01","0","1","0.2","3","112431",""
"1","","1010016","","01_uek_cmn_pose03","0","1","0.2","3","105831",""
"0","0.1","1010017","01_uek_cmn_idol_def_N","01_uek_talk_normal","1","1","0.2","3","105931",""
"0","0.1","1010018","01_uek_cmn_idol_def_N","01_uek_cmn_pose02","1","1","0.2","3","106031",""
"0","0.1","1010019","01_uek_cmn_idol_def_N","01_uek_cmn_pose02","1","1","0.2","3","112531",""
"10","","1010020","","唔哇……！\n變得超大的，\n太讚了吧☆","","1","","11","105831",""
"","","1010021","","","","1","","91","0",""
"10","","1010022","","盆栽小花已經長到\n讓人猜不透究竟會\n高到什麼程度了。","","1","","11","105931",""
"","","1010023","","","","1","","91","0",""
"10","","1010024","","這種情況下，\n就讓人想看看\n上面是怎樣呢！","","1","","11","112631",""
"","","1010025","","","","1","","91","0",""
"10","","1010026","","確實是呢……而且\n說不定還能知道\n變成這樣的原因。","","1","","11","112531",""
"","","1010027","","","","1","","91","0",""
"10","","1010028","","反正我也挺感興趣，\n就陪陪妳們吧。","","1","","11","106031",""
"","","1010029","","","","1","","91","0",""
"10","","1010030","","好♪大家一起\n加油以登頂\n為目標吧！","","1","","11","112431",""
"","","1010031","","","","1","","91","0",""
"100","0","1020001","0","104431","0","2","1.3","1","1","02_uek_cmn_idol_def_N"
"0","","1020002","02_uek_02_ilya_loop","02_uek_02_ilya","0","2","","3","104431",""
"10","","1020003","0","哈～哈哈哈！\n妾身要踏出征服\n世界的第一步了！","","2","","11","104431",""
"","","1020004","","","0","2","","91","0",""
"100","0","1030001","-140","105831","-10","3","1.3","1","1","01_uek_cmn_idol_def_N"
"100","1","1030002","120","105931","10","3","1.3","1","1","01_uek_cmn_idol_def_N"
"100","1","1030003","0","106031","0","3","1.3","1","1","01_uek_cmn_idol_def_N"
"0","","1030004","01_uek_03_peko_loop","01_uek_03_peko","0","3","","3","105831",""
