8154bb09d76582d2eeac5d6e26d1c2ad870f5215addce67ed970b8418ea21951,a041c3a1057f4a544b5ffd3fe92225fa9aafe8ea8a4651740775f9d412cf7e20,20084738038aec721266929086fc3cf2147683e000a83591d933ae98920d38ed
"6","32001","電光・怪人"
"7","32001","壞亂黑鎧騎士"
"8","32001","雷雷"
"9","32001","芒刺爬行者"
"10","32001","白陽・黑月守護像"
"6","32002","電光・怪人"
"7","32002","壞亂黑鎧騎士"
"8","32002","雷雷"
"9","32002","芒刺爬行者"
"10","32002","白陽・黑月守護像"
"6","32003","高等加爾格"
"7","32003","詛咒・奧拉姆"
"8","32003","狂暴格里芬"
"9","32003","貪婪豺狼"
"10","32003","黑月・白陽守護像"
"6","32004","擲岩猴仙"
"7","32004","殺人虎鯨"
"8","32004","沙陸樹懶"
"9","32004","狂焰戰熊"
"10","32004","狂怒綠龍"
"6","32005","岩之錘"
"7","32005","水瑚麟"
"8","32005","飛龍"
"9","32005","稜鏡夫人"
"10","32005","狂怒綠龍"
"6","32006","邪惡領主"
"7","32006","紅極鳥"
"8","32006","雷雷"
"9","32006","獸人酋長"
"10","32006","狂怒綠龍"
"6","32007","電光・怪人"
"7","32007","水晶魔像"
"8","32007","沙陸樹懶"
"9","32007","劍蛇"
"10","32007","究極守護獸"
"6","32008","擲岩猴仙"
"7","32008","詛咒・奧拉姆"
"8","32008","哥布林騎兵"
"9","32008","雷電"
"10","32008","究極守護獸"
"6","32009","岩之錘"
"7","32009","紅極鳥"
"8","32009","飛龍"
"9","32009","三重搖滾"
"10","32009","究極守護獸"
"6","32010","擲岩猴仙"
"7","32010","哥布林大師"
"8","32010","冰霜獵犬"
"9","32010","蒼天女武神"
"10","32010","哥布林領主"
"6","32011","壞亂黑鎧騎士"
"7","32011","奧克塔斯基德"
"8","32011","哥布林王者"
"9","32011","泰坦龍龜"
"10","32011","哥布林領主"
"6","32012","高等加爾格"
"7","32012","詛咒‧奧拉姆"
"8","32012","狂暴格里芬"
"9","32012","黑曜飛龍"
"10","32012","哥布林領主"
"6","32013","電光‧怪人"
"7","32013","水晶魔像"
"8","32013","頑強幽靈"
"9","32013","花朵騎士"
"10","32013","哥布林領主"
"6","32014","擲岩猴仙"
"7","32014","紅極鳥"
"8","32014","雷雷"
"9","32014","劍蛇"
"10","32014","哥布林領主"
"6","32015","高等加爾格"
"7","32015","奧克塔斯基德"
"8","32015","冰霜獵犬"
"9","32015","黑曜飛龍"
"10","32015","黑月‧白陽守護像"
