cbf58317dc417ee09c92dedefc34c82b7af28c02ea8583bad11dc3f859884651,0285cdff80c8690ae2c5d0e77a29f918bac880b14f255c75c6a6906a0bea356f,2aee97bec93d9e8400596181cc5ff5cb7a88ade0033634cf23599a1a6c99ecac,daac5fb9ca9c2fd1a01733e47fc9172624bf0fdee96d4c011467bc6831e8fffa,64f0cb59e0ec7fb223f52103aab466426eff6d6d2aa9227f45577368b7a30713,445176e786937b5fdada03188bdf5aba186c5e05e7c648792c3810fbf348911c,d1d1bdeb8cb10dc7c266346f3fc4b32b4d8190a6cce3e623d635dd165ba58ed8,85b7d99ff6d58a49ce090471a0ef7070dc88b81d9f890ce801385fd197da78cb,543f9e75307d391b602f4eb5e75b1d9aa9be2fcf56ca292e7242bcfd4d948b72,e86875f4cbbbe0544b0e33dff3f7722b73ac56f385c982f43ac137479ef208fa,f894dc7f67fe7e0806da337f7fd8e7497db56da8760d3f01d56dcb0ce72528e6,ffde6ea90c6c634bc9e0b8c7dc7e5f80d2ae4c8506ac428542abf5e395395f23,565d76ce2ef852947585e078659129ed6399a587ad2b1877f4fef0f3146ef37c,56b02b01b043b4cc36cb80887fca8d50fb96407c50142923b045e761b4dd29c7,475b82920e6cf1f2167670f05381a3b698ca103dc1b0447e3e5cd32fe23bbcc4,5f192db2211f33a00dc6fcc029a8df9a471fc9cf9a302303d73b45e250a2fbd5,2ce5364441902f3b8e5578198d77d8565b3a64d62d6c4da9edd8cd99e2b3e835,884e9c6f8859f12cb481e927323d27aa4956950d7c9f0afc31703b562018b395,1b4556d73ef44b64025f4eb6a2eec13988401973dd65b30b21ea22ff73cd96d0,775dae93255d47bab01ccb02c763bd32f3fb7f7007f65fa6b6b33967635c76c8,5e5c8bbb2862e7487cb05560cc44235f4dbd87f9b4f1f66175b34f47dd50fd1e,97c24c3e01d0608f1994d27da9e5b388e9254ebbef06e16cd87aecd9b4354c2e,c5d52fb7ea15502d0d8a9edbc035270ec3961f70c14f5997701124b469ebc18e,187c1e2608611e9af962f569b90e25043311f16b368f33c6281ed1cea83a5bf8,e89f3829d9631cef0c73f0a25932af2f4c429d1c24828c74b91e7e46658e3f46,6df3483c67bc2df84d05af51c1005bd81da23a2c9ebe294995970ffc3cbdac6d,b5ed39a4868e477795965e54d8b7b384860e2a2aacd3e66979b73484bc68f4bd,f4351d1f9dec4a099aa1315170bbeaa6e609a8eb13304171cadfbb43d3099e2d,61cdc1b69b69f486654a41a95314914489399fc3a7f89947de277a214784d31c,2ec051481e5ff729bbc803197555984932117f0cdcfc2224a7427067ac761362,6aa509451abaff683b05d344b9b053d9de128c26174830b18dbd2f736350c7fc,cd3603f55592ae25d3375d415d4fccf225a298b09b60d08c833b03ef0b6780f0,e6debbd88c0cbdf4ef20f5e0f4496782c819779134e2bd964e3578ff554d4245,8a6f07dab2a8a2a3f089aaa530ce3dd43a0361266ffea188cd4a5f16d13e93c3,8cdeb45429e7d24958ea2e076fd098ea3b6e372244b1532987fcddb506b86753,5e6e25d8cad83d7fde300171800109dcd70739260c6639cda9aea6c4eaddcca4,ea029963fd4ed091c1f2a64da4e6c760a5361a580a133ea80db807ee1940ab85,06860dde2fe30280b4c7d0d211cd51edf71989f6d4ecf99faf30635638fac094,f2da7045ba712187a7a63476cca9240d327a65010b5a780d736f8708a3c65d00,72b1795eabd38a6bf68a2d1fdc90c94a42fab58507c34941e6c13e159c569636
"10","1","1","1","1","0","0","1","0","1","1","1","0","0","30","0","0","0","1","0","1","200100","620010001","1","24","0","1","1","1","329","4","200000006","1","1","3","1","1","10","1","1"
"10","1","2","2","2","0","0","2","0","2","2","2","0","0","30","0","0","0","1","0","2","200100","620010002","2","28","0","1","2","2","338","9","200000006","2","2","3","2","2","10","2","2"
"10","1","3","3","3","0","0","3","0","3","3","3","0","0","30","0","0","0","1","0","3","200100","620010003","3","32","0","1","3","3","347","5","200000006","3","3","4","3","3","10","3","3"
"10","1","4","4","4","0","0","4","0","4","4","4","0","0","30","0","0","0","1","0","4","200100","620010004","4","32","0","1","4","4","347","5","200000006","4","4","4","4","4","10","4","4"
"10","1","5","5","5","0","0","5","0","5","5","5","0","0","30","0","0","0","1","0","5","200100","620010005","5","35","0","1","5","5","349","5","200000006","5","5","4","5","5","10","5","5"
"10","1","6","6","6","0","0","6","0","6","6","6","0","0","30","0","0","0","1","0","6","200100","620010006","6","48","0","1","6","6","367","7","200000006","6","6","6","6","6","10","6","6"
"10","1","7","7","7","0","0","7","0","7","7","7","0","0","30","0","0","0","1","0","7","200100","620010007","7","55","0","1","7","7","413","8","200000006","7","7","7","7","7","10","7","7"
"10","1","8","8","8","0","0","8","0","8","8","8","0","0","30","0","0","0","1","0","8","200100","620010008","8","62","0","1","8","8","459","9","200000006","8","8","7","8","8","10","8","8"
"10","1","9","9","9","0","0","9","0","9","9","9","0","0","30","0","0","0","1","0","9","200100","620010009","9","68","0","1","9","9","505","9","200000006","9","9","8","9","9","10","9","9"
"10","1","10","10","10","0","0","10","0","10","10","10","0","0","30","0","0","0","1","0","10","200100","620010010","10","75","0","1","10","10","551","10","200000006","10","10","9","10","10","10","10","10"
"10","1","11","11","11","0","0","11","0","11","11","11","0","0","30","0","0","0","1","0","11","200100","620010011","11","82","0","1","11","11","598","11","200000006","11","11","9","11","11","10","11","11"
"10","1","12","12","12","0","0","12","0","12","12","12","0","0","30","0","0","0","1","0","12","200100","620010012","12","89","0","1","12","12","644","12","200000006","12","12","10","12","12","10","12","12"
"10","1","13","13","13","0","0","13","0","13","13","13","0","0","30","0","0","0","1","0","13","200100","620010013","13","95","0","1","13","13","690","12","200000006","13","13","11","13","13","10","13","13"
"10","1","14","14","14","0","0","14","0","14","14","14","0","0","30","0","0","0","1","0","14","200100","620010014","14","102","0","1","14","14","736","13","200000006","14","14","11","14","14","10","14","14"
"10","1","15","15","15","0","0","15","0","15","15","15","0","0","30","0","0","0","1","0","15","200100","620010015","15","109","0","1","15","15","782","14","200000006","15","15","12","15","15","10","15","15"
"10","1","16","16","16","0","0","16","0","16","16","16","0","0","30","0","0","0","1","0","16","200100","620010016","16","123","0","1","16","16","851","15","200000006","16","16","12","16","16","10","16","16"
"10","1","17","17","17","0","0","17","0","17","17","17","0","0","30","0","0","0","1","0","17","200100","620010017","17","136","0","1","17","17","919","15","200000006","17","17","12","17","17","10","17","17"
"10","1","18","18","18","0","0","18","0","18","18","18","0","0","30","0","0","0","1","0","18","200100","620010018","18","164","0","1","18","18","1296","15","200000006","18","18","13","18","18","10","18","18"
"10","1","19","19","19","0","0","19","0","19","19","19","0","0","30","0","0","0","1","0","19","200100","620010019","19","177","0","1","19","19","1482","15","200000006","19","19","13","19","19","10","19","19"
