501ffe2051986429c23a7bc20ba4539efbed52b0417973b47b96ce70651434c7,ca0a8b5b93edc020c3a20d3413594ca7b744c345ca31e2b33b43e2319945d0af,8143ddca7a762a4a57c50d7ebbf764b7869561fe1c2cbdf6651cb447bea00c27,09be8d689deb73e1a1d227de2f8c85c40b56e427c82e5a2f59a9b2db13f5c7b9
"1","1","2500","1"
"2","1","2000","2"
"3","1","2000","107"
"4","1","2000","4"
"5","1","1000","3"
"6","1","1000","110"
"7","1","1000","5"
"8","1","2000","6"
"9","1","2000","105"
"10","1","2000","7"
"11","3","0","1000"
"12","1","20","100"
"13","1","1000","108"
"14","1","20","101"
"15","1","5","102"
"16","1","1000","109"
"17","1","5","103"
"18","1","500","1"
"19","2","0","2000"
"20","1","500","1"
"21","5","0","25"
"22","1","3000","2"
"23","1","3000","107"
"24","1","3000","4"
"25","1","1500","3"
"26","1","1500","110"
"27","1","1500","5"
"28","1","3000","6"
"29","1","3000","105"
"30","1","3000","7"
"31","6","0","1"
"32","1","30","100"
"33","1","1500","108"
"34","1","30","101"
"35","1","10","102"
"36","1","1500","109"
"37","1","10","103"
"38","1","500","1"
"39","2","0","3000"
"40","1","500","1"
"41","4","0","50"
