32e8c942889adbcfaa23bef61b1fcc5df0f63b197f38bcc437e94d956e01db95,3a1da8f7421bf2fcff0f9c512725b363971437385fef00689d1ef5a7b4b741d8,a8830b93a42520281608be85ff2b7c01ef2bdb414cd9569b613ccc25610c7cda,1e2804edad050d7897e65a2efd44abaf701fb181ae405a8d48c3c7e8ed2535e4,80c4f0800d2bc5e5b5a32d1342b370ea26165302edb005f709656219274012d7,6f0b534bb51640fccaf22184d6800cd81d823ddfa770cb5399ad703581a7b673,b4a8401178020f64c5a89408a29a56a2712fd719ce0d75fb520cc6bf6bdd6ca2,7a2e4651e836b9fd9d866f1a8fb4b2b225b3d1b2cedcf0e7c4912e541ff0b8d5,9143347db73140a044012c1a2c98d9e419e751143e312db9fd4c43bc5557b2b8
"","21600","2","1","1","2","","23001","1"
"","19800","3","1","1","2","","23001","2"
"","18000","3","1","1","2","","23001","3"
"","16200","3","1","1","2","","23001","4"
"","14400","4","1","1","2","","23001","5"
"","12960","4","1","1","2","","23001","6"
"","11520","5","1","1","2","","23001","7"
"","10080","6","1","1","2","","23001","8"
"","8640","7","1","1","2","","23001","9"
"","7200","8","1","1","2","","23001","10"
"","5760","10","1","1","2","","23001","11"
"","5040","12","1","1","2","","23001","12"
"","4320","14","1","1","2","","23001","13"
"","7200","16","1","2","2","","23001","14"
"","5400","18","1","2","2","","23001","15"
"","5040","18","1","2","2","","23001","16"
"","4800","18","1","2","2","","23001","17"
"","4500","20","1","2","2","","23001","18"
"","4320","20","1","2","2","","23001","19"
"","6000","24","1","3","2","","23001","20"
"","5700","48","1","3","2","","23001","21"
"","5400","48","1","3","2","","23001","22"
"","5220","51","1","3","2","","23001","23"
"","4980","54","1","3","2","","23001","24"
"","4800","54","1","3","2","","23001","25"
"","4500","60","1","3","2","","23001","26"
"","4320","60","1","3","2","","23001","27"
"","4200","63","1","3","2","","23001","28"
"","5400","64","1","4","2","","23001","29"
"","5220","68","1","4","2","","23001","30"
"","5040","72","1","4","2","","23001","31"
"","4920","72","1","4","2","","23001","32"
"","4800","72","1","4","2","","23001","33"
"","4680","76","1","4","2","","23001","34"
"","4500","80","1","4","2","","23001","35"
"","4320","80","1","4","2","","23001","36"
"","21600","80","2","20","6","","93001","1"
"","21600","96","2","24","6","","93001","2"
"","21600","112","2","28","6","","93001","3"
"","21600","120","2","30","6","","93001","4"
"","21600","128","2","32","6","","93001","5"
"","21600","136","2","34","6","","93001","6"
"","21600","144","2","36","6","","93001","7"
